 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 19.75 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0246

 DETECTORS		DIRECTIONS
 D1           0		R            0
 D2           0		RL           0
 D3           0		FL           1
 D4           0		F            0
 D5           1		FR           0
 D6           0		RR           0

------------------ INTERNAL DATA REF ------------------------
1-0
0.82;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.266	uSv h^-1	>(100.1%)
 H*(10)_i	:	0.001	uSv     	>(100.1%)
 h*(10)		:	116.7	pSv cm^2	(39.9%)
 phi		:	0.633	cm^-2 s^-1 	>(100.1%)
 thermal   	:	0.3611
 epithermal	:	0.3428
 fast      	:	0.2961
-------------------------------------------------------------
 Average experimental data uncertainty	:	100.00%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.096312E-03
2.580E-09	1.783025E-03
3.340E-09	2.899780E-03
4.310E-09	4.647034E-03
5.570E-09	7.384189E-03
7.190E-09	1.154095E-02
9.280E-09	1.770122E-02
1.200E-08	2.658146E-02
1.550E-08	3.861887E-02
2.000E-08	5.382079E-02
2.580E-08	7.342483E-02
3.340E-08	9.192770E-02
4.310E-08	1.058060E-01
5.570E-08	1.100060E-01
7.190E-08	1.008478E-01
9.280E-08	7.977336E-02
1.200E-07	5.394529E-02
1.550E-07	3.314926E-02
2.000E-07	2.209878E-02
2.580E-07	1.846402E-02
3.340E-07	1.778953E-02
4.310E-07	1.773058E-02
5.570E-07	1.772839E-02
7.190E-07	1.772834E-02
9.280E-07	1.772832E-02
1.200E-06	1.772829E-02
1.550E-06	1.772825E-02
2.000E-06	1.772819E-02
2.580E-06	1.772813E-02
3.340E-06	1.772804E-02
4.310E-06	1.772793E-02
5.570E-06	1.772778E-02
7.190E-06	1.772759E-02
9.280E-06	1.772735E-02
1.200E-05	1.772703E-02
1.550E-05	1.772662E-02
2.000E-05	1.772610E-02
2.580E-05	1.772543E-02
3.340E-05	1.772454E-02
4.310E-05	1.772341E-02
5.570E-05	1.772195E-02
7.190E-05	1.772006E-02
9.280E-05	1.771763E-02
1.200E-04	1.771447E-02
1.550E-04	1.771040E-02
2.000E-04	1.770517E-02
2.580E-04	1.769843E-02
3.340E-04	1.768961E-02
4.310E-04	1.767835E-02
5.570E-04	1.766373E-02
7.190E-04	1.764496E-02
9.280E-04	1.762078E-02
1.200E-03	1.766592E-02
1.550E-03	1.765043E-02
2.000E-03	1.763146E-02
2.580E-03	1.760829E-02
3.340E-03	1.757974E-02
4.310E-03	1.754576E-02
5.570E-03	1.750508E-02
7.190E-03	1.745763E-02
9.280E-03	1.740325E-02
1.200E-02	1.734241E-02
1.550E-02	1.727840E-02
2.000E-02	1.721669E-02
2.580E-02	1.716709E-02
3.340E-02	1.714687E-02
4.310E-02	1.718567E-02
5.570E-02	1.733016E-02
7.190E-02	1.764993E-02
9.280E-02	1.824909E-02
1.200E-01	1.928335E-02
1.550E-01	2.093797E-02
2.000E-01	2.344079E-02
2.580E-01	2.704292E-02
3.340E-01	3.203619E-02
4.310E-01	3.838136E-02
5.570E-01	4.603442E-02
7.190E-01	5.443254E-02
9.280E-01	6.270757E-02
1.200E+00	6.958786E-02
1.550E+00	7.332654E-02
2.000E+00	7.229871E-02
2.580E+00	6.546128E-02
3.340E+00	5.290082E-02
4.310E+00	3.714327E-02
5.570E+00	2.162109E-02
7.190E+00	9.942684E-03
9.280E+00	3.367898E-03
1.200E+01	7.596105E-04
1.550E+01	1.033242E-04
2.000E+01	7.370782E-06
2.580E+01	2.284116E-07
3.340E+01	2.254769E-09
4.310E+01	5.880162E-12
5.570E+01	2.482267E-15
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

