 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 8133.00 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0249

 DETECTORS		DIRECTIONS
 D1         927		R          571
 D2        1024		RL         958
 D3        1062		FL         649
 D4         799		F         1023
 D5         677		FR         666
 D6         440		RR         974

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;8135-2;1-0.42
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.103	uSv h^-1	(8.7%)
 H*(10)_i	:	0.233	uSv     	(8.7%)
 h*(10)		:	21.5	pSv cm^2	(7.6%)
 phi		:	1.333	cm^-2 s^-1 	(4.3%)
 thermal   	:	0.4720
 epithermal	:	0.4951
 fast      	:	0.0329
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.60%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.506638E-03
2.580E-09	2.450372E-03
3.340E-09	3.985104E-03
4.310E-09	6.386316E-03
5.570E-09	1.014793E-02
7.190E-09	1.586047E-02
9.280E-09	2.432640E-02
1.200E-08	3.653032E-02
1.550E-08	5.307305E-02
2.000E-08	7.396472E-02
2.580E-08	1.269733E-01
3.340E-08	1.659634E-01
4.310E-08	2.037024E-01
5.570E-08	2.334583E-01
7.190E-08	2.472272E-01
9.280E-08	2.407528E-01
1.200E-07	2.167100E-01
1.550E-07	1.872942E-01
2.000E-07	1.655034E-01
2.580E-07	1.531925E-01
3.340E-07	1.451522E-01
4.310E-07	1.383753E-01
5.570E-07	1.319516E-01
7.190E-07	1.258581E-01
9.280E-07	1.200512E-01
1.200E-06	1.144747E-01
1.550E-06	1.091817E-01
2.000E-06	1.041555E-01
2.580E-06	9.936707E-02
3.340E-06	9.473858E-02
4.310E-06	9.038100E-02
5.570E-06	8.620171E-02
7.190E-06	8.223477E-02
9.280E-06	7.845359E-02
1.200E-05	7.482171E-02
1.550E-05	7.137380E-02
2.000E-05	6.809897E-02
2.580E-05	6.497841E-02
3.340E-05	6.196138E-02
4.310E-05	5.912025E-02
5.570E-05	5.639463E-02
7.190E-05	5.380676E-02
9.280E-05	5.133928E-02
1.200E-04	4.896835E-02
1.550E-04	4.671658E-02
2.000E-04	4.457679E-02
2.580E-04	4.253661E-02
3.340E-04	4.056273E-02
4.310E-04	3.870233E-02
5.570E-04	3.691569E-02
7.190E-04	3.521710E-02
9.280E-04	3.359489E-02
1.200E-03	3.203670E-02
1.550E-03	3.055184E-02
2.000E-03	2.913787E-02
2.580E-03	2.778687E-02
3.340E-03	2.647741E-02
4.310E-03	2.524223E-02
5.570E-03	2.405765E-02
7.190E-03	2.293778E-02
9.280E-03	2.188237E-02
1.200E-02	2.089267E-02
1.550E-02	1.999456E-02
2.000E-02	1.920590E-02
2.580E-02	1.854587E-02
3.340E-02	1.802686E-02
4.310E-02	1.766535E-02
5.570E-02	1.741638E-02
7.190E-02	1.718142E-02
9.280E-02	1.678159E-02
1.200E-01	1.598508E-02
1.550E-01	1.462054E-02
2.000E-01	1.269284E-02
2.580E-01	1.042613E-02
3.340E-01	8.128739E-03
4.310E-01	6.114611E-03
5.570E-01	4.417256E-03
7.190E-01	3.029354E-03
9.280E-01	1.924205E-03
1.200E+00	1.110488E-03
1.550E+00	6.072517E-04
2.000E+00	3.666944E-04
2.580E+00	2.970522E-04
3.340E+00	3.118376E-04
4.310E+00	3.629243E-04
5.570E+00	4.496036E-04
7.190E+00	6.057028E-04
9.280E+00	8.858965E-04
1.200E+01	1.355463E-03
1.550E+01	2.074664E-03
2.000E+01	3.110284E-03
2.580E+01	4.525025E-03
3.340E+01	6.360268E-03
4.310E+01	8.462763E-03
5.570E+01	1.056470E-02
7.190E+01	1.211468E-02
9.280E+01	1.247285E-02
1.200E+02	1.116656E-02
1.550E+02	8.360301E-03
2.000E+02	4.989446E-03
2.580E+02	2.228708E-03
3.340E+02	6.748070E-04
4.310E+02	1.290911E-04
5.570E+02	1.340485E-05
7.190E+02	6.615183E-07
9.280E+02	1.271357E-08
1.200E+03	7.140254E-11
1.550E+03	9.004358E-14
2.000E+03	1.610500E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

