 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 9928.72 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0253

 DETECTORS		DIRECTIONS
 D1        1382		R          588
 D2        1566		RL        1182
 D3        1768		FL        1542
 D4        1468		F         2436
 D5        1190		FR        1448
 D6         847		RR         935

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.251	uSv h^-1	(6.1%)
 H*(10)_i	:	0.692	uSv     	(6.1%)
 h*(10)		:	35.6	pSv cm^2	(5.0%)
 phi		:	1.961	cm^-2 s^-1 	(3.4%)
 thermal   	:	0.4747
 epithermal	:	0.4389
 fast      	:	0.0863
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.76%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.076037E-03
2.580E-09	6.629203E-03
3.340E-09	1.078124E-02
4.310E-09	1.727745E-02
5.570E-09	2.745406E-02
7.190E-09	4.290871E-02
9.280E-09	6.581230E-02
1.200E-08	9.882861E-02
1.550E-08	1.435831E-01
2.000E-08	2.001031E-01
2.580E-08	2.792173E-01
3.340E-08	3.513801E-01
4.310E-08	4.076845E-01
5.570E-08	4.294408E-01
7.190E-08	4.022666E-01
9.280E-08	3.299499E-01
1.200E-07	2.372373E-01
1.550E-07	1.600825E-01
2.000E-07	1.176210E-01
2.580E-07	1.024877E-01
3.340E-07	9.836136E-02
4.310E-07	9.657768E-02
5.570E-07	9.502923E-02
7.190E-07	9.352819E-02
9.280E-07	9.205960E-02
1.200E-06	9.061145E-02
1.550E-06	8.920000E-02
2.000E-06	8.782380E-02
2.580E-06	8.647769E-02
3.340E-06	8.514154E-02
4.310E-06	8.384969E-02
5.570E-06	8.257742E-02
7.190E-06	8.133730E-02
9.280E-06	8.012351E-02
1.200E-05	7.892619E-02
1.550E-05	7.775878E-02
2.000E-05	7.662007E-02
2.580E-05	7.550577E-02
3.340E-05	7.439917E-02
4.310E-05	7.332869E-02
5.570E-05	7.227376E-02
7.190E-05	7.124475E-02
9.280E-05	7.023672E-02
1.200E-04	6.924134E-02
1.550E-04	6.826960E-02
2.000E-04	6.732027E-02
2.580E-04	6.638951E-02
3.340E-04	6.546293E-02
4.310E-04	6.456384E-02
5.570E-04	6.367437E-02
7.190E-04	6.280245E-02
9.280E-04	6.194291E-02
1.200E-03	6.110370E-02
1.550E-03	6.027058E-02
2.000E-03	5.945304E-02
2.580E-03	5.864961E-02
3.340E-03	5.785180E-02
4.310E-03	5.708709E-02
5.570E-03	5.635348E-02
7.190E-03	5.567984E-02
9.280E-03	5.509779E-02
1.200E-02	5.465884E-02
1.550E-02	5.445042E-02
2.000E-02	5.458209E-02
2.580E-02	5.519295E-02
3.340E-02	5.645763E-02
4.310E-02	5.846144E-02
5.570E-02	6.122116E-02
7.190E-02	6.443524E-02
9.280E-02	6.745140E-02
1.200E-01	6.921322E-02
1.550E-01	6.844209E-02
2.000E-01	6.425917E-02
2.580E-01	5.663002E-02
3.340E-01	4.634880E-02
4.310E-01	3.524521E-02
5.570E-01	2.468419E-02
7.190E-01	1.588327E-02
9.280E-01	9.298677E-03
1.200E+00	4.869781E-03
1.550E+00	2.281307E-03
2.000E+00	9.987646E-04
2.580E+00	5.263675E-04
3.340E+00	5.070090E-04
4.310E+00	7.434211E-04
5.570E+00	1.189064E-03
7.190E+00	1.896970E-03
9.280E+00	2.989765E-03
1.200E+01	4.652212E-03
1.550E+01	7.077162E-03
2.000E+01	1.046791E-02
2.580E+01	1.496419E-02
3.340E+01	2.057094E-02
4.310E+01	2.663860E-02
5.570E+01	3.216349E-02
7.190E+01	3.542779E-02
9.280E+01	3.475954E-02
1.200E+02	2.937870E-02
1.550E+02	2.056758E-02
2.000E+02	1.136741E-02
2.580E+02	4.664376E-03
3.340E+02	1.294375E-03
4.310E+02	2.316376E-04
5.570E+02	2.409442E-05
7.190E+02	1.397030E-06
9.280E+02	4.078194E-08
1.200E+03	4.596406E-10
1.550E+03	1.429262E-12
2.000E+03	7.775367E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

