 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 9787.44 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0254

 DETECTORS		DIRECTIONS
 D1         648		R          490
 D2         790		RL         581
 D3         991		FL         711
 D4         918		F          999
 D5         784		FR        1010
 D6         575		RR         854

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;834-2;1-0.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.195	uSv h^-1	(6.6%)
 H*(10)_i	:	0.531	uSv     	(6.6%)
 h*(10)		:	54.8	pSv cm^2	(5.2%)
 phi		:	0.990	cm^-2 s^-1 	(4.1%)
 thermal   	:	0.2419
 epithermal	:	0.5912
 fast      	:	0.1669
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.62%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	6.404149E-04
2.580E-09	1.041561E-03
3.340E-09	1.693917E-03
4.310E-09	2.714582E-03
5.570E-09	4.313502E-03
7.190E-09	6.741690E-03
9.280E-09	1.034024E-02
1.200E-08	1.552766E-02
1.550E-08	2.255935E-02
2.000E-08	3.143961E-02
2.580E-08	4.947336E-02
3.340E-08	6.413259E-02
4.310E-08	7.780424E-02
5.570E-08	8.781010E-02
7.190E-08	9.134574E-02
9.280E-08	8.745398E-02
1.200E-07	7.790228E-02
1.550E-07	6.753663E-02
2.000E-07	6.089618E-02
2.580E-07	5.823110E-02
3.340E-07	5.727967E-02
4.310E-07	5.670251E-02
5.570E-07	5.616308E-02
7.190E-07	5.563495E-02
9.280E-07	5.511457E-02
1.200E-06	5.459782E-02
1.550E-06	5.409061E-02
2.000E-06	5.359263E-02
2.580E-06	5.310216E-02
3.340E-06	5.261194E-02
4.310E-06	5.213471E-02
5.570E-06	5.166148E-02
7.190E-06	5.119705E-02
9.280E-06	5.073940E-02
1.200E-05	5.028489E-02
1.550E-05	4.983873E-02
2.000E-05	4.940060E-02
2.580E-05	4.896899E-02
3.340E-05	4.853746E-02
4.310E-05	4.811719E-02
5.570E-05	4.770023E-02
7.190E-05	4.729073E-02
9.280E-05	4.688683E-02
1.200E-04	4.648521E-02
1.550E-04	4.609034E-02
2.000E-04	4.570177E-02
2.580E-04	4.531795E-02
3.340E-04	4.493284E-02
4.310E-04	4.455605E-02
5.570E-04	4.418000E-02
7.190E-04	4.380784E-02
9.280E-04	4.343714E-02
1.200E-03	4.307770E-02
1.550E-03	4.271383E-02
2.000E-03	4.235425E-02
2.580E-03	4.199935E-02
3.340E-03	4.164736E-02
4.310E-03	4.131407E-02
5.570E-03	4.100509E-02
7.190E-03	4.074402E-02
9.280E-03	4.056317E-02
1.200E-02	4.051661E-02
1.550E-02	4.068974E-02
2.000E-02	4.120324E-02
2.580E-02	4.222704E-02
3.340E-02	4.401105E-02
4.310E-02	4.675996E-02
5.570E-02	5.073052E-02
7.190E-02	5.593833E-02
9.280E-02	6.209855E-02
1.200E-01	6.839770E-02
1.550E-01	7.321349E-02
2.000E-01	7.456096E-02
2.580E-01	7.068135E-02
3.340E-01	6.084405E-02
4.310E-01	4.679790E-02
5.570E-01	3.164553E-02
7.190E-01	1.892760E-02
9.280E-01	1.015862E-02
1.200E+00	4.904234E-03
1.550E+00	2.121597E-03
2.000E+00	8.391813E-04
2.580E+00	3.783718E-04
3.340E+00	3.177515E-04
4.310E+00	4.507437E-04
5.570E+00	7.197062E-04
7.190E+00	1.150536E-03
9.280E+00	1.818567E-03
1.200E+01	2.840534E-03
1.550E+01	4.342573E-03
2.000E+01	6.464800E-03
2.580E+01	9.320649E-03
3.340E+01	1.296084E-02
4.310E+01	1.704096E-02
5.570E+01	2.100528E-02
7.190E+01	2.379674E-02
9.280E+01	2.426701E-02
1.200E+02	2.164099E-02
1.550E+02	1.630330E-02
2.000E+02	9.943615E-03
2.580E+02	4.641717E-03
3.340E+02	1.517630E-03
4.310E+02	3.280502E-04
5.570E+02	4.144329E-05
7.190E+02	2.811067E-06
9.280E+02	9.097659E-08
1.200E+03	1.155533E-09
1.550E+03	4.519098E-12
2.000E+03	3.556485E-15
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

