 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 6065.26 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0255

 DETECTORS		DIRECTIONS
 D1       10300		R         8618
 D2       11093		RL        9251
 D3       11287		FL        5555
 D4        9696		F         9172
 D5        8056		FR        9516
 D6        6216		RR       13688

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;85-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	5.281	uSv h^-1	(5.6%)
 H*(10)_i	:	8.897	uSv     	(5.6%)
 h*(10)		:	60.5	pSv cm^2	(5.1%)
 phi		:	24.246	cm^-2 s^-1 	(2.3%)
 thermal   	:	0.5403
 epithermal	:	0.3076
 fast      	:	0.1521
-------------------------------------------------------------
 Average experimental data uncertainty	:	1.05%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	6.292616E-02
2.580E-09	1.023421E-01
3.340E-09	1.664417E-01
4.310E-09	2.667306E-01
5.570E-09	4.238379E-01
7.190E-09	6.624279E-01
9.280E-09	1.016015E+00
1.200E-08	1.525724E+00
1.550E-08	2.216647E+00
2.000E-08	3.089207E+00
2.580E-08	4.233886E+00
3.340E-08	5.302490E+00
4.310E-08	6.105722E+00
5.570E-08	6.351552E+00
7.190E-08	5.825450E+00
9.280E-08	4.607169E+00
1.200E-07	3.107737E+00
1.550E-07	1.893109E+00
2.000E-07	1.237704E+00
2.580E-07	1.008589E+00
3.340E-07	9.496733E-01
4.310E-07	9.268758E-01
5.570E-07	9.077445E-01
7.190E-07	8.893274E-01
9.280E-07	8.714093E-01
1.200E-06	8.538390E-01
1.550E-06	8.368089E-01
2.000E-06	8.202952E-01
2.580E-06	8.042305E-01
3.340E-06	7.883713E-01
4.310E-06	7.731211E-01
5.570E-06	7.581825E-01
7.190E-06	7.436991E-01
9.280E-06	7.295981E-01
1.200E-05	7.157618E-01
1.550E-05	7.023421E-01
2.000E-05	6.893203E-01
2.580E-05	6.766435E-01
3.340E-05	6.641195E-01
4.310E-05	6.520667E-01
5.570E-05	6.402498E-01
7.190E-05	6.287822E-01
9.280E-05	6.176056E-01
1.200E-04	6.066257E-01
1.550E-04	5.959617E-01
2.000E-04	5.855972E-01
2.580E-04	5.754882E-01
3.340E-04	5.654778E-01
4.310E-04	5.558167E-01
5.570E-04	5.463118E-01
7.190E-04	5.370477E-01
9.280E-04	5.279695E-01
1.200E-03	5.190203E-01
1.550E-03	5.102428E-01
2.000E-03	5.016314E-01
2.580E-03	4.931371E-01
3.340E-03	4.846136E-01
4.310E-03	4.762635E-01
5.570E-03	4.679167E-01
7.190E-03	4.596568E-01
9.280E-03	4.514714E-01
1.200E-02	4.433636E-01
1.550E-02	4.355712E-01
2.000E-02	4.283547E-01
2.580E-02	4.221445E-01
3.340E-02	4.176273E-01
4.310E-02	4.160745E-01
5.570E-02	4.190851E-01
7.190E-02	4.288019E-01
9.280E-02	4.477088E-01
1.200E-01	4.783447E-01
1.550E-01	5.211874E-01
2.000E-01	5.735626E-01
2.580E-01	6.275193E-01
3.340E-01	6.687340E-01
4.310E-01	6.761531E-01
5.570E-01	6.322225E-01
7.190E-01	5.324475E-01
9.280E-01	3.933166E-01
1.200E+00	2.475989E-01
1.550E+00	1.309095E-01
2.000E+00	5.868463E-02
2.580E+00	2.583857E-02
3.340E+00	1.823067E-02
4.310E+00	2.396162E-02
5.570E+00	3.784846E-02
7.190E+00	6.036828E-02
9.280E+00	9.521414E-02
1.200E+01	1.483217E-01
1.550E+01	2.260022E-01
2.000E+01	3.350879E-01
2.580E+01	4.807219E-01
3.340E+01	6.643420E-01
4.310E+01	8.668339E-01
5.570E+01	1.057970E+00
7.190E+01	1.182714E+00
9.280E+01	1.183422E+00
1.200E+02	1.025737E+00
1.550E+02	7.402095E-01
2.000E+02	4.232896E-01
2.580E+02	1.797231E-01
3.340E+02	5.112061E-02
4.310E+02	9.056454E-03
5.570E+02	8.514138E-04
7.190E+02	3.679981E-05
9.280E+02	5.889685E-07
1.200E+03	2.555406E-09
1.550E+03	2.251118E-12
2.000E+03	2.294952E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

