 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 3822.36 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0264

 DETECTORS		DIRECTIONS
 D1         950		R          726
 D2        1116		RL         902
 D3        1319		FL        1029
 D4        1168		F         1389
 D5        1013		FR        1162
 D6         806		RR        1086

------------------ INTERNAL DATA REF ------------------------
4-1
0.82;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	1.200	uSv h^-1	(6.5%)
 H*(10)_i	:	1.274	uSv     	(6.5%)
 h*(10)		:	83.0	pSv cm^2	(5.3%)
 phi		:	4.015	cm^-2 s^-1 	(3.7%)
 thermal   	:	0.4035
 epithermal	:	0.3716
 fast      	:	0.2248
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.10%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	7.157102E-03
2.580E-09	1.164020E-02
3.340E-09	1.893076E-02
4.310E-09	3.033743E-02
5.570E-09	4.820651E-02
7.190E-09	7.534328E-02
9.280E-09	1.155596E-01
1.200E-08	1.735329E-01
1.550E-08	2.521172E-01
2.000E-08	3.513605E-01
2.580E-08	4.892457E-01
3.340E-08	6.153843E-01
4.310E-08	7.134427E-01
5.570E-08	7.505806E-01
7.190E-08	7.016577E-01
9.280E-08	5.735941E-01
1.200E-07	4.101733E-01
1.550E-07	2.746144E-01
2.000E-07	2.002456E-01
2.580E-07	1.739095E-01
3.340E-07	1.669042E-01
4.310E-07	1.640076E-01
5.570E-07	1.615238E-01
7.190E-07	1.591204E-01
9.280E-07	1.567723E-01
1.200E-06	1.544601E-01
1.550E-06	1.522097E-01
2.000E-06	1.500188E-01
2.580E-06	1.478790E-01
3.340E-06	1.457582E-01
4.310E-06	1.437110E-01
5.570E-06	1.416980E-01
7.190E-06	1.397391E-01
9.280E-06	1.378249E-01
1.200E-05	1.359399E-01
1.550E-05	1.341052E-01
2.000E-05	1.323188E-01
2.580E-05	1.305738E-01
3.340E-05	1.288441E-01
4.310E-05	1.271740E-01
5.570E-05	1.255313E-01
7.190E-05	1.239322E-01
9.280E-05	1.223687E-01
1.200E-04	1.208280E-01
1.550E-04	1.193269E-01
2.000E-04	1.178634E-01
2.580E-04	1.164315E-01
3.340E-04	1.150088E-01
4.310E-04	1.136310E-01
5.570E-04	1.122704E-01
7.190E-04	1.109388E-01
9.280E-04	1.096281E-01
1.200E-03	1.083350E-01
1.550E-03	1.070571E-01
2.000E-03	1.057969E-01
2.580E-03	1.045473E-01
3.340E-03	1.032873E-01
4.310E-03	1.020484E-01
5.570E-03	1.008092E-01
7.190E-03	9.958961E-02
9.280E-03	9.840150E-02
1.200E-02	9.727051E-02
1.550E-02	9.627391E-02
2.000E-02	9.552009E-02
2.580E-02	9.518743E-02
3.340E-02	9.557840E-02
4.310E-02	9.713791E-02
5.570E-02	1.005483E-01
7.190E-02	1.066792E-01
9.280E-02	1.166447E-01
1.200E-01	1.317340E-01
1.550E-01	1.525781E-01
2.000E-01	1.787705E-01
2.580E-01	2.078686E-01
3.340E-01	2.347094E-01
4.310E-01	2.500997E-01
5.570E-01	2.454000E-01
7.190E-01	2.158928E-01
9.280E-01	1.658167E-01
1.200E+00	1.079095E-01
1.550E+00	5.847894E-02
2.000E+00	2.635823E-02
2.580E+00	1.060265E-02
3.340E+00	5.305775E-03
4.310E+00	5.303011E-03
5.570E+00	7.890562E-03
7.190E+00	1.248701E-02
9.280E+00	1.962109E-02
1.200E+01	3.041889E-02
1.550E+01	4.604992E-02
2.000E+01	6.767467E-02
2.580E+01	9.591268E-02
3.340E+01	1.303088E-01
4.310E+01	1.661263E-01
5.570E+01	1.963737E-01
7.190E+01	2.102528E-01
9.280E+01	1.986159E-01
1.200E+02	1.595784E-01
1.550E+02	1.045438E-01
2.000E+02	5.298980E-02
2.580E+02	1.940015E-02
3.340E+02	4.598695E-03
4.310E+02	6.567340E-04
5.570E+02	4.781941E-05
7.190E+02	1.541035E-06
9.280E+02	1.772980E-08
1.200E+03	5.313400E-11
1.550E+03	3.057852E-14
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

