 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190004

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4987.76 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0155

 DETECTORS		DIRECTIONS
 D1        2792		R          795
 D2        3029		RL        1393
 D3        3132		FL        4225
 D4        2520		F         3887
 D5        2018		FR        3396
 D6        1457		RR        1047

------------------ INTERNAL DATA REF ------------------------
4-1
0.79;823-2;1-0.67
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.931	uSv h^-1	(8.7%)
 H*(10)_i	:	1.290	uSv     	(8.7%)
 h*(10)		:	34.6	pSv cm^2	(8.2%)
 phi		:	7.473	cm^-2 s^-1 	(2.9%)
 thermal   	:	0.5306
 epithermal	:	0.3952
 fast      	:	0.0742
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.06%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.597915E-02
2.580E-09	2.598824E-02
3.340E-09	4.226534E-02
4.310E-09	6.773220E-02
5.570E-09	1.076272E-01
7.190E-09	1.682135E-01
9.280E-09	2.580017E-01
1.200E-08	3.874344E-01
1.550E-08	5.628839E-01
2.000E-08	7.844574E-01
2.580E-08	1.125069E+00
3.340E-08	1.423019E+00
4.310E-08	1.663952E+00
5.570E-08	1.774412E+00
7.190E-08	1.694374E+00
9.280E-08	1.431800E+00
1.200E-07	1.076481E+00
1.550E-07	7.689923E-01
2.000E-07	5.917239E-01
2.580E-07	5.210715E-01
3.340E-07	4.939037E-01
4.310E-07	4.765628E-01
5.570E-07	4.605691E-01
7.190E-07	4.452687E-01
9.280E-07	4.305412E-01
1.200E-06	4.162543E-01
1.550E-06	4.025549E-01
2.000E-06	3.894125E-01
2.580E-06	3.767631E-01
3.340E-06	3.644087E-01
4.310E-06	3.526553E-01
5.570E-06	3.412641E-01
7.190E-06	3.303372E-01
9.280E-06	3.198111E-01
1.200E-05	3.095919E-01
1.550E-05	2.997854E-01
2.000E-05	2.903700E-01
2.580E-05	2.813003E-01
3.340E-05	2.724346E-01
4.310E-05	2.639927E-01
5.570E-05	2.558036E-01
7.190E-05	2.479405E-01
9.280E-05	2.403582E-01
1.200E-04	2.329888E-01
1.550E-04	2.259084E-01
2.000E-04	2.191013E-01
2.580E-04	2.125343E-01
3.340E-04	2.061041E-01
4.310E-04	1.999690E-01
5.570E-04	1.940036E-01
7.190E-04	1.882596E-01
9.280E-04	1.827019E-01
1.200E-03	1.772933E-01
1.550E-03	1.720652E-01
2.000E-03	1.670138E-01
2.580E-03	1.621131E-01
3.340E-03	1.572850E-01
4.310E-03	1.526509E-01
5.570E-03	1.481231E-01
7.190E-03	1.437561E-01
9.280E-03	1.395518E-01
1.200E-02	1.355206E-01
1.550E-02	1.317836E-01
2.000E-02	1.284522E-01
2.580E-02	1.256834E-01
3.340E-02	1.236821E-01
4.310E-02	1.227800E-01
5.570E-02	1.232201E-01
7.190E-02	1.251463E-01
9.280E-02	1.283993E-01
1.200E-01	1.323428E-01
1.550E-01	1.355868E-01
2.000E-01	1.362273E-01
2.580E-01	1.322107E-01
3.340E-01	1.218100E-01
4.310E-01	1.050469E-01
5.570E-01	8.324311E-02
7.190E-01	5.976290E-02
9.280E-01	3.825528E-02
1.200E+00	2.149277E-02
1.550E+00	1.070534E-02
2.000E+00	5.017646E-03
2.580E+00	2.792392E-03
3.340E+00	2.644983E-03
4.310E+00	3.782451E-03
5.570E+00	6.006484E-03
7.190E+00	9.554401E-03
9.280E+00	1.501030E-02
1.200E+01	2.325895E-02
1.550E+01	3.518939E-02
2.000E+01	5.167794E-02
2.580E+01	7.318514E-02
3.340E+01	9.935485E-02
4.310E+01	1.265914E-01
5.570E+01	1.496318E-01
7.190E+01	1.603820E-01
9.280E+01	1.520171E-01
1.200E+02	1.230852E-01
1.550E+02	8.188428E-02
2.000E+02	4.269030E-02
2.580E+02	1.640699E-02
3.340E+02	4.213134E-03
4.310E+02	6.783393E-04
5.570E+02	5.855775E-05
7.190E+02	2.359092E-06
9.280E+02	3.589284E-08
1.200E+03	1.527971E-10
1.550E+03	1.388076E-13
2.000E+03	1.531976E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

