 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190004

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4985.70 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0156

 DETECTORS		DIRECTIONS
 D1         949		R          769
 D2        1096		RL        1186
 D3        1099		FL         484
 D4         954		F          863
 D5         691		FR         552
 D6         466		RR        1317

------------------ INTERNAL DATA REF ------------------------
4-1
0.79;815-2;1-0.79
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.251	uSv h^-1	(10.5%)
 H*(10)_i	:	0.348	uSv     	(10.5%)
 h*(10)		:	27.4	pSv cm^2	(9.2%)
 phi		:	2.548	cm^-2 s^-1 	(5.0%)
 thermal   	:	0.5048
 epithermal	:	0.4418
 fast      	:	0.0534
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.49%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	4.294730E-03
2.580E-09	6.984883E-03
3.340E-09	1.135969E-02
4.310E-09	1.820444E-02
5.570E-09	2.892707E-02
7.190E-09	4.521091E-02
9.280E-09	6.934336E-02
1.200E-08	1.041311E-01
1.550E-08	1.512868E-01
2.000E-08	2.108393E-01
2.580E-08	3.202477E-01
3.340E-08	4.096914E-01
4.310E-08	4.873804E-01
5.570E-08	5.337571E-01
7.190E-08	5.306878E-01
9.280E-08	4.760031E-01
1.200E-07	3.888217E-01
1.550E-07	3.059703E-01
2.000E-07	2.540820E-01
2.580E-07	2.303349E-01
3.340E-07	2.184066E-01
4.310E-07	2.093929E-01
5.570E-07	2.009219E-01
7.190E-07	1.928518E-01
9.280E-07	1.851233E-01
1.200E-06	1.776645E-01
1.550E-06	1.705491E-01
2.000E-06	1.637579E-01
2.580E-06	1.572548E-01
3.340E-06	1.509361E-01
4.310E-06	1.449557E-01
5.570E-06	1.391895E-01
7.190E-06	1.336868E-01
9.280E-06	1.284133E-01
1.200E-05	1.233201E-01
1.550E-05	1.184580E-01
2.000E-05	1.138140E-01
2.580E-05	1.093638E-01
3.340E-05	1.050365E-01
4.310E-05	1.009378E-01
5.570E-05	9.698271E-02
7.190E-05	9.320527E-02
9.280E-05	8.958206E-02
1.200E-04	8.607953E-02
1.550E-04	8.273261E-02
2.000E-04	7.953244E-02
2.580E-04	7.646218E-02
3.340E-04	7.347273E-02
4.310E-04	7.063688E-02
5.570E-04	6.789555E-02
7.190E-04	6.527187E-02
9.280E-04	6.274902E-02
1.200E-03	6.031262E-02
1.550E-03	5.797283E-02
2.000E-03	5.572980E-02
2.580E-03	5.357281E-02
3.340E-03	5.146957E-02
4.310E-03	4.947573E-02
5.570E-03	4.755767E-02
7.190E-03	4.574498E-02
9.280E-03	4.404751E-02
1.200E-02	4.248339E-02
1.550E-02	4.111788E-02
2.000E-02	4.001331E-02
2.580E-02	3.924710E-02
3.340E-02	3.890709E-02
4.310E-02	3.907511E-02
5.570E-02	3.975123E-02
7.190E-02	4.079199E-02
9.280E-02	4.186310E-02
1.200E-01	4.244075E-02
1.550E-01	4.192519E-02
2.000E-01	3.992122E-02
2.580E-01	3.636395E-02
3.340E-01	3.136555E-02
4.310E-01	2.532990E-02
5.570E-01	1.858693E-02
7.190E-01	1.202404E-02
9.280E-01	6.660744E-03
1.200E+00	3.117654E-03
1.550E+00	1.297091E-03
2.000E+00	5.640673E-04
2.580E+00	3.729737E-04
3.340E+00	4.493987E-04
4.310E+00	6.956460E-04
5.570E+00	1.121090E-03
7.190E+00	1.794085E-03
9.280E+00	2.837779E-03
1.200E+01	4.435907E-03
1.550E+01	6.786762E-03
2.000E+01	1.010985E-02
2.580E+01	1.457947E-02
3.340E+01	2.026127E-02
4.310E+01	2.658100E-02
5.570E+01	3.259931E-02
7.190E+01	3.657265E-02
9.280E+01	3.665777E-02
1.200E+02	3.176178E-02
1.550E+02	2.286938E-02
2.000E+02	1.303325E-02
2.580E+02	5.511935E-03
3.340E+02	1.560458E-03
4.310E+02	2.743949E-04
5.570E+02	2.539162E-05
7.190E+02	1.060404E-06
9.280E+02	1.583367E-08
1.200E+03	6.039559E-11
1.550E+03	4.286220E-14
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

