 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190004

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4845.35 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0168

 DETECTORS		DIRECTIONS
 D1         142		R          111
 D2         139		RL         137
 D3         166		FL          94
 D4         132		F          127
 D5          92		FR         102
 D6          64		RR         149

------------------ INTERNAL DATA REF ------------------------
4-1
0.79;9513-0;1-0.68
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.124	uSv h^-1	(32.8%)
 H*(10)_i	:	0.167	uSv     	(32.8%)
 h*(10)		:	89.8	pSv cm^2	(24.8%)
 phi		:	0.384	cm^-2 s^-1 	(21.5%)
 thermal   	:	0.4262
 epithermal	:	0.3409
 fast      	:	0.2328
-------------------------------------------------------------
 Average experimental data uncertainty	:	9.38%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	7.530391E-04
2.580E-09	1.224731E-03
3.340E-09	1.991812E-03
4.310E-09	3.191972E-03
5.570E-09	5.072080E-03
7.190E-09	7.927292E-03
9.280E-09	1.215868E-02
1.200E-08	1.825838E-02
1.550E-08	2.652667E-02
2.000E-08	3.696863E-02
2.580E-08	5.103801E-02
3.340E-08	6.405958E-02
4.310E-08	7.401891E-02
5.570E-08	7.744585E-02
7.190E-08	7.174039E-02
9.280E-08	5.774729E-02
1.200E-07	4.022513E-02
1.550E-07	2.587497E-02
2.000E-07	1.808649E-02
2.580E-07	1.537305E-02
3.340E-07	1.469370E-02
4.310E-07	1.444441E-02
5.570E-07	1.423734E-02
7.190E-07	1.403703E-02
9.280E-07	1.384106E-02
1.200E-06	1.364782E-02
1.550E-06	1.345948E-02
2.000E-06	1.327585E-02
2.580E-06	1.309622E-02
3.340E-06	1.291792E-02
4.310E-06	1.274553E-02
5.570E-06	1.257573E-02
7.190E-06	1.241022E-02
9.280E-06	1.224820E-02
1.200E-05	1.208836E-02
1.550E-05	1.193249E-02
2.000E-05	1.178043E-02
2.580E-05	1.163160E-02
3.340E-05	1.148378E-02
4.310E-05	1.134074E-02
5.570E-05	1.119974E-02
7.190E-05	1.106217E-02
9.280E-05	1.092736E-02
1.200E-04	1.079418E-02
1.550E-04	1.066411E-02
2.000E-04	1.053697E-02
2.580E-04	1.041224E-02
3.340E-04	1.028798E-02
4.310E-04	1.016730E-02
5.570E-04	1.004777E-02
7.190E-04	9.930449E-03
9.280E-04	9.814603E-03
1.200E-03	9.699278E-03
1.550E-03	9.585164E-03
2.000E-03	9.471963E-03
2.580E-03	9.358853E-03
3.340E-03	9.243582E-03
4.310E-03	9.128504E-03
5.570E-03	9.010754E-03
7.190E-03	8.890719E-03
9.280E-03	8.767100E-03
1.200E-02	8.638145E-03
1.550E-02	8.504921E-03
2.000E-02	8.367750E-03
2.580E-02	8.227882E-03
3.340E-02	8.087263E-03
4.310E-02	7.957503E-03
5.570E-02	7.850118E-03
7.190E-02	7.788782E-03
9.280E-02	7.806562E-03
1.200E-01	7.951653E-03
1.550E-01	8.278978E-03
2.000E-01	8.841704E-03
2.580E-01	9.668888E-03
3.340E-01	1.073998E-02
4.310E-01	1.187442E-02
5.570E-01	1.279592E-02
7.190E-01	1.310260E-02
9.280E-01	1.245803E-02
1.200E+00	1.075249E-02
1.550E+00	8.269028E-03
2.000E+00	5.555662E-03
2.580E+00	3.197888E-03
3.340E+00	1.609590E-03
4.310E+00	9.424523E-04
5.570E+00	9.699161E-04
7.190E+00	1.438398E-03
9.280E+00	2.264429E-03
1.200E+01	3.544682E-03
1.550E+01	5.434468E-03
2.000E+01	8.116627E-03
2.580E+01	1.174365E-02
3.340E+01	1.638869E-02
4.310E+01	2.161114E-02
5.570E+01	2.667289E-02
7.190E+01	3.015438E-02
9.280E+01	3.050388E-02
1.200E+02	2.672246E-02
1.550E+02	1.949299E-02
2.000E+02	1.128447E-02
2.580E+02	4.868360E-03
3.340E+02	1.417476E-03
4.310E+02	2.599654E-04
5.570E+02	2.573399E-05
7.190E+02	1.194753E-06
9.280E+02	2.089493E-08
1.200E+03	9.939016E-11
1.550E+03	9.357632E-14
2.000E+03	1.029780E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

