 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190004

 PROCESSING PERFORMED AT MEASUREMENT TIME: 6544.52 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0170

 DETECTORS		DIRECTIONS
 D1         103		R           56
 D2         131		RL         109
 D3         132		FL          70
 D4          94		F          155
 D5          82		FR          98
 D6          49		RR          97

------------------ INTERNAL DATA REF ------------------------
4-1
0.79;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.022	uSv h^-1	(14.5%)
 H*(10)_i	:	0.040	uSv     	(14.5%)
 h*(10)		:	28.0	pSv cm^2	(9.9%)
 phi		:	0.220	cm^-2 s^-1 	(10.6%)
 thermal   	:	0.5069
 epithermal	:	0.4399
 fast      	:	0.0531
-------------------------------------------------------------
 Average experimental data uncertainty	:	10.49%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.324349E-04
2.580E-09	5.406669E-04
3.340E-09	8.793005E-04
4.310E-09	1.409120E-03
5.570E-09	2.239108E-03
7.190E-09	3.499564E-03
9.280E-09	5.367543E-03
1.200E-08	8.060299E-03
1.550E-08	1.171040E-02
2.000E-08	1.632008E-02
2.580E-08	2.591518E-02
3.340E-08	3.338950E-02
4.310E-08	4.014232E-02
5.570E-08	4.465468E-02
7.190E-08	4.539299E-02
9.280E-08	4.194101E-02
1.200E-07	3.551552E-02
1.550E-07	2.895035E-02
2.000E-07	2.457511E-02
2.580E-07	2.236487E-02
3.340E-07	2.108803E-02
4.310E-07	2.006477E-02
5.570E-07	1.910383E-02
7.190E-07	1.819608E-02
9.280E-07	1.733438E-02
1.200E-06	1.651010E-02
1.550E-06	1.573077E-02
2.000E-06	1.499357E-02
2.580E-06	1.429394E-02
3.340E-06	1.362027E-02
4.310E-06	1.298846E-02
5.570E-06	1.238480E-02
7.190E-06	1.181397E-02
9.280E-06	1.127192E-02
1.200E-05	1.075322E-02
1.550E-05	1.026263E-02
2.000E-05	9.798395E-03
2.580E-05	9.357647E-03
3.340E-05	8.933085E-03
4.310E-05	8.534735E-03
5.570E-05	8.153961E-03
7.190E-05	7.793729E-03
9.280E-05	7.451476E-03
1.200E-04	7.123780E-03
1.550E-04	6.813645E-03
2.000E-04	6.519954E-03
2.580E-04	6.240891E-03
3.340E-04	5.971811E-03
4.310E-04	5.719046E-03
5.570E-04	5.477093E-03
7.190E-04	5.247796E-03
9.280E-04	5.029477E-03
1.200E-03	4.820209E-03
1.550E-03	4.621394E-03
2.000E-03	4.432469E-03
2.580E-03	4.252231E-03
3.340E-03	4.077645E-03
4.310E-03	3.912849E-03
5.570E-03	3.754383E-03
7.190E-03	3.603733E-03
9.280E-03	3.460331E-03
1.200E-02	3.323631E-03
1.550E-02	3.196333E-03
2.000E-02	3.080113E-03
2.580E-02	2.977201E-03
3.340E-02	2.889841E-03
4.310E-02	2.824060E-03
5.570E-02	2.781108E-03
7.190E-02	2.760950E-03
9.280E-02	2.757115E-03
1.200E-01	2.755986E-03
1.550E-01	2.737085E-03
2.000E-01	2.677559E-03
2.580E-01	2.555825E-03
3.340E-01	2.349605E-03
4.310E-01	2.051203E-03
5.570E-01	1.661959E-03
7.190E-01	1.224929E-03
9.280E-01	8.039607E-04
1.200E+00	4.576769E-04
1.550E+00	2.223580E-04
2.000E+00	9.413390E-05
2.580E+00	4.488032E-05
3.340E+00	4.123267E-05
4.310E+00	6.093699E-05
5.570E+00	9.809204E-05
7.190E+00	1.573319E-04
9.280E+00	2.496030E-04
1.200E+01	3.916757E-04
1.550E+01	6.021884E-04
2.000E+01	9.026152E-04
2.580E+01	1.311873E-03
3.340E+01	1.841362E-03
4.310E+01	2.445481E-03
5.570E+01	3.045041E-03
7.190E+01	3.479432E-03
9.280E+01	3.564495E-03
1.200E+02	3.168305E-03
1.550E+02	2.347350E-03
2.000E+02	1.379256E-03
2.580E+02	6.016614E-04
3.340E+02	1.754651E-04
4.310E+02	3.164826E-05
5.570E+02	2.988376E-06
7.190E+02	1.266540E-07
9.280E+02	1.912234E-09
1.200E+03	7.376746E-12
1.550E+03	5.334314E-15
2.000E+03	3.393565E-19
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

