 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190004

 PROCESSING PERFORMED AT MEASUREMENT TIME: 10543.81 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0174

 DETECTORS		DIRECTIONS
 D1       28523		R        10402
 D2       33155		RL        5907
 D3       36378		FL       13845
 D4       30713		F        46820
 D5       24765		FR       47367
 D6       17197		RR       44201

------------------ INTERNAL DATA REF ------------------------
4-1
0.79;8345-2;1-0.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	2.759	uSv h^-1	(5.5%)
 H*(10)_i	:	8.081	uSv     	(5.5%)
 h*(10)		:	22.4	pSv cm^2	(4.8%)
 phi		:	34.243	cm^-2 s^-1 	(2.7%)
 thermal   	:	0.3358
 epithermal	:	0.6221
 fast      	:	0.0421
-------------------------------------------------------------
 Average experimental data uncertainty	:	0.61%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.912784E-02
2.580E-09	3.110923E-02
3.340E-09	5.059373E-02
4.310E-09	8.107884E-02
5.570E-09	1.288352E-01
7.190E-09	2.013600E-01
9.280E-09	3.088410E-01
1.200E-08	4.637784E-01
1.550E-08	6.738003E-01
2.000E-08	9.390349E-01
2.580E-08	1.820773E+00
3.340E-08	2.441415E+00
4.310E-08	3.103571E+00
5.570E-08	3.731663E+00
7.190E-08	4.203267E+00
9.280E-08	4.404975E+00
1.200E-07	4.289627E+00
1.550E-07	3.981212E+00
2.000E-07	3.702887E+00
2.580E-07	3.531640E+00
3.340E-07	3.412810E+00
4.310E-07	3.309287E+00
5.570E-07	3.209301E+00
7.190E-07	3.112841E+00
9.280E-07	3.019364E+00
1.200E-06	2.928075E+00
1.550E-06	2.839957E+00
2.000E-06	2.754868E+00
2.580E-06	2.672439E+00
3.340E-06	2.591415E+00
4.310E-06	2.513840E+00
5.570E-06	2.438184E+00
7.190E-06	2.365159E+00
9.280E-06	2.294382E+00
1.200E-05	2.225251E+00
1.550E-05	2.158512E+00
2.000E-05	2.094055E+00
2.580E-05	2.031604E+00
3.340E-05	1.970203E+00
4.310E-05	1.911403E+00
5.570E-05	1.854043E+00
7.190E-05	1.798660E+00
9.280E-05	1.744963E+00
1.200E-04	1.692493E+00
1.550E-04	1.641811E+00
2.000E-04	1.592831E+00
2.580E-04	1.545336E+00
3.340E-04	1.498594E+00
4.310E-04	1.453776E+00
5.570E-04	1.409985E+00
7.190E-04	1.367619E+00
9.280E-04	1.326437E+00
1.200E-03	1.286383E+00
1.550E-03	1.247433E+00
2.000E-03	1.209732E+00
2.580E-03	1.173155E+00
3.340E-03	1.137224E+00
4.310E-03	1.102993E+00
5.570E-03	1.070038E+00
7.190E-03	1.039091E+00
9.280E-03	1.010635E+00
1.200E-02	9.854319E-01
1.550E-02	9.651407E-01
2.000E-02	9.514022E-01
2.580E-02	9.459562E-01
3.340E-02	9.502427E-01
4.310E-02	9.637333E-01
5.570E-02	9.824140E-01
7.190E-02	9.962439E-01
9.280E-02	9.893813E-01
1.200E-01	9.431063E-01
1.550E-01	8.465485E-01
2.000E-01	7.072839E-01
2.580E-01	5.517713E-01
3.340E-01	4.092491E-01
4.310E-01	2.989568E-01
5.570E-01	2.144466E-01
7.190E-01	1.473338E-01
9.280E-01	9.331274E-02
1.200E+00	5.242601E-02
1.550E+00	2.547457E-02
2.000E+00	1.054264E-02
2.580E+00	4.088594E-03
3.340E+00	2.419849E-03
4.310E+00	2.991121E-03
5.570E+00	4.716836E-03
7.190E+00	7.564104E-03
9.280E+00	1.201504E-02
1.200E+01	1.888517E-02
1.550E+01	2.909803E-02
2.000E+01	4.373792E-02
2.580E+01	6.380541E-02
3.340E+01	9.000552E-02
4.310E+01	1.203222E-01
5.570E+01	1.511566E-01
7.190E+01	1.747984E-01
9.280E+01	1.820221E-01
1.200E+02	1.655147E-01
1.550E+02	1.265731E-01
2.000E+02	7.775200E-02
2.580E+02	3.612287E-02
3.340E+02	1.154139E-02
4.310E+02	2.367697E-03
5.570E+02	2.686622E-04
7.190E+02	1.472297E-05
9.280E+02	3.174825E-07
1.200E+03	2.008106E-09
1.550E+03	2.854977E-12
2.000E+03	5.545081E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

