 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190004

 PROCESSING PERFORMED AT MEASUREMENT TIME: 6145.13 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0175

 DETECTORS		DIRECTIONS
 D1         666		R          314
 D2         783		RL         332
 D3         858		FL         556
 D4         776		F         1140
 D5         604		FR        1003
 D6         479		RR         777

------------------ INTERNAL DATA REF ------------------------
4-1
0.79;834-2;1-0.88
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.363	uSv h^-1	(7.8%)
 H*(10)_i	:	0.619	uSv     	(7.8%)
 h*(10)		:	59.8	pSv cm^2	(6.5%)
 phi		:	1.683	cm^-2 s^-1 	(4.3%)
 thermal   	:	0.4367
 epithermal	:	0.4037
 fast      	:	0.1596
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.85%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.164827E-03
2.580E-09	5.147227E-03
3.340E-09	8.371067E-03
4.310E-09	1.341503E-02
5.570E-09	2.131663E-02
7.190E-09	3.331635E-02
9.280E-09	5.109978E-02
1.200E-08	7.673520E-02
1.550E-08	1.114847E-01
2.000E-08	1.553695E-01
2.580E-08	2.179245E-01
3.340E-08	2.745199E-01
4.310E-08	3.190022E-01
5.570E-08	3.368593E-01
7.190E-08	3.167940E-01
9.280E-08	2.614903E-01
1.200E-07	1.898828E-01
1.550E-07	1.298586E-01
2.000E-07	9.654964E-02
2.580E-07	8.444003E-02
3.340E-07	8.089188E-02
4.310E-07	7.918764E-02
5.570E-07	7.768397E-02
7.190E-07	7.623733E-02
9.280E-07	7.483398E-02
1.200E-06	7.346190E-02
1.550E-06	7.213591E-02
2.000E-06	7.085384E-02
2.580E-06	6.961023E-02
3.340E-06	6.838608E-02
4.310E-06	6.721232E-02
5.570E-06	6.606583E-02
7.190E-06	6.495745E-02
9.280E-06	6.388139E-02
1.200E-05	6.282853E-02
1.550E-05	6.181025E-02
2.000E-05	6.082495E-02
2.580E-05	5.986841E-02
3.340E-05	5.892604E-02
4.310E-05	5.802164E-02
5.570E-05	5.713738E-02
7.190E-05	5.628159E-02
9.280E-05	5.544975E-02
1.200E-04	5.463472E-02
1.550E-04	5.384519E-02
2.000E-04	5.307977E-02
2.580E-04	5.233501E-02
3.340E-04	5.159921E-02
4.310E-04	5.089059E-02
5.570E-04	5.019474E-02
7.190E-04	4.951759E-02
9.280E-04	4.885481E-02
1.200E-03	4.820500E-02
1.550E-03	4.756664E-02
2.000E-03	4.694117E-02
2.580E-03	4.632523E-02
3.340E-03	4.570883E-02
4.310E-03	4.510793E-02
5.570E-03	4.451280E-02
7.190E-03	4.393401E-02
9.280E-03	4.337857E-02
1.200E-02	4.286058E-02
1.550E-02	4.241820E-02
2.000E-02	4.210314E-02
2.580E-02	4.199650E-02
3.340E-02	4.222878E-02
4.310E-02	4.297373E-02
5.570E-02	4.447433E-02
7.190E-02	4.698238E-02
9.280E-02	5.073466E-02
1.200E-01	5.584944E-02
1.550E-01	6.198380E-02
2.000E-01	6.826231E-02
2.580E-01	7.316665E-02
3.340E-01	7.469906E-02
4.310E-01	7.100057E-02
5.570E-01	6.141156E-02
7.190E-01	4.727518E-02
9.280E-01	3.158809E-02
1.200E+00	1.783594E-02
1.550E+00	8.579678E-03
2.000E+00	3.905779E-03
2.580E+00	2.351519E-03
3.340E+00	2.366817E-03
4.310E+00	3.007495E-03
5.570E+00	3.914277E-03
7.190E+00	5.053086E-03
9.280E+00	6.615709E-03
1.200E+01	9.018334E-03
1.550E+01	1.278987E-02
2.000E+01	1.843750E-02
2.580E+01	2.622867E-02
3.340E+01	3.611117E-02
4.310E+01	4.688439E-02
5.570E+01	5.674026E-02
7.190E+01	6.258807E-02
9.280E+01	6.140263E-02
1.200E+02	5.178159E-02
1.550E+02	3.607511E-02
2.000E+02	1.978230E-02
2.580E+02	8.023631E-03
3.340E+02	2.184327E-03
4.310E+02	3.758935E-04
5.570E+02	3.549062E-05
7.190E+02	1.635042E-06
9.280E+02	3.040184E-08
1.200E+03	1.699038E-10
1.550E+03	2.118328E-13
2.000E+03	3.682617E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

