[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.72	0.613	88.7%	0.003	88.7%	124.5	18.5%	1.367	86.7%	73.99%	29.3%	36.4%	34.3%	[1-0.00 0]
1	H	(3)	39.42	0.585	71.4%	0.006	71.4%	114.2	15.4%	1.422	69.7%	51.45%	33.1%	35.9%	31.0%	[1-0.00 0]
2	H	(3)	59.11	0.756	57.9%	0.012	57.9%	127.8	13.1%	1.643	56.4%	40.34%	35.2%	29.7%	35.1%	[1-0.00 0]
3	H	(3)	79.95	0.832	50.5%	0.018	50.5%	135.0	11.5%	1.712	49.2%	34.01%	32.5%	30.5%	37.0%	[1-0.00 0]
4	H	(3)	99.66	0.854	46.4%	0.024	46.4%	138.1	10.5%	1.718	45.2%	30.28%	30.7%	31.5%	37.8%	[1-0.00 0]
5	H	(3)	119.38	0.851	38.6%	0.028	38.6%	140.8	8.4%	1.679	37.7%	27.94%	30.3%	31.3%	38.3%	[1-0.00 0]
6	H	(3)	139.11	0.792	35.4%	0.031	35.4%	137.1	7.7%	1.604	34.5%	26.33%	30.0%	32.7%	37.4%	[1-0.00 0]
7	H	(3)	159.99	0.748	28.9%	0.033	28.9%	123.6	7.2%	1.682	28.0%	23.28%	27.5%	39.3%	33.2%	[1-0.00 0]
8	H	(3)	179.71	0.707	26.8%	0.035	26.8%	117.5	7.6%	1.671	25.7%	21.83%	27.2%	41.5%	31.3%	[1-0.00 0]
9	H	(3)	199.42	0.704	24.7%	0.039	24.7%	115.3	7.2%	1.697	23.7%	20.71%	27.8%	41.6%	30.6%	[1-0.00 0]
10	H	(3)	219.13	0.695	23.7%	0.042	23.7%	115.7	6.8%	1.669	22.7%	19.98%	29.2%	40.0%	30.8%	[1-0.00 0]
11	H	(3)	240.00	0.794	22.8%	0.053	22.8%	130.1	6.7%	1.696	21.8%	19.12%	30.0%	35.1%	34.9%	[1-0.00 0]
12	H	(3)	259.71	0.853	21.9%	0.062	21.9%	139.2	6.2%	1.701	21.0%	18.46%	32.3%	29.9%	37.8%	[1-0.00 0]
13	H	(3)	279.43	0.951	19.8%	0.074	19.8%	143.0	5.4%	1.848	19.0%	17.59%	36.4%	24.5%	39.0%	[1-0.93 0]
14	H	(3)	300.29	0.936	19.2%	0.078	19.2%	140.7	5.5%	1.847	18.4%	17.07%	39.6%	22.0%	38.4%	[1-0.84 0]
15	H	(3)	319.98	0.865	19.5%	0.077	19.5%	135.7	6.1%	1.770	18.5%	16.80%	41.0%	21.8%	37.2%	[1-0.63 0]
16	H	(3)	339.69	0.840	18.8%	0.079	18.8%	131.4	6.0%	1.775	17.8%	16.27%	41.6%	22.4%	36.0%	[1-0.70 0]
17	H	(3)	359.39	0.835	18.6%	0.083	18.6%	131.6	6.1%	1.763	17.5%	15.97%	42.4%	21.6%	36.0%	[1-0.77 0]
18	H	(3)	380.27	0.787	18.0%	0.083	18.0%	128.1	5.7%	1.707	17.1%	15.60%	41.6%	23.4%	35.0%	[1-0.55 0]
19	H	(3)	399.98	0.733	17.9%	0.081	17.9%	123.4	6.0%	1.651	16.9%	15.28%	41.2%	25.2%	33.6%	[1-0.19 2]
20	H	(3)	419.69	0.732	17.3%	0.085	17.3%	123.3	5.4%	1.648	16.4%	15.09%	41.3%	25.4%	33.3%	[1-0.52 0]
21	H	(3)	439.40	0.720	16.4%	0.088	16.4%	118.4	5.0%	1.689	15.7%	14.74%	42.9%	25.2%	31.9%	[1-0.88 0]
22	H	(3)	460.27	0.698	16.2%	0.089	16.2%	116.7	4.8%	1.662	15.5%	14.55%	43.7%	25.2%	31.1%	[1-0.92 0]
23	H	(3)	479.98	0.664	15.9%	0.089	15.9%	111.6	4.9%	1.653	15.2%	14.27%	45.3%	25.0%	29.7%	[1-0.73 0]
