 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190004

 PROCESSING PERFORMED AT MEASUREMENT TIME: 8207.55 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0182

 DETECTORS		DIRECTIONS
 D1        1596		R         1391
 D2        1544		RL        1116
 D3        1459		FL        1001
 D4        1091		F          943
 D5         808		FR        1178
 D6         599		RR        1409

------------------ INTERNAL DATA REF ------------------------
4-1
0.79;805-2;1-0.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.156	uSv h^-1	(6.7%)
 H*(10)_i	:	0.355	uSv     	(6.7%)
 h*(10)		:	21.0	pSv cm^2	(5.6%)
 phi		:	2.056	cm^-2 s^-1 	(3.7%)
 thermal   	:	0.6093
 epithermal	:	0.3623
 fast      	:	0.0285
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.05%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.675831E-03
2.580E-09	4.351931E-03
3.340E-09	7.077657E-03
4.310E-09	1.134228E-02
5.570E-09	1.802301E-02
7.190E-09	2.816865E-02
9.280E-09	4.320438E-02
1.200E-08	6.487888E-02
1.550E-08	9.425925E-02
2.000E-08	1.313634E-01
2.580E-08	2.524056E-01
3.340E-08	3.316269E-01
4.310E-08	4.103487E-01
5.570E-08	4.753547E-01
7.190E-08	5.092591E-01
9.280E-08	5.005411E-01
1.200E-07	4.516736E-01
1.550E-07	3.869292E-01
2.000E-07	3.344643E-01
2.580E-07	3.000190E-01
3.340E-07	2.744390E-01
4.310E-07	2.525573E-01
5.570E-07	2.324365E-01
7.190E-07	2.140142E-01
9.280E-07	1.970700E-01
1.200E-06	1.813666E-01
1.550E-06	1.669829E-01
2.000E-06	1.537993E-01
2.580E-06	1.416751E-01
3.340E-06	1.303645E-01
4.310E-06	1.200872E-01
5.570E-06	1.105726E-01
7.190E-06	1.018550E-01
9.280E-06	9.383317E-02
1.200E-05	8.639536E-02
1.550E-05	7.957947E-02
2.000E-05	7.332939E-02
2.580E-05	6.757884E-02
3.340E-05	6.221161E-02
4.310E-05	5.733237E-02
5.570E-05	5.281299E-02
7.190E-05	4.867009E-02
9.280E-05	4.485584E-02
1.200E-04	4.131735E-02
1.550E-04	3.807288E-02
2.000E-04	3.509594E-02
2.580E-04	3.235515E-02
3.340E-04	2.979523E-02
4.310E-04	2.746622E-02
5.570E-04	2.530709E-02
7.190E-04	2.332581E-02
9.280E-04	2.149959E-02
1.200E-03	1.980708E-02
1.550E-03	1.825161E-02
2.000E-03	1.682349E-02
2.580E-03	1.550861E-02
3.340E-03	1.428205E-02
4.310E-03	1.317036E-02
5.570E-03	1.214851E-02
7.190E-03	1.122684E-02
9.280E-03	1.040468E-02
1.200E-02	9.686202E-03
1.550E-02	9.097162E-03
2.000E-02	8.661038E-03
2.580E-02	8.408140E-03
3.340E-02	8.374879E-03
4.310E-02	8.589436E-03
5.570E-02	9.048174E-03
7.190E-02	9.678573E-03
9.280E-02	1.032345E-02
1.200E-01	1.073950E-02
1.550E-01	1.064787E-02
2.000E-01	9.881618E-03
2.580E-01	8.473334E-03
3.340E-01	6.623803E-03
4.310E-01	4.699985E-03
5.570E-01	2.965485E-03
7.190E-01	1.649522E-03
9.280E-01	8.116253E-04
1.200E+00	3.667076E-04
1.550E+00	1.765275E-04
2.000E+00	1.241768E-04
2.580E+00	1.479261E-04
3.340E+00	2.280862E-04
4.310E+00	3.684734E-04
5.570E+00	5.977587E-04
7.190E+00	9.603112E-04
9.280E+00	1.526200E-03
1.200E+01	2.400426E-03
1.550E+01	3.701616E-03
2.000E+01	5.569887E-03
2.580E+01	8.136454E-03
3.340E+01	1.149773E-02
4.310E+01	1.540472E-02
5.570E+01	1.940753E-02
7.190E+01	2.252370E-02
9.280E+01	2.356103E-02
1.200E+02	2.154792E-02
1.550E+02	1.659767E-02
2.000E+02	1.028931E-02
2.580E+02	4.837461E-03
3.340E+02	1.571423E-03
4.310E+02	3.304036E-04
5.570E+02	3.906773E-05
7.190E+02	2.304789E-06
9.280E+02	5.684328E-08
1.200E+03	4.543007E-10
1.550E+03	9.279458E-13
2.000E+03	3.269677E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

