 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190004

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4163.41 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0198

 DETECTORS		DIRECTIONS
 D1         978		R          812
 D2        1176		RL        1175
 D3        1381		FL        1175
 D4        1157		F         1482
 D5        1100		FR        1007
 D6         879		RR         943

------------------ INTERNAL DATA REF ------------------------
4-1
0.79;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	1.244	uSv h^-1	(7.8%)
 H*(10)_i	:	1.438	uSv     	(7.8%)
 h*(10)		:	86.5	pSv cm^2	(6.8%)
 phi		:	3.994	cm^-2 s^-1 	(3.8%)
 thermal   	:	0.3938
 epithermal	:	0.3693
 fast      	:	0.2370
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.02%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	7.000325E-03
2.580E-09	1.138522E-02
3.340E-09	1.851608E-02
4.310E-09	2.967289E-02
5.570E-09	4.715055E-02
7.190E-09	7.369289E-02
9.280E-09	1.130283E-01
1.200E-08	1.697316E-01
1.550E-08	2.465945E-01
2.000E-08	3.436640E-01
2.580E-08	4.775774E-01
3.340E-08	6.004448E-01
4.310E-08	6.956509E-01
5.570E-08	7.310638E-01
7.190E-08	6.822044E-01
9.280E-08	5.560782E-01
1.200E-07	3.957871E-01
1.550E-07	2.632191E-01
2.000E-07	1.907280E-01
2.580E-07	1.652524E-01
3.340E-07	1.586840E-01
4.310E-07	1.561250E-01
5.570E-07	1.539655E-01
7.190E-07	1.518779E-01
9.280E-07	1.498384E-01
1.200E-06	1.478302E-01
1.550E-06	1.458757E-01
2.000E-06	1.439727E-01
2.580E-06	1.421138E-01
3.340E-06	1.402711E-01
4.310E-06	1.384920E-01
5.570E-06	1.367420E-01
7.190E-06	1.350385E-01
9.280E-06	1.333733E-01
1.200E-05	1.317327E-01
1.550E-05	1.301351E-01
2.000E-05	1.285787E-01
2.580E-05	1.270575E-01
3.340E-05	1.255485E-01
4.310E-05	1.240905E-01
5.570E-05	1.226554E-01
7.190E-05	1.212570E-01
9.280E-05	1.198886E-01
1.200E-04	1.185387E-01
1.550E-04	1.172222E-01
2.000E-04	1.159370E-01
2.580E-04	1.146780E-01
3.340E-04	1.134253E-01
4.310E-04	1.122101E-01
5.570E-04	1.110080E-01
7.190E-04	1.098293E-01
9.280E-04	1.086663E-01
1.200E-03	1.075222E-01
1.550E-03	1.063861E-01
2.000E-03	1.052646E-01
2.580E-03	1.041524E-01
3.340E-03	1.030329E-01
4.310E-03	1.019379E-01
5.570E-03	1.008548E-01
7.190E-03	9.981198E-02
9.280E-03	9.883798E-02
1.200E-02	9.798644E-02
1.550E-02	9.737216E-02
2.000E-02	9.716376E-02
2.580E-02	9.763087E-02
3.340E-02	9.922559E-02
4.310E-02	1.025384E-01
5.570E-02	1.084942E-01
7.190E-02	1.181566E-01
9.280E-02	1.327829E-01
1.200E-01	1.536046E-01
1.550E-01	1.806095E-01
2.000E-01	2.121393E-01
2.580E-01	2.439182E-01
3.340E-01	2.688943E-01
4.310E-01	2.774123E-01
5.570E-01	2.628899E-01
7.190E-01	2.249696E-01
9.280E-01	1.711736E-01
1.200E+00	1.135490E-01
1.550E+00	6.479766E-02
2.000E+00	3.175915E-02
2.580E+00	1.458090E-02
3.340E+00	8.654132E-03
4.310E+00	8.636401E-03
5.570E+00	1.126419E-02
7.190E+00	1.598136E-02
9.280E+00	2.361533E-02
1.200E+01	3.542745E-02
1.550E+01	5.235945E-02
2.000E+01	7.502362E-02
2.580E+01	1.032113E-01
3.340E+01	1.353606E-01
4.310E+01	1.658559E-01
5.570E+01	1.876751E-01
7.190E+01	1.920304E-01
9.280E+01	1.735251E-01
1.200E+02	1.339380E-01
1.550E+02	8.508871E-02
2.000E+02	4.246861E-02
2.580E+02	1.567985E-02
3.340E+02	3.887172E-03
4.310E+02	6.092547E-04
5.570E+02	5.167829E-05
7.190E+02	2.061664E-06
9.280E+02	3.098656E-08
1.200E+03	1.267069E-10
1.550E+03	1.034026E-13
2.000E+03	9.367274E-18
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

