 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 3983.99 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0108

 DETECTORS		DIRECTIONS
 D1          16		R           18
 D2          13		RL           8
 D3          15		FL          11
 D4           9		F            6
 D5           8		FR          12
 D6          11		RR          16

------------------ INTERNAL DATA REF ------------------------
4-0
0.80;0-0;1-0.91
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.023	uSv h^-1	(31.2%)
 H*(10)_i	:	0.026	uSv     	(31.2%)
 h*(10)		:	118.0	pSv cm^2	(8.3%)
 phi		:	0.054	cm^-2 s^-1 	(30.1%)
 thermal   	:	0.5017
 epithermal	:	0.1768
 fast      	:	0.3215
-------------------------------------------------------------
 Average experimental data uncertainty	:	29.57%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	1.388984E-04
2.580E-09	2.259022E-04
3.340E-09	3.673905E-04
4.310E-09	5.887605E-04
5.570E-09	9.355471E-04
7.190E-09	1.462192E-03
9.280E-09	2.242674E-03
1.200E-08	3.367764E-03
1.550E-08	4.892855E-03
2.000E-08	6.818878E-03
2.580E-08	9.248092E-03
3.340E-08	1.154872E-02
4.310E-08	1.323719E-02
5.570E-08	1.366435E-02
7.190E-08	1.236628E-02
9.280E-08	9.546308E-03
1.200E-07	6.148979E-03
1.550E-07	3.437645E-03
2.000E-07	1.991171E-03
2.580E-07	1.491479E-03
3.340E-07	1.367994E-03
4.310E-07	1.324321E-03
5.570E-07	1.288929E-03
7.190E-07	1.255210E-03
9.280E-07	1.222701E-03
1.200E-06	1.191107E-03
1.550E-06	1.160754E-03
2.000E-06	1.131577E-03
2.580E-06	1.103435E-03
3.340E-06	1.075890E-03
4.310E-06	1.049624E-03
5.570E-06	1.024106E-03
7.190E-06	9.995680E-04
9.280E-06	9.758689E-04
1.200E-05	9.527991E-04
1.550E-05	9.305989E-04
2.000E-05	9.092228E-04
2.580E-05	8.885704E-04
3.340E-05	8.683200E-04
4.310E-05	8.489759E-04
5.570E-05	8.301488E-04
7.190E-05	8.120094E-04
9.280E-05	7.944555E-04
1.200E-04	7.773316E-04
1.550E-04	7.608159E-04
2.000E-04	7.448741E-04
2.580E-04	7.294304E-04
3.340E-04	7.142411E-04
4.310E-04	6.996808E-04
5.570E-04	6.854522E-04
7.190E-04	6.716778E-04
9.280E-04	6.582718E-04
1.200E-03	6.451128E-04
1.550E-03	6.323092E-04
2.000E-03	6.198243E-04
2.580E-03	6.075779E-04
3.340E-03	5.953465E-04
4.310E-03	5.833991E-04
5.570E-03	5.714557E-04
7.190E-03	5.595765E-04
9.280E-03	5.476456E-04
1.200E-02	5.355013E-04
1.550E-02	5.232278E-04
2.000E-02	5.107971E-04
2.580E-02	4.982076E-04
3.340E-02	4.854240E-04
4.310E-02	4.731430E-04
5.570E-02	4.618517E-04
7.190E-02	4.529435E-04
9.280E-02	4.484955E-04
1.200E-01	4.520074E-04
1.550E-01	4.684891E-04
2.000E-01	5.048991E-04
2.580E-01	5.701041E-04
3.340E-01	6.754891E-04
4.310E-01	8.257692E-04
5.570E-01	1.022562E-03
7.190E-01	1.247146E-03
9.280E-01	1.460341E-03
1.200E+00	1.600808E-03
1.550E+00	1.599235E-03
2.000E+00	1.421780E-03
2.580E+00	1.099780E-03
3.340E+00	7.255347E-04
4.310E+00	4.262224E-04
5.570E+00	2.674366E-04
7.190E+00	2.540755E-04
9.280E+00	3.540930E-04
1.200E+01	5.517481E-04
1.550E+01	8.592856E-04
2.000E+01	1.311687E-03
2.580E+01	1.952363E-03
3.340E+01	2.828400E-03
4.310E+01	3.913760E-03
5.570E+01	5.146190E-03
7.190E+01	6.319187E-03
9.280E+01	7.126358E-03
1.200E+02	7.216248E-03
1.550E+02	6.378468E-03
2.000E+02	4.769080E-03
2.580E+02	2.901226E-03
3.340E+02	1.353429E-03
4.310E+02	4.662320E-04
5.570E+02	1.084750E-04
7.190E+02	1.570603E-05
9.280E+02	1.236545E-06
1.200E+03	4.317830E-08
1.550E+03	5.494577E-10
2.000E+03	1.910990E-12
2.580E+03	1.218112E-15
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

