 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 7186.96 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0111

 DETECTORS		DIRECTIONS
 D1          94		R           66
 D2         130		RL         109
 D3         143		FL         114
 D4         133		F          125
 D5          90		FR         117
 D6          67		RR         116

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;93-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.019	uSv h^-1	(11.9%)
 H*(10)_i	:	0.038	uSv     	(11.9%)
 h*(10)		:	27.0	pSv cm^2	(6.6%)
 phi		:	0.194	cm^-2 s^-1 	(9.9%)
 thermal   	:	0.2858
 epithermal	:	0.6558
 fast      	:	0.0584
-------------------------------------------------------------
 Average experimental data uncertainty	:	9.81%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	5.827058E-05
2.580E-09	9.477037E-05
3.340E-09	1.541275E-04
4.310E-09	2.469965E-04
5.570E-09	3.924803E-04
7.190E-09	6.134182E-04
9.280E-09	9.408455E-04
1.200E-08	1.412843E-03
1.550E-08	2.052648E-03
2.000E-08	2.860652E-03
2.580E-08	6.968862E-03
3.340E-08	9.649762E-03
4.310E-08	1.278559E-02
5.570E-08	1.618353E-02
7.190E-08	1.932021E-02
9.280E-08	2.148330E-02
1.200E-07	2.206674E-02
1.550E-07	2.131498E-02
2.000E-07	2.028011E-02
2.580E-07	1.951191E-02
3.340E-07	1.890671E-02
4.310E-07	1.836044E-02
5.570E-07	1.783254E-02
7.190E-07	1.732499E-02
9.280E-07	1.683487E-02
1.200E-06	1.635791E-02
1.550E-06	1.589915E-02
2.000E-06	1.545773E-02
2.580E-06	1.503162E-02
3.340E-06	1.461427E-02
4.310E-06	1.421610E-02
5.570E-06	1.382916E-02
7.190E-06	1.345700E-02
9.280E-06	1.309758E-02
1.200E-05	1.274777E-02
1.550E-05	1.241127E-02
2.000E-05	1.208743E-02
2.580E-05	1.177477E-02
3.340E-05	1.146847E-02
4.310E-05	1.117618E-02
5.570E-05	1.089206E-02
7.190E-05	1.061870E-02
9.280E-05	1.035458E-02
1.200E-04	1.009740E-02
1.550E-04	9.849837E-03
2.000E-04	9.611402E-03
2.580E-04	9.380967E-03
3.340E-04	9.154922E-03
4.310E-04	8.938860E-03
5.570E-04	8.728379E-03
7.190E-04	8.525311E-03
9.280E-04	8.328408E-03
1.200E-03	8.136905E-03
1.550E-03	7.951111E-03
2.000E-03	7.771274E-03
2.580E-03	7.596543E-03
3.340E-03	7.424262E-03
4.310E-03	7.258984E-03
5.570E-03	7.097973E-03
7.190E-03	6.943790E-03
9.280E-03	6.797442E-03
1.200E-02	6.660716E-03
1.550E-02	6.539577E-03
2.000E-02	6.439698E-03
2.580E-02	6.367571E-03
3.340E-02	6.329079E-03
4.310E-02	6.326867E-03
5.570E-02	6.350283E-03
7.190E-02	6.368252E-03
9.280E-02	6.323150E-03
1.200E-01	6.133824E-03
1.550E-01	5.727230E-03
2.000E-01	5.082354E-03
2.580E-01	4.258336E-03
3.340E-01	3.365227E-03
4.310E-01	2.544274E-03
5.570E-01	1.836436E-03
7.190E-01	1.255461E-03
9.280E-01	7.941417E-04
1.200E+00	4.495629E-04
1.550E+00	2.216751E-04
2.000E+00	9.361335E-05
2.580E+00	3.751533E-05
3.340E+00	2.322596E-05
4.310E+00	2.917892E-05
5.570E+00	4.605486E-05
7.190E+00	7.379869E-05
9.280E+00	1.170989E-04
1.200E+01	1.837973E-04
1.550E+01	2.826757E-04
2.000E+01	4.238841E-04
2.580E+01	6.164327E-04
3.340E+01	8.659058E-04
4.310E+01	1.151184E-03
5.570E+01	1.435446E-03
7.190E+01	1.643385E-03
9.280E+01	1.688067E-03
1.200E+02	1.506133E-03
1.550E+02	1.121889E-03
2.000E+02	6.643172E-04
2.580E+02	2.930858E-04
3.340E+02	8.694787E-05
4.310E+02	1.608974E-05
5.570E+02	1.581202E-06
7.190E+02	7.139714E-08
9.280E+02	1.195723E-09
1.200E+03	5.493280E-12
1.550E+03	5.299110E-15
2.000E+03	6.113245E-19
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

