 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 2822.12 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0113

 DETECTORS		DIRECTIONS
 D1          82		R           56
 D2          85		RL          77
 D3         113		FL          71
 D4         111		F          130
 D5          70		FR          92
 D6          62		RR          84

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.068	uSv h^-1	(13.4%)
 H*(10)_i	:	0.053	uSv     	(13.4%)
 h*(10)		:	42.9	pSv cm^2	(7.3%)
 phi		:	0.439	cm^-2 s^-1 	(11.2%)
 thermal   	:	0.3958
 epithermal	:	0.4871
 fast      	:	0.1171
-------------------------------------------------------------
 Average experimental data uncertainty	:	10.91%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	7.453117E-04
2.580E-09	1.212163E-03
3.340E-09	1.971373E-03
4.310E-09	3.159217E-03
5.570E-09	5.020031E-03
7.190E-09	7.845945E-03
9.280E-09	1.203391E-02
1.200E-08	1.807101E-02
1.550E-08	2.625446E-02
2.000E-08	3.658927E-02
2.580E-08	5.112288E-02
3.340E-08	6.439458E-02
4.310E-08	7.482271E-02
5.570E-08	7.901388E-02
7.190E-08	7.434201E-02
9.280E-08	6.146340E-02
1.200E-07	4.482373E-02
1.550E-07	3.093551E-02
2.000E-07	2.332689E-02
2.580E-07	2.069828E-02
3.340E-07	2.007928E-02
4.310E-07	1.988276E-02
5.570E-07	1.972594E-02
7.190E-07	1.957328E-02
9.280E-07	1.942265E-02
1.200E-06	1.927288E-02
1.550E-06	1.912567E-02
2.000E-06	1.898094E-02
2.580E-06	1.883820E-02
3.340E-06	1.869534E-02
4.310E-06	1.855607E-02
5.570E-06	1.841779E-02
7.190E-06	1.828190E-02
9.280E-06	1.814780E-02
1.200E-05	1.801446E-02
1.550E-05	1.788338E-02
2.000E-05	1.775448E-02
2.580E-05	1.762734E-02
3.340E-05	1.750004E-02
4.310E-05	1.737588E-02
5.570E-05	1.725253E-02
7.190E-05	1.713121E-02
9.280E-05	1.701137E-02
1.200E-04	1.689201E-02
1.550E-04	1.677446E-02
2.000E-04	1.665859E-02
2.580E-04	1.654390E-02
3.340E-04	1.642859E-02
4.310E-04	1.631549E-02
5.570E-04	1.620232E-02
7.190E-04	1.608996E-02
9.280E-04	1.597763E-02
1.200E-03	1.587157E-02
1.550E-03	1.576243E-02
2.000E-03	1.565529E-02
2.580E-03	1.555099E-02
3.340E-03	1.545027E-02
4.310E-03	1.535974E-02
5.570E-03	1.528435E-02
7.190E-03	1.523583E-02
9.280E-03	1.523092E-02
1.200E-02	1.529635E-02
1.550E-02	1.546950E-02
2.000E-02	1.579950E-02
2.580E-02	1.634691E-02
3.340E-02	1.718659E-02
4.310E-02	1.833484E-02
5.570E-02	1.978083E-02
7.190E-02	2.136098E-02
9.280E-02	2.277202E-02
1.200E-01	2.357489E-02
1.550E-01	2.331147E-02
2.000E-01	2.177152E-02
2.580E-01	1.909554E-02
3.340E-01	1.564023E-02
4.310E-01	1.196165E-02
5.570E-01	8.413402E-03
7.190E-01	5.403411E-03
9.280E-01	3.148420E-03
1.200E+00	1.641198E-03
1.550E+00	7.578354E-04
2.000E+00	3.186534E-04
2.580E+00	1.561988E-04
3.340E+00	1.416924E-04
4.310E+00	2.041492E-04
5.570E+00	3.244066E-04
7.190E+00	5.141715E-04
9.280E+00	8.037901E-04
1.200E+01	1.237900E-03
1.550E+01	1.859250E-03
2.000E+01	2.707507E-03
2.580E+01	3.798812E-03
3.340E+01	5.108147E-03
4.310E+01	6.456855E-03
5.570E+01	7.605324E-03
7.190E+01	8.202460E-03
9.280E+01	7.966424E-03
1.200E+02	6.824480E-03
1.550E+02	5.063634E-03
2.000E+02	3.216560E-03
2.580E+02	1.766136E-03
3.340E+02	8.788402E-04
4.310E+02	4.340165E-04
5.570E+02	2.009416E-04
7.190E+02	7.447870E-05
9.280E+02	1.862692E-05
1.200E+03	2.661219E-06
1.550E+03	1.875282E-07
2.000E+03	5.339586E-09
2.580E+03	4.691134E-11
3.340E+03	8.153425E-14
4.310E+03	2.108780E-17
5.570E+03	0.000000E+00

