 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4485.46 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0115

 DETECTORS		DIRECTIONS
 D1         900		R          574
 D2        1037		RL         960
 D3        1072		FL         645
 D4         957		F         1149
 D5         742		FR         737
 D6         494		RR        1069

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;835-2;1-0.61
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.367	uSv h^-1	(10.2%)
 H*(10)_i	:	0.458	uSv     	(10.2%)
 h*(10)		:	37.4	pSv cm^2	(8.4%)
 phi		:	2.730	cm^-2 s^-1 	(5.9%)
 thermal   	:	0.4410
 epithermal	:	0.4703
 fast      	:	0.0887
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.48%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.985789E-03
2.580E-09	6.482426E-03
3.340E-09	1.054254E-02
4.310E-09	1.689491E-02
5.570E-09	2.684620E-02
7.190E-09	4.195866E-02
9.280E-09	6.435515E-02
1.200E-08	9.664044E-02
1.550E-08	1.404040E-01
2.000E-08	1.956726E-01
2.580E-08	2.964151E-01
3.340E-08	3.793318E-01
4.310E-08	4.515014E-01
5.570E-08	4.949291E-01
7.190E-08	4.929389E-01
9.280E-08	4.435366E-01
1.200E-07	3.642307E-01
1.550E-07	2.888266E-01
2.000E-07	2.419495E-01
2.580E-07	2.210760E-01
3.340E-07	2.111118E-01
4.310E-07	2.037701E-01
5.570E-07	1.968732E-01
7.190E-07	1.902827E-01
9.280E-07	1.839512E-01
1.200E-06	1.778211E-01
1.550E-06	1.719545E-01
2.000E-06	1.663371E-01
2.580E-06	1.609407E-01
3.340E-06	1.556802E-01
4.310E-06	1.506851E-01
5.570E-06	1.458530E-01
7.190E-06	1.412264E-01
9.280E-06	1.367778E-01
1.200E-05	1.324669E-01
1.550E-05	1.283377E-01
2.000E-05	1.243804E-01
2.580E-05	1.205753E-01
3.340E-05	1.168624E-01
4.310E-05	1.133334E-01
5.570E-05	1.099162E-01
7.190E-05	1.066407E-01
9.280E-05	1.034878E-01
1.200E-04	1.004287E-01
1.550E-04	9.749463E-02
2.000E-04	9.467861E-02
2.580E-04	9.196646E-02
3.340E-04	8.931513E-02
4.310E-04	8.678961E-02
5.570E-04	8.433776E-02
7.190E-04	8.198049E-02
9.280E-04	7.970292E-02
1.200E-03	7.749234E-02
1.550E-03	7.535725E-02
2.000E-03	7.329779E-02
2.580E-03	7.130364E-02
3.340E-03	6.934386E-02
4.310E-03	6.746922E-02
5.570E-03	6.564711E-02
7.190E-03	6.390452E-02
9.280E-03	6.225073E-02
1.200E-02	6.070496E-02
1.550E-02	5.933835E-02
2.000E-02	5.823108E-02
2.580E-02	5.750043E-02
3.340E-02	5.731748E-02
4.310E-02	5.790634E-02
5.570E-02	5.950768E-02
7.190E-02	6.228899E-02
9.280E-02	6.624623E-02
1.200E-01	7.102867E-02
1.550E-01	7.559934E-02
2.000E-01	7.834196E-02
2.580E-01	7.731262E-02
3.340E-01	7.083913E-02
4.310E-01	5.902177E-02
5.570E-01	4.379390E-02
7.190E-01	2.878717E-02
9.280E-01	1.683926E-02
1.200E+00	8.811071E-03
1.550E+00	4.159792E-03
2.000E+00	1.813907E-03
2.580E+00	9.049873E-04
3.340E+00	8.203163E-04
4.310E+00	1.190452E-03
5.570E+00	1.904704E-03
7.190E+00	3.039694E-03
9.280E+00	4.792042E-03
1.200E+01	7.458335E-03
1.550E+01	1.134731E-02
2.000E+01	1.678189E-02
2.580E+01	2.397627E-02
3.340E+01	3.291268E-02
4.310E+01	4.250179E-02
5.570E+01	5.105893E-02
7.190E+01	5.577002E-02
9.280E+01	5.399107E-02
1.200E+02	4.470350E-02
1.550E+02	3.036365E-02
2.000E+02	1.606903E-02
2.580E+02	6.196710E-03
3.340E+02	1.567661E-03
4.310E+02	2.434003E-04
5.570E+02	1.994638E-05
7.190E+02	7.687507E-07
9.280E+02	1.172303E-08
1.200E+03	5.412738E-11
1.550E+03	5.701428E-14
2.000E+03	7.857018E-18
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

