 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4964.65 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0116

 DETECTORS		DIRECTIONS
 D1        3222		R         2114
 D2        2821		RL        2511
 D3        2431		FL        1190
 D4        1830		F         2001
 D5        1429		FR        1718
 D6         941		RR        2992

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;85-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.495	uSv h^-1	(9.4%)
 H*(10)_i	:	0.683	uSv     	(9.4%)
 h*(10)		:	17.5	pSv cm^2	(7.4%)
 phi		:	7.880	cm^-2 s^-1 	(5.8%)
 thermal   	:	0.8571
 epithermal	:	0.1224
 fast      	:	0.0206
-------------------------------------------------------------
 Average experimental data uncertainty	:	2.32%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.729069E-02
2.580E-09	6.064901E-02
3.340E-09	9.863504E-02
4.310E-09	1.580673E-01
5.570E-09	2.511707E-01
7.190E-09	3.925616E-01
9.280E-09	6.021012E-01
1.200E-08	9.041595E-01
1.550E-08	1.313608E+00
2.000E-08	1.830696E+00
2.580E-08	2.442580E+00
3.340E-08	3.037862E+00
4.310E-08	3.459501E+00
5.570E-08	3.532175E+00
7.190E-08	3.135598E+00
9.280E-08	2.334758E+00
1.200E-07	1.396322E+00
1.550E-07	6.632184E-01
2.000E-07	2.803098E-01
2.580E-07	1.532817E-01
3.340E-07	1.271755E-01
4.310E-07	1.221589E-01
5.570E-07	1.191629E-01
7.190E-07	1.163562E-01
9.280E-07	1.136500E-01
1.200E-06	1.110195E-01
1.550E-06	1.084917E-01
2.000E-06	1.060613E-01
2.580E-06	1.037165E-01
3.340E-06	1.014208E-01
4.310E-06	9.923126E-02
5.570E-06	9.710358E-02
7.190E-06	9.505704E-02
9.280E-06	9.308001E-02
1.200E-05	9.115504E-02
1.550E-05	8.930222E-02
2.000E-05	8.751778E-02
2.580E-05	8.579339E-02
3.340E-05	8.410223E-02
4.310E-05	8.248644E-02
5.570E-05	8.091353E-02
7.190E-05	7.939781E-02
9.280E-05	7.793074E-02
1.200E-04	7.649934E-02
1.550E-04	7.511850E-02
2.000E-04	7.378536E-02
2.580E-04	7.249353E-02
3.340E-04	7.122258E-02
4.310E-04	7.000378E-02
5.570E-04	6.881213E-02
7.190E-04	6.765774E-02
9.280E-04	6.653320E-02
1.200E-03	6.544652E-02
1.550E-03	6.438162E-02
2.000E-03	6.334907E-02
2.580E-03	6.234642E-02
3.340E-03	6.136273E-02
4.310E-03	6.043114E-02
5.570E-03	5.954786E-02
7.190E-03	5.874556E-02
9.280E-03	5.805797E-02
1.200E-02	5.753842E-02
1.550E-02	5.727480E-02
2.000E-02	5.736691E-02
2.580E-02	5.792447E-02
3.340E-02	5.905232E-02
4.310E-02	6.070859E-02
5.570E-02	6.269255E-02
7.190E-02	6.443279E-02
9.280E-02	6.503556E-02
1.200E-01	6.343322E-02
1.550E-01	5.894042E-02
2.000E-01	5.184338E-02
2.580E-01	4.337894E-02
3.340E-01	3.487337E-02
4.310E-01	2.727152E-02
5.570E-01	2.039351E-02
7.190E-01	1.424068E-02
9.280E-01	9.012687E-03
1.200E+00	5.010914E-03
1.550E+00	2.433642E-03
2.000E+00	1.096659E-03
2.580E+00	6.150173E-04
3.340E+00	6.317384E-04
4.310E+00	9.404812E-04
5.570E+00	1.503549E-03
7.190E+00	2.392207E-03
9.280E+00	3.756840E-03
1.200E+01	5.818892E-03
1.550E+01	8.800128E-03
2.000E+01	1.291988E-02
2.580E+01	1.829651E-02
3.340E+01	2.485190E-02
4.310E+01	3.171043E-02
5.570E+01	3.759344E-02
7.190E+01	4.050569E-02
9.280E+01	3.871566E-02
1.200E+02	3.173769E-02
1.550E+02	2.146628E-02
2.000E+02	1.141761E-02
2.580E+02	4.484852E-03
3.340E+02	1.177720E-03
4.310E+02	1.943257E-04
5.570E+02	1.744567E-05
7.190E+02	7.612293E-07
9.280E+02	1.348702E-08
1.200E+03	7.264830E-11
1.550E+03	8.764204E-14
2.000E+03	1.413211E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

