 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 499.85 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0140

 DETECTORS		DIRECTIONS
 D1           7		R           10
 D2          12		RL           8
 D3          11		FL          13
 D4          12		F            5
 D5           4		FR           8
 D6       65544		RR           9

------------------ INTERNAL DATA REF ------------------------
4-0
0.80;0-0;1-0.75
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.000	uSv h^-1	(nan%)
 H*(10)_i	:	0.000	uSv     	(nan%)
 h*(10)		:	0.0	pSv cm^2	(nan%)
 phi		:	0.000	cm^-2 s^-1 	(nan%)
 thermal   	:	0.0000
 epithermal	:	0.0000
 fast      	:	0.0000
-------------------------------------------------------------
 Average experimental data uncertainty	:	29.35%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	0.000000E+00
2.580E-09	0.000000E+00
3.340E-09	0.000000E+00
4.310E-09	0.000000E+00
5.570E-09	0.000000E+00
7.190E-09	0.000000E+00
9.280E-09	0.000000E+00
1.200E-08	0.000000E+00
1.550E-08	0.000000E+00
2.000E-08	0.000000E+00
2.580E-08	0.000000E+00
3.340E-08	0.000000E+00
4.310E-08	0.000000E+00
5.570E-08	0.000000E+00
7.190E-08	0.000000E+00
9.280E-08	0.000000E+00
1.200E-07	0.000000E+00
1.550E-07	0.000000E+00
2.000E-07	0.000000E+00
2.580E-07	0.000000E+00
3.340E-07	0.000000E+00
4.310E-07	0.000000E+00
5.570E-07	0.000000E+00
7.190E-07	0.000000E+00
9.280E-07	0.000000E+00
1.200E-06	0.000000E+00
1.550E-06	0.000000E+00
2.000E-06	0.000000E+00
2.580E-06	0.000000E+00
3.340E-06	0.000000E+00
4.310E-06	0.000000E+00
5.570E-06	0.000000E+00
7.190E-06	0.000000E+00
9.280E-06	0.000000E+00
1.200E-05	0.000000E+00
1.550E-05	0.000000E+00
2.000E-05	0.000000E+00
2.580E-05	0.000000E+00
3.340E-05	0.000000E+00
4.310E-05	0.000000E+00
5.570E-05	0.000000E+00
7.190E-05	0.000000E+00
9.280E-05	0.000000E+00
1.200E-04	0.000000E+00
1.550E-04	0.000000E+00
2.000E-04	0.000000E+00
2.580E-04	0.000000E+00
3.340E-04	0.000000E+00
4.310E-04	0.000000E+00
5.570E-04	0.000000E+00
7.190E-04	0.000000E+00
9.280E-04	0.000000E+00
1.200E-03	0.000000E+00
1.550E-03	0.000000E+00
2.000E-03	0.000000E+00
2.580E-03	0.000000E+00
3.340E-03	0.000000E+00
4.310E-03	0.000000E+00
5.570E-03	0.000000E+00
7.190E-03	0.000000E+00
9.280E-03	0.000000E+00
1.200E-02	0.000000E+00
1.550E-02	0.000000E+00
2.000E-02	0.000000E+00
2.580E-02	0.000000E+00
3.340E-02	0.000000E+00
4.310E-02	0.000000E+00
5.570E-02	0.000000E+00
7.190E-02	0.000000E+00
9.280E-02	0.000000E+00
1.200E-01	0.000000E+00
1.550E-01	0.000000E+00
2.000E-01	0.000000E+00
2.580E-01	0.000000E+00
3.340E-01	0.000000E+00
4.310E-01	0.000000E+00
5.570E-01	0.000000E+00
7.190E-01	0.000000E+00
9.280E-01	0.000000E+00
1.200E+00	0.000000E+00
1.550E+00	0.000000E+00
2.000E+00	0.000000E+00
2.580E+00	0.000000E+00
3.340E+00	0.000000E+00
4.310E+00	0.000000E+00
5.570E+00	0.000000E+00
7.190E+00	0.000000E+00
9.280E+00	0.000000E+00
1.200E+01	0.000000E+00
1.550E+01	0.000000E+00
2.000E+01	0.000000E+00
2.580E+01	0.000000E+00
3.340E+01	0.000000E+00
4.310E+01	0.000000E+00
5.570E+01	0.000000E+00
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

