 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 59.03 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0142

 DETECTORS		DIRECTIONS
 D1           3		R           47
 D2           0		RL           0
 D3           0		FL           4
 D4           3		F            2
 D5           1		FR          33
 D6           1		RR           0

------------------ INTERNAL DATA REF ------------------------
1-0
0.80;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.080	uSv h^-1	>(100.1%)
 H*(10)_i	:	0.001	uSv     	>(100.1%)
 h*(10)		:	61.8	pSv cm^2	(47.0%)
 phi		:	0.357	cm^-2 s^-1 	>(100.1%)
 thermal   	:	0.2726
 epithermal	:	0.5785
 fast      	:	0.1489
-------------------------------------------------------------
 Average experimental data uncertainty	:	85.91%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.439383E-04
2.580E-09	5.593759E-04
3.340E-09	9.097275E-04
4.310E-09	1.457881E-03
5.570E-09	2.316589E-03
7.190E-09	3.620661E-03
9.280E-09	5.553279E-03
1.200E-08	8.339214E-03
1.550E-08	1.211562E-02
2.000E-08	1.688481E-02
2.580E-08	2.450462E-02
3.340E-08	3.119747E-02
4.310E-08	3.685223E-02
5.570E-08	3.996179E-02
7.190E-08	3.923470E-02
9.280E-08	3.470879E-02
1.200E-07	2.804935E-02
1.550E-07	2.208984E-02
2.000E-07	1.871548E-02
2.580E-07	1.757909E-02
3.340E-07	1.736750E-02
4.310E-07	1.734900E-02
5.570E-07	1.734831E-02
7.190E-07	1.734828E-02
9.280E-07	1.734826E-02
1.200E-06	1.734824E-02
1.550E-06	1.734820E-02
2.000E-06	1.734815E-02
2.580E-06	1.734810E-02
3.340E-06	1.734802E-02
4.310E-06	1.734792E-02
5.570E-06	1.734779E-02
7.190E-06	1.734763E-02
9.280E-06	1.734742E-02
1.200E-05	1.734715E-02
1.550E-05	1.734679E-02
2.000E-05	1.734634E-02
2.580E-05	1.734576E-02
3.340E-05	1.734499E-02
4.310E-05	1.734401E-02
5.570E-05	1.734274E-02
7.190E-05	1.734111E-02
9.280E-05	1.733901E-02
1.200E-04	1.733627E-02
1.550E-04	1.733274E-02
2.000E-04	1.732822E-02
2.580E-04	1.732238E-02
3.340E-04	1.731474E-02
4.310E-04	1.730498E-02
5.570E-04	1.729233E-02
7.190E-04	1.727607E-02
9.280E-04	1.725512E-02
1.200E-03	1.724659E-02
1.550E-03	1.721770E-02
2.000E-03	1.718087E-02
2.580E-03	1.713384E-02
3.340E-03	1.707288E-02
4.310E-03	1.699604E-02
5.570E-03	1.689769E-02
7.190E-03	1.677343E-02
9.280E-03	1.661644E-02
1.200E-02	1.641729E-02
1.550E-02	1.616901E-02
2.000E-02	1.586208E-02
2.580E-02	1.548547E-02
3.340E-02	1.502209E-02
4.310E-02	1.447655E-02
5.570E-02	1.383817E-02
7.190E-02	1.312251E-02
9.280E-02	1.235315E-02
1.200E-01	1.157376E-02
1.550E-01	1.087340E-02
2.000E-01	1.036043E-02
2.580E-01	1.016071E-02
3.340E-01	1.040386E-02
4.310E-01	1.116332E-02
5.570E-01	1.243510E-02
7.190E-01	1.407157E-02
9.280E-01	1.581654E-02
1.200E+00	1.731753E-02
1.550E+00	1.812354E-02
2.000E+00	1.781857E-02
2.580E+00	1.612735E-02
3.340E+00	1.304875E-02
4.310E+00	9.183140E-03
5.570E+00	5.363559E-03
7.190E+00	2.477972E-03
9.280E+00	8.448002E-04
1.200E+01	1.922993E-04
1.550E+01	2.650427E-05
2.000E+01	1.927463E-06
2.580E+01	6.146155E-08
3.340E+01	6.337228E-10
4.310E+01	1.762390E-12
5.570E+01	8.175360E-16
7.190E+01	0.000000E+00
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

