 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 9169.76 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0144

 DETECTORS		DIRECTIONS
 D1        1123		R          575
 D2        1230		RL         898
 D3        1335		FL         769
 D4        1104		F         1489
 D5         836		FR        1128
 D6         539		RR        1216

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.123	uSv h^-1	(10.3%)
 H*(10)_i	:	0.313	uSv     	(10.3%)
 h*(10)		:	21.1	pSv cm^2	(8.7%)
 phi		:	1.616	cm^-2 s^-1 	(5.4%)
 thermal   	:	0.4937
 epithermal	:	0.4705
 fast      	:	0.0358
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.22%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.736514E-03
2.580E-09	4.450625E-03
3.340E-09	7.238166E-03
4.310E-09	1.159950E-02
5.570E-09	1.843174E-02
7.190E-09	2.880747E-02
9.280E-09	4.418418E-02
1.200E-08	6.635022E-02
1.550E-08	9.639688E-02
2.000E-08	1.343425E-01
2.580E-08	2.017874E-01
3.340E-08	2.576973E-01
4.310E-08	3.057688E-01
5.570E-08	3.335694E-01
7.190E-08	3.298179E-01
9.280E-08	2.936213E-01
1.200E-07	2.376487E-01
1.550E-07	1.853531E-01
2.000E-07	1.531713E-01
2.580E-07	1.389404E-01
3.340E-07	1.322049E-01
4.310E-07	1.272683E-01
5.570E-07	1.226374E-01
7.190E-07	1.182163E-01
9.280E-07	1.139727E-01
1.200E-06	1.098679E-01
1.550E-06	1.059434E-01
2.000E-06	1.021894E-01
2.580E-06	9.858674E-02
3.340E-06	9.507858E-02
4.310E-06	9.175110E-02
5.570E-06	8.853587E-02
7.190E-06	8.546102E-02
9.280E-06	8.250801E-02
1.200E-05	7.964996E-02
1.550E-05	7.691583E-02
2.000E-05	7.429893E-02
2.580E-05	7.178602E-02
3.340E-05	6.933745E-02
4.310E-05	6.701340E-02
5.570E-05	6.476617E-02
7.190E-05	6.261542E-02
9.280E-05	6.054820E-02
1.200E-04	5.854567E-02
1.550E-04	5.662807E-02
2.000E-04	5.479066E-02
2.580E-04	5.302403E-02
3.340E-04	5.130009E-02
4.310E-04	4.966098E-02
5.570E-04	4.807277E-02
7.190E-04	4.654895E-02
9.280E-04	4.507984E-02
1.200E-03	4.366532E-02
1.550E-03	4.230012E-02
2.000E-03	4.099051E-02
2.580E-03	3.973213E-02
3.340E-03	3.850933E-02
4.310E-03	3.735942E-02
5.570E-03	3.627085E-02
7.190E-03	3.527265E-02
9.280E-03	3.438846E-02
1.200E-02	3.365569E-02
1.550E-02	3.314397E-02
2.000E-02	3.292641E-02
2.580E-02	3.308112E-02
3.340E-02	3.367718E-02
4.310E-02	3.467964E-02
5.570E-02	3.591831E-02
7.190E-02	3.694880E-02
9.280E-02	3.708527E-02
1.200E-01	3.553087E-02
1.550E-01	3.183696E-02
2.000E-01	2.636409E-02
2.580E-01	2.026598E-02
3.340E-01	1.477637E-02
4.310E-01	1.064650E-02
5.570E-01	7.578696E-03
7.190E-01	5.202145E-03
9.280E-01	3.312523E-03
1.200E+00	1.880277E-03
1.550E+00	9.285308E-04
2.000E+00	3.997991E-04
2.580E+00	1.772352E-04
3.340E+00	1.342605E-04
4.310E+00	1.832980E-04
5.570E+00	2.914139E-04
7.190E+00	4.655858E-04
9.280E+00	7.354765E-04
1.200E+01	1.147726E-03
1.550E+01	1.752117E-03
2.000E+01	2.602556E-03
2.580E+01	3.739082E-03
3.340E+01	5.170169E-03
4.310E+01	6.738244E-03
5.570E+01	8.191180E-03
7.190E+01	9.081851E-03
9.280E+01	8.959701E-03
1.200E+02	7.597017E-03
1.550E+02	5.312996E-03
2.000E+02	2.912097E-03
2.580E+02	1.169798E-03
3.340E+02	3.097727E-04
4.310E+02	5.030676E-05
5.570E+02	4.272094E-06
7.190E+02	1.663201E-07
9.280E+02	2.454519E-09
1.200E+03	1.047500E-11
1.550E+03	9.933939E-15
2.000E+03	1.265591E-18
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

