 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 7425.66 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0145

 DETECTORS		DIRECTIONS
 D1         850		R          585
 D2         949		RL        1043
 D3        1062		FL         727
 D4         869		F          995
 D5         722		FR         662
 D6         522		RR         902

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;8135-2;1-0.40
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.201	uSv h^-1	(10.1%)
 H*(10)_i	:	0.414	uSv     	(10.1%)
 h*(10)		:	35.9	pSv cm^2	(9.2%)
 phi		:	1.555	cm^-2 s^-1 	(4.1%)
 thermal   	:	0.4245
 epithermal	:	0.4892
 fast      	:	0.0863
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.54%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.385222E-03
2.580E-09	3.879289E-03
3.340E-09	6.308987E-03
4.310E-09	1.011045E-02
5.570E-09	1.606562E-02
7.190E-09	2.510939E-02
9.280E-09	3.851216E-02
1.200E-08	5.783270E-02
1.550E-08	8.402220E-02
2.000E-08	1.170967E-01
2.580E-08	1.719805E-01
3.340E-08	2.188750E-01
4.310E-08	2.583653E-01
5.570E-08	2.796826E-01
7.190E-08	2.734756E-01
9.280E-08	2.397989E-01
1.200E-07	1.904941E-01
1.550E-07	1.459405E-01
2.000E-07	1.195512E-01
2.580E-07	1.088351E-01
3.340E-07	1.045918E-01
4.310E-07	1.018132E-01
5.570E-07	9.923052E-02
7.190E-07	9.674887E-02
9.280E-07	9.434996E-02
1.200E-06	9.201292E-02
1.550E-06	8.976251E-02
2.000E-06	8.759453E-02
2.580E-06	8.549919E-02
3.340E-06	8.344421E-02
4.310E-06	8.148109E-02
5.570E-06	7.957067E-02
7.190E-06	7.773061E-02
9.280E-06	7.595087E-02
1.200E-05	7.421605E-02
1.550E-05	7.254456E-02
2.000E-05	7.093333E-02
2.580E-05	6.937511E-02
3.340E-05	6.784589E-02
4.310E-05	6.638401E-02
5.570E-05	6.496028E-02
7.190E-05	6.358786E-02
9.280E-05	6.225920E-02
1.200E-04	6.096272E-02
1.550E-04	5.971207E-02
2.000E-04	5.850481E-02
2.580E-04	5.733532E-02
3.340E-04	5.618525E-02
4.310E-04	5.508308E-02
5.570E-04	5.400637E-02
7.190E-04	5.296445E-02
9.280E-04	5.195085E-02
1.200E-03	5.096066E-02
1.550E-03	4.999637E-02
2.000E-03	4.905842E-02
2.580E-03	4.814181E-02
3.340E-03	4.723168E-02
4.310E-03	4.635094E-02
5.570E-03	4.548354E-02
7.190E-03	4.464129E-02
9.280E-03	4.382742E-02
1.200E-02	4.304928E-02
1.550E-02	4.233941E-02
2.000E-02	4.173383E-02
2.580E-02	4.128461E-02
3.340E-02	4.106448E-02
4.310E-02	4.117116E-02
5.570E-02	4.169435E-02
7.190E-02	4.268108E-02
9.280E-02	4.408237E-02
1.200E-01	4.568132E-02
1.550E-01	4.698192E-02
2.000E-01	4.728243E-02
2.580E-01	4.579890E-02
3.340E-01	4.185391E-02
4.310E-01	3.546393E-02
5.570E-01	2.723954E-02
7.190E-01	1.866809E-02
9.280E-01	1.126382E-02
1.200E+00	5.910162E-03
1.550E+00	2.692766E-03
2.000E+00	1.075993E-03
2.580E+00	4.575895E-04
3.340E+00	3.626679E-04
4.310E+00	5.121995E-04
5.570E+00	8.186660E-04
7.190E+00	1.308939E-03
9.280E+00	2.068943E-03
1.200E+01	3.231179E-03
1.550E+01	4.937894E-03
2.000E+01	7.344939E-03
2.580E+01	1.057249E-02
3.340E+01	1.465755E-02
4.310E+01	1.917203E-02
5.570E+01	2.342438E-02
7.190E+01	2.615727E-02
9.280E+01	2.606900E-02
1.200E+02	2.243189E-02
1.550E+02	1.602306E-02
2.000E+02	9.052156E-03
2.580E+02	3.795687E-03
3.340E+02	1.067737E-03
4.310E+02	1.877089E-04
5.570E+02	1.757616E-05
7.190E+02	7.574614E-07
9.280E+02	1.200679E-08
1.200E+03	5.057437E-11
1.550E+03	4.182240E-14
2.000E+03	2.808005E-18
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

