 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 320.03 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0157

 DETECTORS		DIRECTIONS
 D1           5		R            0
 D2           4		RL           4
 D3           2		FL           2
 D4           4		F            8
 D5           3		FR           3
 D6           4		RR           5

------------------ INTERNAL DATA REF ------------------------
1-0
0.80;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.047	uSv h^-1	>(100.1%)
 H*(10)_i	:	0.004	uSv     	>(100.1%)
 h*(10)		:	91.7	pSv cm^2	>(100.1%)
 phi		:	0.143	cm^-2 s^-1 	>(100.1%)
 thermal   	:	0.4036
 epithermal	:	0.3775
 fast      	:	0.2188
-------------------------------------------------------------
 Average experimental data uncertainty	:	53.86%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.499559E-04
2.580E-09	4.065245E-04
3.340E-09	6.611412E-04
4.310E-09	1.059510E-03
5.570E-09	1.683573E-03
7.190E-09	2.631302E-03
9.280E-09	4.035826E-03
1.200E-08	6.060494E-03
1.550E-08	8.804986E-03
2.000E-08	1.227098E-02
2.580E-08	1.716679E-02
3.340E-08	2.161355E-02
4.310E-08	2.509520E-02
5.570E-08	2.646547E-02
7.190E-08	2.483746E-02
9.280E-08	2.043392E-02
1.200E-07	1.476219E-02
1.550E-07	1.002631E-02
2.000E-07	7.410130E-03
2.580E-07	6.469618E-03
3.340E-07	6.205201E-03
4.310E-07	6.085859E-03
5.570E-07	5.982100E-03
7.190E-07	5.882442E-03
9.280E-07	5.785873E-03
1.200E-06	5.691562E-03
1.550E-06	5.600525E-03
2.000E-06	5.512609E-03
2.580E-06	5.427434E-03
3.340E-06	5.343697E-03
4.310E-06	5.263510E-03
5.570E-06	5.185288E-03
7.190E-06	5.109767E-03
9.280E-06	5.036546E-03
1.200E-05	4.965000E-03
1.550E-05	4.895897E-03
2.000E-05	4.829121E-03
2.580E-05	4.764377E-03
3.340E-05	4.700670E-03
4.310E-05	4.639600E-03
5.570E-05	4.579949E-03
7.190E-05	4.522264E-03
9.280E-05	4.466223E-03
1.200E-04	4.411322E-03
1.550E-04	4.358120E-03
2.000E-04	4.306489E-03
2.580E-04	4.256154E-03
3.340E-04	4.206269E-03
4.310E-04	4.158001E-03
5.570E-04	4.110284E-03
7.190E-04	4.063416E-03
9.280E-04	4.016965E-03
1.200E-03	3.978454E-03
1.550E-03	3.934307E-03
2.000E-03	3.890459E-03
2.580E-03	3.846482E-03
3.340E-03	3.801367E-03
4.310E-03	3.755885E-03
5.570E-03	3.708729E-03
7.190E-03	3.659848E-03
9.280E-03	3.608472E-03
1.200E-02	3.553556E-03
1.550E-02	3.495155E-03
2.000E-02	3.432891E-03
2.580E-02	3.366554E-03
3.340E-02	3.295720E-03
4.310E-02	3.224053E-03
5.570E-02	3.154004E-03
7.190E-02	3.092934E-03
9.280E-02	3.051275E-03
1.200E-01	3.045305E-03
1.550E-01	3.098228E-03
2.000E-01	3.238827E-03
2.580E-01	3.501347E-03
3.340E-01	3.928552E-03
4.310E-01	4.540032E-03
5.570E-01	5.361163E-03
7.190E-01	6.375341E-03
9.280E-01	7.542304E-03
1.200E+00	8.784192E-03
1.550E+00	9.944689E-03
2.000E+00	1.083056E-02
2.580E+00	1.122066E-02
3.340E+00	1.090086E-02
4.310E+00	9.775305E-03
5.570E+00	7.919762E-03
7.190E+00	5.661993E-03
9.280E+00	3.452976E-03
1.200E+01	1.707346E-03
1.550E+01	6.491811E-04
2.000E+01	1.761408E-04
2.580E+01	3.084921E-05
3.340E+01	2.962634E-06
4.310E+01	1.407806E-07
5.570E+01	2.550122E-09
7.190E+01	1.393585E-11
9.280E+01	1.594006E-14
1.200E+02	2.240997E-18
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

