 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 9147.36 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0163

 DETECTORS		DIRECTIONS
 D1        1291		R          731
 D2        1472		RL        1326
 D3        1430		FL         861
 D4        1183		F         1620
 D5         936		FR         923
 D6         627		RR        1387

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;9315-0;1-0.97
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.215	uSv h^-1	(8.7%)
 H*(10)_i	:	0.547	uSv     	(8.7%)
 h*(10)		:	31.3	pSv cm^2	(7.7%)
 phi		:	1.911	cm^-2 s^-1 	(4.0%)
 thermal   	:	0.5420
 epithermal	:	0.3942
 fast      	:	0.0638
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.03%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.795745E-03
2.580E-09	6.173341E-03
3.340E-09	1.003986E-02
4.310E-09	1.608935E-02
5.570E-09	2.556616E-02
7.190E-09	3.995805E-02
9.280E-09	6.128667E-02
1.200E-08	9.203258E-02
1.550E-08	1.337095E-01
2.000E-08	1.863429E-01
2.580E-08	2.760307E-01
3.340E-08	3.511458E-01
4.310E-08	4.142238E-01
5.570E-08	4.477903E-01
7.190E-08	4.365718E-01
9.280E-08	3.804933E-01
1.200E-07	2.987762E-01
1.550E-07	2.246432E-01
2.000E-07	1.797747E-01
2.580E-07	1.601013E-01
3.340E-07	1.508828E-01
4.310E-07	1.441993E-01
5.570E-07	1.379779E-01
7.190E-07	1.320795E-01
9.280E-07	1.264566E-01
1.200E-06	1.210544E-01
1.550E-06	1.159242E-01
2.000E-06	1.110493E-01
2.580E-06	1.064015E-01
3.340E-06	1.019051E-01
4.310E-06	9.766762E-02
5.570E-06	9.359907E-02
7.190E-06	8.973255E-02
9.280E-06	8.604221E-02
1.200E-05	8.249243E-02
1.550E-05	7.911717E-02
2.000E-05	7.590594E-02
2.580E-05	7.284046E-02
3.340E-05	6.987095E-02
4.310E-05	6.706879E-02
5.570E-05	6.437468E-02
7.190E-05	6.181079E-02
9.280E-05	5.936018E-02
1.200E-04	5.699937E-02
1.550E-04	5.475105E-02
2.000E-04	5.260839E-02
2.580E-04	5.055930E-02
3.340E-04	4.857042E-02
4.310E-04	4.668952E-02
5.570E-04	4.487672E-02
7.190E-04	4.314674E-02
9.280E-04	4.148787E-02
1.200E-03	3.988808E-02
1.550E-03	3.835634E-02
2.000E-03	3.689064E-02
2.580E-03	3.548295E-02
3.340E-03	3.411091E-02
4.310E-03	3.280901E-02
5.570E-03	3.155276E-02
7.190E-03	3.035790E-02
9.280E-03	2.922582E-02
1.200E-02	2.816120E-02
1.550E-02	2.719851E-02
2.000E-02	2.636980E-02
2.580E-02	2.571928E-02
3.340E-02	2.530472E-02
4.310E-02	2.520996E-02
5.570E-02	2.549604E-02
7.190E-02	2.618820E-02
9.280E-02	2.723010E-02
1.200E-01	2.844308E-02
1.550E-01	2.945904E-02
2.000E-01	2.979103E-02
2.580E-01	2.891579E-02
3.340E-01	2.639369E-02
4.310E-01	2.226388E-02
5.570E-01	1.699036E-02
7.190E-01	1.157372E-02
9.280E-01	6.940175E-03
1.200E+00	3.603617E-03
1.550E+00	1.636391E-03
2.000E+00	7.136307E-04
2.580E+00	4.329264E-04
3.340E+00	4.984938E-04
4.310E+00	7.677855E-04
5.570E+00	1.235288E-03
7.190E+00	1.972177E-03
9.280E+00	3.109861E-03
1.200E+01	4.841760E-03
1.550E+01	7.369671E-03
2.000E+01	1.090600E-02
2.580E+01	1.559506E-02
3.340E+01	2.143500E-02
4.310E+01	2.773101E-02
5.570E+01	3.340510E-02
7.190E+01	3.663475E-02
9.280E+01	3.568061E-02
1.200E+02	2.981299E-02
1.550E+02	2.052500E-02
2.000E+02	1.107780E-02
2.580E+02	4.391780E-03
3.340E+02	1.153047E-03
4.310E+02	1.868350E-04
5.570E+02	1.588571E-05
7.190E+02	6.130618E-07
9.280E+02	8.592743E-09
1.200E+03	3.160001E-11
1.550E+03	2.241054E-14
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

