 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 9947.69 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0165

 DETECTORS		DIRECTIONS
 D1       21439		R         7502
 D2       25095		RL        5567
 D3       26734		FL       18259
 D4       24023		F        33070
 D5       18927		FR       42371
 D6       13139		RR       20571

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;84-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	2.846	uSv h^-1	(5.0%)
 H*(10)_i	:	7.864	uSv     	(5.0%)
 h*(10)		:	25.2	pSv cm^2	(4.1%)
 phi		:	31.373	cm^-2 s^-1 	(2.9%)
 thermal   	:	0.4682
 epithermal	:	0.4751
 fast      	:	0.0567
-------------------------------------------------------------
 Average experimental data uncertainty	:	0.70%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	6.585968E-02
2.580E-09	1.071132E-01
3.340E-09	1.742009E-01
4.310E-09	2.791651E-01
5.570E-09	4.435965E-01
7.190E-09	6.933092E-01
9.280E-09	1.063380E+00
1.200E-08	1.596850E+00
1.550E-08	2.319983E+00
2.000E-08	3.233221E+00
2.580E-08	4.479123E+00
3.340E-08	5.628654E+00
4.310E-08	6.516101E+00
5.570E-08	6.839547E+00
7.190E-08	6.370518E+00
9.280E-08	5.177859E+00
1.200E-07	3.669658E+00
1.550E-07	2.427604E+00
2.000E-07	1.752834E+00
2.580E-07	1.520464E+00
3.340E-07	1.465797E+00
4.310E-07	1.448485E+00
5.570E-07	1.434700E+00
7.190E-07	1.421300E+00
9.280E-07	1.408099E+00
1.200E-06	1.394990E+00
1.550E-06	1.382123E+00
2.000E-06	1.369489E+00
2.580E-06	1.357044E+00
3.340E-06	1.344604E+00
4.310E-06	1.332491E+00
5.570E-06	1.320478E+00
7.190E-06	1.308686E+00
9.280E-06	1.297062E+00
1.200E-05	1.285514E+00
1.550E-05	1.274174E+00
2.000E-05	1.263035E+00
2.580E-05	1.252056E+00
3.340E-05	1.241074E+00
4.310E-05	1.230374E+00
5.570E-05	1.219752E+00
7.190E-05	1.209314E+00
9.280E-05	1.199012E+00
1.200E-04	1.188762E+00
1.550E-04	1.178677E+00
2.000E-04	1.168746E+00
2.580E-04	1.158928E+00
3.340E-04	1.149070E+00
4.310E-04	1.139417E+00
5.570E-04	1.129774E+00
7.190E-04	1.120223E+00
9.280E-04	1.110701E+00
1.200E-03	1.101626E+00
1.550E-03	1.092370E+00
2.000E-03	1.083284E+00
2.580E-03	1.074419E+00
3.340E-03	1.065799E+00
4.310E-03	1.057918E+00
5.570E-03	1.051071E+00
7.190E-03	1.046048E+00
9.280E-03	1.043923E+00
1.200E-02	1.046357E+00
1.550E-02	1.055616E+00
2.000E-02	1.074441E+00
2.580E-02	1.105790E+00
3.340E-02	1.152475E+00
4.310E-02	1.212345E+00
5.570E-02	1.279168E+00
7.190E-02	1.335743E+00
9.280E-02	1.356184E+00
1.200E-01	1.310710E+00
1.550E-01	1.182858E+00
2.000E-01	9.872106E-01
2.580E-01	7.680275E-01
3.340E-01	5.714539E-01
4.310E-01	4.234321E-01
5.570E-01	3.106699E-01
7.190E-01	2.188964E-01
9.280E-01	1.422816E-01
1.200E+00	8.199731E-02
1.550E+00	4.066391E-02
2.000E+00	1.684492E-02
2.580E+00	5.994215E-03
3.340E+00	2.620741E-03
4.310E+00	2.623295E-03
5.570E+00	3.995723E-03
7.190E+00	6.358115E-03
9.280E+00	1.001999E-02
1.200E+01	1.559084E-02
1.550E+01	2.371551E-02
2.000E+01	3.507286E-02
2.580E+01	5.012607E-02
3.340E+01	6.888195E-02
4.310E+01	8.915201E-02
5.570E+01	1.075618E-01
7.190E+01	1.183625E-01
9.280E+01	1.159880E-01
1.200E+02	9.787961E-02
1.550E+02	6.836359E-02
2.000E+02	3.760601E-02
2.580E+02	1.525409E-02
3.340E+02	4.108602E-03
4.310E+02	6.836850E-04
5.570E+02	5.996917E-05
7.190E+02	2.427051E-06
9.280E+02	3.722391E-08
1.200E+03	1.625479E-10
1.550E+03	1.534918E-13
2.000E+03	1.750567E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

