 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 9666.56 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0166

 DETECTORS		DIRECTIONS
 D1       13010		R         2495
 D2       15093		RL        3668
 D3       15508		FL        7715
 D4       13724		F        25396
 D5       10815		FR       22497
 D6        7690		RR       12869

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;834-2;1-0.86
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	2.288	uSv h^-1	(9.4%)
 H*(10)_i	:	6.144	uSv     	(9.4%)
 h*(10)		:	33.3	pSv cm^2	(9.0%)
 phi		:	19.109	cm^-2 s^-1 	(2.8%)
 thermal   	:	0.4766
 epithermal	:	0.4461
 fast      	:	0.0773
-------------------------------------------------------------
 Average experimental data uncertainty	:	0.91%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	3.745730E-02
2.580E-09	6.091998E-02
3.340E-09	9.907573E-02
4.310E-09	1.587735E-01
5.570E-09	2.522929E-01
7.190E-09	3.943155E-01
9.280E-09	6.047912E-01
1.200E-08	9.081991E-01
1.550E-08	1.319477E+00
2.000E-08	1.838875E+00
2.580E-08	2.611093E+00
3.340E-08	3.297892E+00
4.310E-08	3.847930E+00
5.570E-08	4.089879E+00
7.190E-08	3.886467E+00
9.280E-08	3.261609E+00
1.200E-07	2.430110E+00
1.550E-07	1.720060E+00
2.000E-07	1.318667E+00
2.580E-07	1.167112E+00
3.340E-07	1.117023E+00
4.310E-07	1.089151E+00
5.570E-07	1.063889E+00
7.190E-07	1.039606E+00
9.280E-07	1.016096E+00
1.200E-06	9.931547E-01
1.550E-06	9.710263E-01
2.000E-06	9.496711E-01
2.580E-06	9.289937E-01
3.340E-06	9.086762E-01
4.310E-06	8.892290E-01
5.570E-06	8.702654E-01
7.190E-06	8.519622E-01
9.280E-06	8.342211E-01
1.200E-05	8.168893E-01
1.550E-05	8.001520E-01
2.000E-05	7.839803E-01
2.580E-05	7.683030E-01
3.340E-05	7.528791E-01
4.310E-05	7.380967E-01
5.570E-05	7.236624E-01
7.190E-05	7.097108E-01
9.280E-05	6.961668E-01
1.200E-04	6.829133E-01
1.550E-04	6.700908E-01
2.000E-04	6.576761E-01
2.580E-04	6.456128E-01
3.340E-04	6.337120E-01
4.310E-04	6.222693E-01
5.570E-04	6.110529E-01
7.190E-04	6.001607E-01
9.280E-04	5.895258E-01
1.200E-03	5.791465E-01
1.550E-03	5.689823E-01
2.000E-03	5.590756E-01
2.580E-03	5.493864E-01
3.340E-03	5.397778E-01
4.310E-03	5.305238E-01
5.570E-03	5.215070E-01
7.190E-03	5.129300E-01
9.280E-03	5.049471E-01
1.200E-02	4.978213E-01
1.550E-02	4.921317E-01
2.000E-02	4.885621E-01
2.580E-02	4.880076E-01
3.340E-02	4.916117E-01
4.310E-02	5.002613E-01
5.570E-02	5.144057E-01
7.190E-02	5.327896E-01
9.280E-02	5.519502E-01
1.200E-01	5.655630E-01
1.550E-01	5.647581E-01
2.000E-01	5.414164E-01
2.580E-01	4.912856E-01
3.340E-01	4.155983E-01
4.310E-01	3.259157E-01
5.570E-01	2.345477E-01
7.190E-01	1.548807E-01
9.280E-01	9.324489E-02
1.200E+00	5.014748E-02
1.550E+00	2.371216E-02
2.000E+00	1.005508E-02
2.580E+00	4.865419E-03
3.340E+00	4.394010E-03
4.310E+00	6.379713E-03
5.570E+00	1.020932E-02
7.190E+00	1.630950E-02
9.280E+00	2.574857E-02
1.200E+01	4.014970E-02
1.550E+01	6.123041E-02
2.000E+01	9.083114E-02
2.580E+01	1.302749E-01
3.340E+01	1.797315E-01
4.310E+01	2.335664E-01
5.570E+01	2.828571E-01
7.190E+01	3.120859E-01
9.280E+01	3.059605E-01
1.200E+02	2.573488E-01
1.550E+02	1.781988E-01
2.000E+02	9.653382E-02
2.580E+02	3.828724E-02
3.340E+02	1.002221E-02
4.310E+02	1.619631E-03
5.570E+02	1.390418E-04
7.190E+02	5.623556E-06
9.280E+02	8.894469E-08
1.200E+03	4.118430E-10
1.550E+03	4.145197E-13
2.000E+03	4.833136E-17
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

