[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.72	4.125	29.1%	0.023	29.1%	117.6	7.1%	9.739	28.2%	28.10%	30.4%	37.3%	32.3%	[1-0.80 0]
1	H	(3)	39.40	3.274	25.0%	0.036	25.0%	95.9	6.7%	9.486	24.1%	19.82%	27.4%	45.5%	27.1%	[1-0.80 0]
2	H	(3)	59.10	3.469	22.6%	0.057	22.6%	102.5	6.0%	9.397	21.8%	16.27%	29.8%	41.7%	28.5%	[1-0.80 0]
3	H	(3)	79.95	3.503	20.7%	0.078	20.7%	104.1	5.7%	9.345	19.9%	13.88%	29.1%	42.0%	28.9%	[1-0.21 0]
4	H	(3)	99.67	3.543	19.4%	0.098	19.4%	106.6	5.2%	9.235	18.7%	12.60%	29.6%	40.7%	29.7%	[1-0.64 2]
5	H	(3)	119.38	3.069	16.8%	0.102	16.8%	99.6	5.2%	8.562	16.0%	11.81%	28.6%	43.5%	27.9%	[1-0.23 2]
6	H	(3)	139.09	2.901	15.2%	0.112	15.2%	97.6	4.9%	8.256	14.3%	11.06%	29.1%	43.6%	27.3%	[1-0.00 2]
7	H	(3)	159.98	2.751	13.5%	0.122	13.5%	93.0	4.8%	8.219	12.6%	10.32%	27.4%	46.3%	26.3%	[1-0.23 2]
8	H	(6)	179.69	2.659	12.6%	0.133	12.6%	90.9	5.0%	8.127	11.6%	9.75%	27.6%	46.4%	25.9%	[1-0.19 2]
9	H	(6)	199.39	2.403	12.0%	0.133	12.0%	84.0	5.2%	7.950	10.8%	9.29%	26.8%	49.2%	23.9%	[1-0.00 2]
10	H	(6)	219.09	2.521	11.3%	0.153	11.3%	87.0	5.2%	8.049	10.1%	8.88%	28.1%	47.0%	24.8%	[1-0.31 2]
11	H	(6)	239.96	2.802	10.9%	0.187	10.9%	95.5	5.2%	8.154	9.6%	8.52%	30.0%	43.2%	26.8%	[1-0.52 2]
12	H	(6)	259.66	2.891	10.6%	0.209	10.6%	97.6	5.3%	8.232	9.2%	8.22%	31.8%	40.9%	27.3%	[1-0.49 2]
13	H	(6)	279.36	2.878	10.2%	0.223	10.2%	96.6	5.1%	8.278	8.8%	7.91%	33.0%	40.1%	26.9%	[1-0.34 2]
14	H	(6)	300.22	3.040	10.0%	0.254	10.0%	100.7	5.3%	8.387	8.5%	7.65%	33.9%	38.3%	27.8%	[1-0.43 2]
15	H	(6)	319.91	3.054	9.7%	0.271	9.7%	101.2	5.2%	8.386	8.2%	7.41%	33.8%	38.5%	27.7%	[1-0.43 0]
16	H	(6)	339.60	3.141	9.4%	0.296	9.4%	100.6	5.4%	8.676	7.7%	7.14%	33.2%	39.1%	27.7%	[1-0.85 2]
17	H	(6)	359.30	3.051	9.3%	0.305	9.3%	98.9	5.5%	8.565	7.5%	6.90%	32.2%	40.6%	27.2%	[1-0.43 0]
18	H	(6)	380.18	2.989	9.4%	0.316	9.4%	97.2	5.9%	8.542	7.3%	6.70%	31.5%	41.9%	26.6%	[1-0.43 0]
19	H	(6)	399.90	2.842	9.5%	0.316	9.5%	93.4	6.2%	8.457	7.2%	6.54%	31.2%	43.0%	25.8%	[1-0.43 0]
20	H	(6)	419.60	2.794	9.3%	0.326	9.3%	91.0	6.2%	8.531	7.0%	6.41%	31.3%	43.5%	25.2%	[1-0.87 0]
21	H	(6)	439.32	2.694	9.2%	0.329	9.2%	88.6	6.2%	8.447	6.8%	6.27%	30.8%	44.6%	24.6%	[1-0.87 0]
22	H	(6)	460.19	2.704	9.2%	0.346	9.2%	89.4	6.3%	8.402	6.7%	6.13%	30.9%	44.3%	24.8%	[1-0.85 0]
23	H	(6)	479.90	2.711	8.9%	0.361	8.9%	90.4	6.0%	8.331	6.6%	6.03%	30.5%	44.4%	25.1%	[1-0.85 0]
24	H	(6)	499.59	2.801	8.8%	0.389	8.8%	92.4	5.9%	8.424	6.4%	5.89%	30.7%	43.6%	25.7%	[1-0.95 0]
25	H	(6)	520.46	2.833	8.6%	0.410	8.6%	93.8	5.8%	8.385	6.3%	5.79%	30.2%	43.7%	26.1%	[1-0.96 0]
26	H	(6)	540.16	2.860	8.5%	0.429	8.5%	94.8	5.7%	8.379	6.2%	5.68%	30.1%	43.6%	26.3%	[1-0.94 0]
27	H	(6)	559.85	2.756	8.5%	0.429	8.5%	92.1	5.9%	8.314	6.1%	5.59%	29.7%	44.5%	25.7%	[1-0.91 0]
28	H	(6)	579.56	2.884	8.3%	0.464	8.3%	95.3	5.7%	8.404	6.0%	5.49%	30.2%	43.2%	26.6%	[1-0.96 0]
29	H	(6)	600.43	2.891	8.2%	0.482	8.2%	95.8	5.7%	8.385	5.9%	5.40%	30.0%	43.5%	26.5%	[1-0.94 0]
30	H	(6)	620.13	2.936	8.0%	0.506	8.0%	96.3	5.6%	8.468	5.8%	5.30%	30.3%	43.1%	26.6%	[1-1.00 1]
31	H	(6)	639.83	2.906	7.8%	0.516	7.8%	95.6	5.3%	8.441	5.7%	5.21%	30.3%	43.1%	26.6%	[1-0.94 0]
