 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200002

 PROCESSING PERFORMED AT MEASUREMENT TIME: 4243.19 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0183

 DETECTORS		DIRECTIONS
 D1         996		R          796
 D2        1092		RL        1140
 D3        1236		FL        1150
 D4        1219		F         1359
 D5        1037		FR         972
 D6         834		RR         887

------------------ INTERNAL DATA REF ------------------------
4-1
0.80;83-1;1-1.00
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	1.168	uSv h^-1	(6.5%)
 H*(10)_i	:	1.377	uSv     	(6.5%)
 h*(10)		:	83.8	pSv cm^2	(5.4%)
 phi		:	3.873	cm^-2 s^-1 	(3.7%)
 thermal   	:	0.4423
 epithermal	:	0.3177
 fast      	:	0.2400
-------------------------------------------------------------
 Average experimental data uncertainty	:	3.08%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	8.346023E-03
2.580E-09	1.357384E-02
3.340E-09	2.207549E-02
4.310E-09	3.537701E-02
5.570E-09	5.621447E-02
7.190E-09	8.785913E-02
9.280E-09	1.347561E-01
1.200E-08	2.023598E-01
1.550E-08	2.939983E-01
2.000E-08	4.097277E-01
2.580E-08	5.585943E-01
3.340E-08	6.989443E-01
4.310E-08	8.036849E-01
5.570E-08	8.341542E-01
7.190E-08	7.622834E-01
9.280E-08	5.992864E-01
1.200E-07	4.002577E-01
1.550E-07	2.401701E-01
2.000E-07	1.547240E-01
2.580E-07	1.258476E-01
3.340E-07	1.195175E-01
4.310E-07	1.179102E-01
5.570E-07	1.167501E-01
7.190E-07	1.156329E-01
9.280E-07	1.145374E-01
1.200E-06	1.134548E-01
1.550E-06	1.123975E-01
2.000E-06	1.113647E-01
2.580E-06	1.103527E-01
3.340E-06	1.093467E-01
4.310E-06	1.083726E-01
5.570E-06	1.074122E-01
7.190E-06	1.064750E-01
9.280E-06	1.055569E-01
1.200E-05	1.046507E-01
1.550E-05	1.037667E-01
2.000E-05	1.029042E-01
2.580E-05	1.020601E-01
3.340E-05	1.012219E-01
4.310E-05	1.004113E-01
5.570E-05	9.961291E-02
7.190E-05	9.883458E-02
9.280E-05	9.807271E-02
1.200E-04	9.732106E-02
1.550E-04	9.658795E-02
2.000E-04	9.587241E-02
2.580E-04	9.517144E-02
3.340E-04	9.447405E-02
4.310E-04	9.379747E-02
5.570E-04	9.312786E-02
7.190E-04	9.247059E-02
9.280E-04	9.182097E-02
1.200E-03	9.119087E-02
1.550E-03	9.055885E-02
2.000E-03	8.993566E-02
2.580E-03	8.931987E-02
3.340E-03	8.870530E-02
4.310E-03	8.811513E-02
5.570E-03	8.755297E-02
7.190E-03	8.705227E-02
9.280E-03	8.665978E-02
1.200E-02	8.645946E-02
1.550E-02	8.659799E-02
2.000E-02	8.730235E-02
2.580E-02	8.893280E-02
3.340E-02	9.209736E-02
4.310E-02	9.753252E-02
5.570E-02	1.064450E-01
7.190E-02	1.201646E-01
9.280E-02	1.402459E-01
1.200E-01	1.681324E-01
1.550E-01	2.035165E-01
2.000E-01	2.437840E-01
2.580E-01	2.827082E-01
3.340E-01	3.102425E-01
4.310E-01	3.134520E-01
5.570E-01	2.843562E-01
7.190E-01	2.255482E-01
9.280E-01	1.519202E-01
1.200E+00	8.376285E-02
1.550E+00	3.686123E-02
2.000E+00	1.292406E-02
2.580E+00	4.400605E-03
3.340E+00	3.017573E-03
4.310E+00	4.229914E-03
5.570E+00	6.752531E-03
7.190E+00	1.074393E-02
9.280E+00	1.687075E-02
1.200E+01	2.612421E-02
1.550E+01	3.949043E-02
2.000E+01	5.793085E-02
2.580E+01	8.192580E-02
3.340E+01	1.110193E-01
4.310E+01	1.411282E-01
5.570E+01	1.663165E-01
7.190E+01	1.775759E-01
9.280E+01	1.674580E-01
1.200E+02	1.346650E-01
1.550E+02	8.879250E-02
2.000E+02	4.579284E-02
2.580E+02	1.742048E-02
3.340E+02	4.472977E-03
4.310E+02	7.452892E-04
5.570E+02	7.212808E-05
7.190E+02	3.730726E-06
9.280E+02	8.682555E-08
1.200E+03	6.820341E-10
1.550E+03	1.358298E-12
2.000E+03	4.456899E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

