 RAYLAB UNCLE ver. 7.00 on DIAMON_0193200001

 PROCESSING PERFORMED AT MEASUREMENT TIME: 5486.84 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0134

 DETECTORS		DIRECTIONS
 D1         340		R          258
 D2         345		RL         306
 D3         311		FL         191
 D4         265		F          240
 D5         214		FR         220
 D6         117		RR         352

------------------ INTERNAL DATA REF ------------------------
4-1
0.75;815-2;1-0.92
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.080	uSv h^-1	(13.5%)
 H*(10)_i	:	0.122	uSv     	(13.5%)
 h*(10)		:	26.9	pSv cm^2	(8.8%)
 phi		:	0.830	cm^-2 s^-1 	(10.3%)
 thermal   	:	0.6941
 epithermal	:	0.2533
 fast      	:	0.0525
-------------------------------------------------------------
 Average experimental data uncertainty	:	6.45%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.879344E-03
2.580E-09	4.682920E-03
3.340E-09	7.615954E-03
4.310E-09	1.220492E-02
5.570E-09	1.939376E-02
7.190E-09	3.031104E-02
9.280E-09	4.649032E-02
1.200E-08	6.981329E-02
1.550E-08	1.014282E-01
2.000E-08	1.413544E-01
2.580E-08	1.925760E-01
3.340E-08	2.407128E-01
4.310E-08	2.763237E-01
5.570E-08	2.859568E-01
7.190E-08	2.598953E-01
9.280E-08	2.021496E-01
1.200E-07	1.320690E-01
1.550E-07	7.580805E-02
2.000E-07	4.558132E-02
2.580E-07	3.495884E-02
3.340E-07	3.214153E-02
4.310E-07	3.099279E-02
5.570E-07	3.002463E-02
7.190E-07	2.910205E-02
9.280E-07	2.821396E-02
1.200E-06	2.735224E-02
1.550E-06	2.652566E-02
2.000E-06	2.573230E-02
2.580E-06	2.496824E-02
3.340E-06	2.422146E-02
4.310E-06	2.351041E-02
5.570E-06	2.282063E-02
7.190E-06	2.215825E-02
9.280E-06	2.151942E-02
1.200E-05	2.089843E-02
1.550E-05	2.030168E-02
2.000E-05	1.972788E-02
2.580E-05	1.917428E-02
3.340E-05	1.863221E-02
4.310E-05	1.811513E-02
5.570E-05	1.761259E-02
7.190E-05	1.712910E-02
9.280E-05	1.666190E-02
1.200E-04	1.620684E-02
1.550E-04	1.576863E-02
2.000E-04	1.534633E-02
2.580E-04	1.493793E-02
3.340E-04	1.453699E-02
4.310E-04	1.415342E-02
5.570E-04	1.377940E-02
7.190E-04	1.341819E-02
9.280E-04	1.306759E-02
1.200E-03	1.273077E-02
1.550E-03	1.240230E-02
2.000E-03	1.208615E-02
2.580E-03	1.178209E-02
3.340E-03	1.148771E-02
4.310E-03	1.121412E-02
5.570E-03	1.096198E-02
7.190E-03	1.074348E-02
9.280E-03	1.057243E-02
1.200E-02	1.047066E-02
1.550E-02	1.047181E-02
2.000E-02	1.061659E-02
2.580E-02	1.095317E-02
3.340E-02	1.153691E-02
4.310E-02	1.237312E-02
5.570E-02	1.343130E-02
7.190E-02	1.455104E-02
9.280E-02	1.545747E-02
1.200E-01	1.578764E-02
1.550E-01	1.523019E-02
2.000E-01	1.375465E-02
2.580E-01	1.166027E-02
3.340E-01	9.370383E-03
4.310E-01	7.262807E-03
5.570E-01	5.376642E-03
7.190E-01	3.725084E-03
9.280E-01	2.337490E-03
1.200E+00	1.280009E-03
1.550E+00	6.052397E-04
2.000E+00	2.633733E-04
2.580E+00	1.472397E-04
3.340E+00	1.577170E-04
4.310E+00	2.393596E-04
5.570E+00	3.843695E-04
7.190E+00	6.131182E-04
9.280E+00	9.658153E-04
1.200E+01	1.501756E-03
1.550E+01	2.282251E-03
2.000E+01	3.371049E-03
2.580E+01	4.809876E-03
3.340E+01	6.594633E-03
4.310E+01	8.510044E-03
5.570E+01	1.022850E-02
7.190E+01	1.120509E-02
9.280E+01	1.092951E-02
1.200E+02	9.194252E-03
1.550E+02	6.435798E-03
2.000E+02	3.593582E-03
2.580E+02	1.518652E-03
3.340E+02	4.477428E-04
4.310E+02	8.828242E-05
5.570E+02	1.035659E-05
7.190E+02	6.521809E-07
9.280E+02	1.822847E-08
1.200E+03	1.669506E-10
1.550E+03	3.710635E-13
2.000E+03	1.317839E-16
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

