[#]	rt(s)	Dt(s)	Det1	Det2	Det3	Det4	Det5	Det6	REAR	RearL	FrontL	FRONT	FrontR	RearR	Det1_cps	Det2_cps	Det3_cps	Det4_cps	Det5_cps	Det6_cps	REAR_cps	RearL_cps	FrontL_cps	FRONT_cps	FrontR_cps	RearR_cps
1147	1330.19	1.15	0000000000	0000000001	0000000001	0000000000	0000000000	0000000000	0000000000	0000000001	0000000000	0000000000	0000000000	0000000000	0.0000E+00	8.6675E-01	8.6675E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	8.6675E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	
1148	1331.34	1.15	0000000000	0000000001	0000000001	0000000002	0000000001	0000000000	0000000001	0000000001	0000000000	0000000002	0000000001	0000000001	0.0000E+00	8.6591E-01	8.6591E-01	1.7318E+00	8.6591E-01	0.0000E+00	8.6591E-01	8.6591E-01	0.0000E+00	1.7318E+00	8.6591E-01	8.6591E-01	
1149	1332.50	1.16	0000000000	0000000000	0000000001	0000000000	0000000000	0000000001	0000000000	0000000001	0000000000	0000000000	0000000000	0000000000	0.0000E+00	0.0000E+00	8.6171E-01	0.0000E+00	0.0000E+00	8.6171E-01	0.0000E+00	8.6171E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	
1150	1333.66	1.16	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000001	0000000000	0000000000	0000000000	0000000000	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	8.6206E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	
1151	1334.82	1.16	0000000000	0000000000	0000000000	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0.0000E+00	0.0000E+00	0.0000E+00	8.6192E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	
1152	1335.98	1.16	0000000000	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000001	0000000000	0000000000	0.0000E+00	8.6162E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	8.6162E-01	0.0000E+00	0.0000E+00	
1153	1337.14	1.16	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	8.6165E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	
1154	1338.30	1.16	0000000001	0000000000	0000000000	0000000000	0000000000	0000000001	0000000000	0000000000	0000000001	0000000000	0000000001	0000000000	8.6188E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	8.6188E-01	0.0000E+00	0.0000E+00	8.6188E-01	0.0000E+00	8.6188E-01	0.0000E+00	
1155	1339.46	1.16	0000000001	0000000001	0000000000	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000002	0000000000	0000000001	8.6151E-01	8.6151E-01	0.0000E+00	8.6151E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.7230E+00	0.0000E+00	8.6151E-01	
1156	1340.62	1.15	0000000000	0000000000	0000000000	0000000001	0000000000	0000000000	0000000000	0000000000	0000000002	0000000000	0000000000	0000000001	0.0000E+00	0.0000E+00	0.0000E+00	8.6603E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	1.7321E+00	0.0000E+00	0.0000E+00	8.6603E-01	
1157	1341.77	1.15	0000000001	0000000000	0000000000	0000000001	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	0000000000	8.6631E-01	0.0000E+00	0.0000E+00	8.6631E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	
1158	1342.93	1.16	0000000000	0000000000	0000000000	0000000000	0000000000	0000000001	0000000000	0000000001	0000000000	0000000000	0000000000	0000000000	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	8.6210E-01	0.0000E+00	8.6210E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	
