[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	159.86	0.081	100.0%	0.004	100.0%	204.3	100.0%	0.110	100.0%	100.00%	32.1%	12.1%	55.7%	[1-0.03 0]
1	H	(3)	179.65	0.071	100.0%	0.004	100.0%	203.4	100.0%	0.097	100.0%	100.00%	31.7%	12.9%	55.4%	[1-0.03 0]
2	H	(3)	199.41	0.063	100.0%	0.004	100.0%	202.2	100.0%	0.087	100.0%	100.00%	32.0%	13.0%	55.0%	[1-0.03 0]
3	H	(3)	219.06	0.058	100.0%	0.004	100.0%	202.5	100.0%	0.079	100.0%	100.00%	31.9%	13.0%	55.1%	[1-0.03 0]
4	H	(3)	239.88	0.053	100.0%	0.004	100.0%	202.8	100.0%	0.072	100.0%	100.00%	31.9%	12.9%	55.2%	[1-0.03 0]
5	H	(3)	259.58	0.049	100.0%	0.004	100.0%	202.9	100.0%	0.067	100.0%	100.00%	31.8%	12.9%	55.3%	[1-0.03 0]
6	H	(3)	279.27	0.045	100.0%	0.004	100.0%	202.9	100.0%	0.062	100.0%	100.00%	32.0%	12.7%	55.2%	[1-0.03 0]
7	H	(3)	300.13	0.039	100.0%	0.003	100.0%	203.7	100.0%	0.054	100.0%	100.00%	32.2%	12.4%	55.5%	[1-0.03 0]
8	H	(3)	319.82	0.037	100.0%	0.003	100.0%	201.2	100.0%	0.051	100.0%	100.00%	32.5%	12.7%	54.7%	[1-0.03 0]
9	H	(3)	339.51	0.034	100.0%	0.003	100.0%	200.9	100.0%	0.048	100.0%	100.00%	32.6%	12.7%	54.7%	[1-0.03 0]
10	H	(3)	359.22	0.033	100.0%	0.003	100.0%	200.3	100.0%	0.045	100.0%	100.00%	32.9%	12.7%	54.5%	[1-0.03 0]
11	H	(3)	380.08	0.031	100.0%	0.003	100.0%	200.2	100.0%	0.043	100.0%	100.00%	32.9%	12.6%	54.5%	[1-0.03 0]
12	H	(3)	399.81	0.029	100.0%	0.003	100.0%	200.4	100.0%	0.041	100.0%	100.00%	32.7%	12.8%	54.4%	[1-0.03 0]
13	H	(3)	419.50	0.028	100.0%	0.003	100.0%	203.1	100.0%	0.039	100.0%	100.00%	32.6%	12.2%	55.2%	[1-0.03 0]
14	H	(3)	439.20	0.027	100.0%	0.003	100.0%	203.4	100.0%	0.037	100.0%	100.00%	32.9%	12.0%	55.2%	[1-0.03 0]
15	H	(3)	460.07	0.026	100.0%	0.003	100.0%	203.6	100.0%	0.035	100.0%	100.00%	32.8%	12.0%	55.2%	[1-0.03 0]
16	H	(3)	479.78	0.032	100.0%	0.004	100.0%	204.1	100.0%	0.043	100.0%	95.12%	32.8%	11.9%	55.3%	[1-0.03 0]
