[#]	Model	(c)	t(s)	H*(10)r	Hr_un%	H*(10)i	Hi_un%	h*(10)	h_un%	PHI	phi_un%	D_UNC	Ther%	Epit%	Fast%	INTERNAL	
0	H	(3)	19.73	0.600	100.0%	0.003	100.0%	169.6	22.1%	0.983	100.0%	90.24%	17.5%	35.5%	47.1%	[1-0.43 0]
1	H	(3)	39.37	0.870	71.1%	0.010	71.1%	171.6	17.6%	1.408	68.9%	67.96%	17.0%	35.5%	47.5%	[1-0.43 0]
2	H	(3)	59.05	0.563	100.0%	0.009	100.0%	174.1	17.8%	0.898	100.0%	56.71%	16.6%	35.4%	48.0%	[1-0.43 0]
3	H	(3)	79.91	0.722	74.2%	0.016	74.2%	172.5	16.5%	1.163	72.4%	48.79%	17.4%	35.2%	47.4%	[1-0.43 0]
4	H	(3)	99.61	0.263	100.0%	0.007	100.0%	145.3	16.1%	0.502	100.0%	46.99%	21.1%	39.2%	39.7%	[1-0.43 0]
5	H	(3)	119.29	0.430	68.6%	0.014	68.6%	132.8	13.2%	0.900	67.3%	35.76%	24.5%	39.5%	36.0%	[1-0.43 0]
6	H	(3)	139.00	0.403	54.2%	0.016	54.2%	119.2	12.3%	0.939	52.8%	32.81%	29.1%	39.1%	31.9%	[1-0.43 0]
7	H	(3)	159.86	0.335	43.7%	0.015	43.7%	98.0	9.8%	0.951	42.6%	31.01%	35.4%	38.7%	25.9%	[1-0.43 0]
8	H	(3)	179.58	0.256	36.0%	0.013	36.0%	74.3	8.7%	0.956	34.9%	29.75%	43.0%	37.9%	19.2%	[1-0.43 0]
9	H	(3)	199.29	0.312	31.0%	0.017	31.0%	80.9	8.3%	1.072	29.9%	26.85%	44.9%	34.2%	20.9%	[1-0.43 0]
10	H	(3)	220.17	0.256	30.0%	0.016	30.0%	68.0	8.3%	1.047	28.8%	25.83%	48.0%	34.7%	17.2%	[1-0.43 0]
11	H	(3)	239.85	0.220	29.2%	0.015	29.2%	59.6	8.1%	1.028	28.1%	25.04%	51.8%	33.3%	14.9%	[1-0.43 0]
12	H	(3)	259.55	0.236	26.4%	0.017	26.4%	59.3	7.2%	1.105	25.4%	23.44%	53.4%	31.9%	14.7%	[1-0.43 0]
13	H	(3)	279.24	0.237	25.0%	0.018	25.0%	59.0	6.7%	1.114	24.1%	22.49%	52.2%	33.2%	14.6%	[1-0.43 0]
14	H	(3)	300.09	0.214	24.7%	0.018	24.7%	53.9	7.2%	1.105	23.6%	21.84%	53.9%	33.0%	13.1%	[1-0.43 0]
15	H	(3)	319.78	0.223	24.1%	0.020	24.1%	53.9	8.1%	1.150	22.7%	20.94%	55.5%	31.4%	13.0%	[1-0.43 0]
16	H	(3)	339.45	0.221	23.3%	0.021	23.3%	52.8	8.2%	1.162	21.8%	20.19%	54.9%	32.5%	12.6%	[1-0.43 0]
17	H	(3)	360.31	0.222	22.7%	0.022	22.7%	53.1	8.1%	1.162	21.2%	19.52%	54.5%	32.7%	12.8%	[1-0.43 0]
18	H	(3)	380.01	0.238	22.6%	0.025	22.6%	57.5	8.7%	1.151	20.9%	19.20%	53.6%	32.2%	14.2%	[1-0.43 0]
19	H	(3)	399.70	0.277	22.0%	0.031	22.0%	65.7	8.2%	1.170	20.4%	18.55%	51.3%	32.2%	16.5%	[1-0.43 0]
20	H	(3)	419.41	0.287	20.5%	0.033	20.5%	67.0	7.2%	1.189	19.2%	17.97%	50.5%	32.5%	17.0%	[1-0.43 0]
21	H	(3)	440.28	0.312	19.6%	0.038	19.6%	70.3	6.7%	1.231	18.4%	17.47%	49.8%	32.3%	17.9%	[1-1.00 1]
22	H	(3)	459.99	0.296	19.3%	0.038	19.3%	66.7	6.7%	1.231	18.1%	17.03%	50.2%	33.0%	16.9%	[1-1.00 1]
23	H	(3)	479.68	0.316	18.9%	0.042	18.9%	70.1	5.7%	1.252	18.0%	16.52%	49.9%	32.4%	17.7%	[1-1.00 1]
24	H	(3)	499.39	0.322	18.7%	0.045	18.7%	70.5	5.6%	1.268	17.9%	16.11%	50.6%	31.5%	17.9%	[1-1.00 1]
25	H	(3)	520.24	0.361	20.0%	0.052	20.0%	80.1	5.6%	1.252	19.2%	15.81%	47.4%	32.1%	20.5%	[1-1.00 1]
26	H	(3)	539.93	0.391	21.4%	0.059	21.4%	88.2	5.9%	1.231	20.6%	15.60%	44.4%	32.8%	22.8%	[1-1.00 1]
27	H	(3)	560.80	0.440	25.3%	0.069	25.3%	101.7	10.0%	1.201	23.3%	15.42%	39.8%	33.5%	26.6%	[1-1.00 1]
28	H	(3)	580.48	0.476	27.0%	0.077	27.0%	109.9	10.0%	1.202	25.1%	15.07%	36.7%	34.2%	29.1%	[1-1.00 1]
29	H	(3)	600.18	0.483	27.9%	0.081	27.9%	112.8	10.0%	1.190	26.1%	14.80%	34.5%	35.6%	30.0%	[1-1.00 1]
30	H	(3)	619.87	0.506	28.2%	0.087	28.2%	117.8	10.0%	1.194	26.3%	14.49%	33.0%	35.5%	31.5%	[1-1.00 1]
