 RAYLAB UNCLE ver. 7.00 on DIAMON_0193190003

 PROCESSING PERFORMED AT MEASUREMENT TIME: 79.98 s
-------------------------------------------------------------
 COUNTS from FOLDER: 0154

 DETECTORS		DIRECTIONS
 D1           0		R            1
 D2           2		RL           0
 D3           0		FL           2
 D4           1		F            0
 D5           0		FR           0
 D6           1		RR           1

------------------ INTERNAL DATA REF ------------------------
1-0
0.82;0-0;1-0.43
-------------------- OUTPUT VALUES --------------------------
 H*(10)_r	:	0.037	uSv h^-1	>(100.1%)
 H*(10)_i	:	0.001	uSv     	>(100.1%)
 h*(10)		:	53.7	pSv cm^2	(54.8%)
 phi		:	0.189	cm^-2 s^-1 	>(100.1%)
 thermal   	:	0.3016
 epithermal	:	0.5654
 fast      	:	0.1329
-------------------------------------------------------------
 Average experimental data uncertainty	:	95.12%
 
 
 DeltaE [MeV] = EcMIN*((10^((BIN_N+0.5)/9)-10^((BIN_N-0.5)/9))) BIN_N: from 0 to 112
 
 Ec [MeV]	 Phi(E)*Ec [cm^-2 s^-1]
-------------------------------------------------------------
2.000E-09	2.244949E-04
2.580E-09	3.651150E-04
3.340E-09	5.937960E-04
4.310E-09	9.515860E-04
5.570E-09	1.512081E-03
7.190E-09	2.363273E-03
9.280E-09	3.624728E-03
1.200E-08	5.443160E-03
1.550E-08	7.908092E-03
2.000E-08	1.102103E-02
2.580E-08	1.561415E-02
3.340E-08	1.975459E-02
4.310E-08	2.311268E-02
5.570E-08	2.468571E-02
7.190E-08	2.366709E-02
9.280E-08	2.018823E-02
1.200E-07	1.548391E-02
1.550E-07	1.146167E-02
2.000E-07	9.247169E-03
2.580E-07	8.516176E-03
3.340E-07	8.390327E-03
4.310E-07	8.390725E-03
5.570E-07	8.403187E-03
7.190E-07	8.416398E-03
9.280E-07	8.429977E-03
1.200E-06	8.444034E-03
1.550E-06	8.458409E-03
2.000E-06	8.473105E-03
2.580E-06	8.488168E-03
3.340E-06	8.503833E-03
4.310E-06	8.519692E-03
5.570E-06	8.536038E-03
7.190E-06	8.552704E-03
9.280E-06	8.569756E-03
1.200E-05	8.587332E-03
1.550E-05	8.605230E-03
2.000E-05	8.623448E-03
2.580E-05	8.642037E-03
3.340E-05	8.661273E-03
4.310E-05	8.680646E-03
5.570E-05	8.700497E-03
7.190E-05	8.720601E-03
9.280E-05	8.741013E-03
1.200E-04	8.761861E-03
1.550E-04	8.782857E-03
2.000E-04	8.803943E-03
2.580E-04	8.825101E-03
3.340E-04	8.846539E-03
4.310E-04	8.867553E-03
5.570E-04	8.888346E-03
7.190E-04	8.908461E-03
9.280E-04	8.927667E-03
1.200E-03	8.952331E-03
1.550E-03	8.970587E-03
2.000E-03	8.986938E-03
2.580E-03	9.000787E-03
3.340E-03	9.011425E-03
4.310E-03	9.017480E-03
5.570E-03	9.017717E-03
7.190E-03	9.010387E-03
9.280E-03	8.993354E-03
1.200E-02	8.963681E-03
1.550E-02	8.918377E-03
2.000E-02	8.853753E-03
2.580E-02	8.765303E-03
3.340E-02	8.646206E-03
4.310E-02	8.494377E-03
5.570E-02	8.302659E-03
7.190E-02	8.069790E-03
9.280E-02	7.795054E-03
1.200E-01	7.481030E-03
1.550E-01	7.144066E-03
2.000E-01	6.806873E-03
2.580E-01	6.500949E-03
3.340E-01	6.263210E-03
4.310E-01	6.140200E-03
5.570E-01	6.155956E-03
7.190E-01	6.309624E-03
9.280E-01	6.557931E-03
1.200E+00	6.809618E-03
1.550E+00	6.919430E-03
2.000E+00	6.722974E-03
2.580E+00	6.086991E-03
3.340E+00	4.970407E-03
4.310E+00	3.556915E-03
5.570E+00	2.132750E-03
7.190E+00	1.026221E-03
9.280E+00	3.733614E-04
1.200E+01	9.470680E-05
1.550E+01	1.566303E-05
2.000E+01	1.546785E-06
2.580E+01	8.108812E-08
3.340E+01	1.802259E-09
4.310E+01	1.457516E-11
5.570E+01	2.799379E-14
7.190E+01	8.721735E-18
9.280E+01	0.000000E+00
1.200E+02	0.000000E+00
1.550E+02	0.000000E+00
2.000E+02	0.000000E+00
2.580E+02	0.000000E+00
3.340E+02	0.000000E+00
4.310E+02	0.000000E+00
5.570E+02	0.000000E+00
7.190E+02	0.000000E+00
9.280E+02	0.000000E+00
1.200E+03	0.000000E+00
1.550E+03	0.000000E+00
2.000E+03	0.000000E+00
2.580E+03	0.000000E+00
3.340E+03	0.000000E+00
4.310E+03	0.000000E+00
5.570E+03	0.000000E+00

