"Time","t2shut::chipir:status"
"11/08/2022, 03:20:51 PM",3
"11/08/2022, 03:21:56 PM",1
"11/08/2022, 03:25:40 PM",3
"11/08/2022, 03:26:34 PM",2
"11/08/2022, 03:48:43 PM",3
"11/08/2022, 03:49:45 PM",1
"11/08/2022, 03:50:39 PM",3
"11/08/2022, 03:51:34 PM",2
"11/08/2022, 03:54:51 PM",3
"11/08/2022, 03:55:55 PM",1
"11/08/2022, 04:01:43 PM",3
"11/08/2022, 04:02:35 PM",2
"11/08/2022, 04:04:33 PM",3
"11/08/2022, 04:05:35 PM",1
"11/08/2022, 04:59:25 PM",3
"11/08/2022, 05:00:21 PM",2
"11/09/2022, 09:23:01 AM",3
"11/09/2022, 09:24:05 AM",1
"11/09/2022, 09:24:15 AM",3
"11/09/2022, 09:25:10 AM",2
"11/09/2022, 09:31:49 AM",3
"11/09/2022, 09:32:52 AM",1
"11/09/2022, 09:51:09 AM",3
"11/09/2022, 09:52:06 AM",2
"11/09/2022, 09:57:36 AM",3
"11/09/2022, 09:58:41 AM",1
"11/09/2022, 10:10:08 AM",3
"11/09/2022, 10:11:04 AM",2
"11/09/2022, 12:10:07 PM",3
"11/09/2022, 12:11:09 PM",1
"11/09/2022, 12:11:51 PM",3
"11/09/2022, 12:12:49 PM",2
"11/09/2022, 12:20:12 PM",3
"11/09/2022, 12:21:16 PM",1
"11/09/2022, 12:22:08 PM",3
"11/09/2022, 12:22:59 PM",2
"11/09/2022, 12:26:38 PM",3
"11/09/2022, 12:27:42 PM",1
"11/09/2022, 01:05:48 PM",3
"11/09/2022, 01:06:44 PM",2
"11/09/2022, 01:22:58 PM",3
"11/09/2022, 01:24:02 PM",1
"11/09/2022, 01:42:44 PM",3
"11/09/2022, 01:43:42 PM",2
"11/09/2022, 02:00:42 PM",3
"11/09/2022, 02:01:44 PM",1
"11/09/2022, 02:21:25 PM",3
"11/09/2022, 02:22:21 PM",2
"11/09/2022, 02:42:06 PM",3
"11/09/2022, 02:43:09 PM",1
"11/09/2022, 03:07:45 PM",3
"11/09/2022, 03:08:41 PM",2
"11/09/2022, 03:30:53 PM",3
"11/09/2022, 03:31:54 PM",1
"11/09/2022, 04:14:32 PM",4
"11/09/2022, 04:14:34 PM",3
"11/09/2022, 04:15:30 PM",2
"11/09/2022, 04:37:31 PM",3
"11/09/2022, 04:38:35 PM",1
"11/09/2022, 05:24:04 PM",3
"11/09/2022, 05:25:01 PM",2
"11/09/2022, 05:44:15 PM",3
"11/09/2022, 05:45:18 PM",1
"11/09/2022, 06:07:43 PM",3
"11/09/2022, 06:08:39 PM",2
"11/09/2022, 06:24:05 PM",3
"11/09/2022, 06:25:07 PM",1
"11/09/2022, 07:02:19 PM",3
"11/09/2022, 07:03:18 PM",2
"11/09/2022, 07:17:18 PM",3
"11/09/2022, 07:18:20 PM",1
"11/09/2022, 07:56:42 PM",3
"11/09/2022, 07:57:38 PM",2
"11/09/2022, 08:19:09 PM",3
"11/09/2022, 08:20:11 PM",1
"11/09/2022, 08:45:02 PM",3
"11/09/2022, 08:45:59 PM",2
"11/09/2022, 09:00:59 PM",3
"11/09/2022, 09:02:01 PM",1
"11/09/2022, 09:28:54 PM",3
"11/09/2022, 09:29:50 PM",2
"11/09/2022, 09:47:04 PM",3
"11/09/2022, 09:48:06 PM",1
"11/09/2022, 10:31:37 PM",3
"11/09/2022, 10:32:41 PM",2
"11/09/2022, 10:46:19 PM",3
"11/09/2022, 10:47:23 PM",1
"11/09/2022, 11:48:37 PM",3
"11/09/2022, 11:49:35 PM",2
"11/10/2022, 12:02:20 AM",3
"11/10/2022, 12:03:24 AM",1
"11/10/2022, 12:40:25 AM",3
"11/10/2022, 12:41:21 AM",2
"11/10/2022, 12:54:34 AM",3
"11/10/2022, 12:55:39 AM",1
"11/10/2022, 01:38:00 AM",3
"11/10/2022, 01:38:56 AM",2
"11/10/2022, 01:56:41 AM",3
"11/10/2022, 01:57:45 AM",1
"11/10/2022, 02:24:56 AM",3
"11/10/2022, 02:25:52 AM",2
"11/10/2022, 02:55:11 AM",3
"11/10/2022, 02:56:14 AM",1
"11/10/2022, 03:25:00 AM",3
"11/10/2022, 03:25:58 AM",2
"11/10/2022, 03:47:29 AM",3
"11/10/2022, 03:48:31 AM",1
"11/10/2022, 04:12:56 AM",3
"11/10/2022, 04:13:54 AM",2
"11/10/2022, 04:36:54 AM",3
"11/10/2022, 04:37:55 AM",1
"11/10/2022, 04:54:54 AM",3
"11/10/2022, 04:55:50 AM",2
"11/10/2022, 05:14:05 AM",3
"11/10/2022, 05:15:10 AM",1
"11/10/2022, 06:09:00 AM",3
"11/10/2022, 06:09:56 AM",2
"11/10/2022, 06:25:23 AM",3
"11/10/2022, 06:26:25 AM",1
"11/10/2022, 07:08:36 AM",3
"11/10/2022, 07:09:32 AM",2
"11/10/2022, 07:23:16 AM",3
"11/10/2022, 07:24:20 AM",1
"11/10/2022, 07:47:02 AM",3
"11/10/2022, 07:47:57 AM",2
"11/10/2022, 08:01:57 AM",3
"11/10/2022, 08:02:59 AM",1
"11/10/2022, 08:42:23 AM",3
"11/10/2022, 08:43:19 AM",2
"11/10/2022, 08:59:28 AM",3
"11/10/2022, 09:00:29 AM",1
"11/10/2022, 09:47:58 AM",3
"11/10/2022, 09:48:56 AM",2
"11/10/2022, 10:05:48 AM",3
"11/10/2022, 10:06:49 AM",1
"11/10/2022, 10:39:13 AM",3
"11/10/2022, 10:40:09 AM",2
"11/10/2022, 11:02:38 AM",3
"11/10/2022, 11:03:40 AM",1
"11/10/2022, 11:53:42 AM",3
"11/10/2022, 11:54:40 AM",2
"11/10/2022, 12:10:15 PM",3
"11/10/2022, 12:11:16 PM",1
"11/10/2022, 12:48:16 PM",3
"11/10/2022, 12:49:14 PM",2
"11/10/2022, 01:13:14 PM",3
"11/10/2022, 01:14:17 PM",1
"11/10/2022, 01:46:37 PM",3
"11/10/2022, 01:47:33 PM",2
"11/10/2022, 02:08:59 PM",3
"11/10/2022, 02:10:03 PM",1
"11/10/2022, 02:42:03 PM",3
"11/10/2022, 02:43:02 PM",2
"11/10/2022, 03:00:19 PM",3
"11/10/2022, 03:01:21 PM",1
