"Time","t2shut::w5:status"
"11/08/2022, 08:22:02 AM",3
"11/08/2022, 08:22:38 AM",1
"11/08/2022, 09:03:44 AM",3
"11/08/2022, 09:04:14 AM",2
"11/08/2022, 09:10:29 AM",3
"11/08/2022, 09:11:07 AM",1
"11/08/2022, 12:16:59 PM",3
"11/08/2022, 12:17:27 PM",2
"11/08/2022, 12:24:32 PM",3
"11/08/2022, 12:25:12 PM",1
"11/08/2022, 01:35:31 PM",3
"11/08/2022, 01:35:57 PM",2
"11/08/2022, 02:03:19 PM",3
"11/08/2022, 02:03:55 PM",1
"11/08/2022, 04:48:29 PM",3
"11/08/2022, 04:48:57 PM",2
"11/08/2022, 05:34:30 PM",3
"11/08/2022, 05:35:05 PM",1
"11/10/2022, 09:31:17 AM",3
"11/10/2022, 09:31:42 AM",2
"11/10/2022, 09:55:33 AM",3
"11/10/2022, 09:56:07 AM",1
"11/10/2022, 03:44:32 PM",3
"11/10/2022, 03:44:54 PM",2
"11/10/2022, 04:47:03 PM",3
"11/10/2022, 04:47:41 PM",1
"11/10/2022, 05:23:30 PM",3
"11/10/2022, 05:23:57 PM",2
"11/10/2022, 05:35:18 PM",3
"11/10/2022, 05:35:53 PM",1
"11/11/2022, 09:02:20 AM",3
"11/11/2022, 09:02:49 AM",2
"11/11/2022, 09:14:53 AM",3
"11/11/2022, 09:15:30 AM",1
"11/11/2022, 09:35:22 AM",3
"11/11/2022, 09:35:50 AM",2
"11/11/2022, 03:09:35 PM",3
"11/11/2022, 03:10:12 PM",1
"11/11/2022, 03:18:50 PM",3
"11/11/2022, 03:19:17 PM",2
"11/11/2022, 03:22:10 PM",3
"11/11/2022, 03:22:48 PM",1
"11/11/2022, 04:06:09 PM",3
"11/11/2022, 04:06:37 PM",2
"11/11/2022, 04:25:21 PM",3
"11/11/2022, 04:25:57 PM",1
"11/11/2022, 04:42:20 PM",3
"11/11/2022, 04:42:47 PM",2
"11/11/2022, 04:46:45 PM",3
"11/11/2022, 04:47:22 PM",1
"11/11/2022, 05:08:47 PM",3
"11/11/2022, 05:09:15 PM",2
