"Time","t2shut::inter:status"
"11/08/2022, 11:24:48 AM",3
"11/08/2022, 11:25:29 AM",1
"11/08/2022, 11:32:46 AM",3
"11/08/2022, 11:33:05 AM",2
"11/08/2022, 11:36:18 AM",3
"11/08/2022, 11:37:01 AM",1
"11/08/2022, 12:07:31 PM",3
"11/08/2022, 12:07:53 PM",2
"11/08/2022, 12:10:08 PM",3
"11/08/2022, 12:10:49 PM",1
"11/08/2022, 02:19:04 PM",3
"11/08/2022, 02:19:25 PM",2
"11/08/2022, 03:13:39 PM",3
"11/08/2022, 03:14:20 PM",1
"11/09/2022, 12:39:53 PM",3
"11/09/2022, 12:40:12 PM",2
"11/09/2022, 12:46:15 PM",3
"11/09/2022, 12:46:53 PM",1
"11/09/2022, 02:41:15 PM",4
"11/09/2022, 02:41:17 PM",3
"11/09/2022, 02:41:36 PM",2
"11/09/2022, 02:43:30 PM",3
"11/09/2022, 02:44:11 PM",1
"11/10/2022, 01:30:47 PM",3
"11/10/2022, 01:31:09 PM",2
"11/10/2022, 01:39:52 PM",3
"11/10/2022, 01:40:35 PM",1
"11/10/2022, 02:05:42 PM",3
"11/10/2022, 02:06:04 PM",2
"11/10/2022, 02:30:53 PM",3
"11/10/2022, 02:31:35 PM",1
"11/10/2022, 04:06:40 PM",3
"11/10/2022, 04:07:02 PM",2
"11/10/2022, 04:27:42 PM",3
"11/10/2022, 04:28:25 PM",1
"11/10/2022, 05:54:45 PM",3
"11/10/2022, 05:55:05 PM",2
"11/10/2022, 05:57:16 PM",3
"11/10/2022, 05:57:58 PM",1
"11/10/2022, 05:58:00 PM",3
"11/10/2022, 05:58:20 PM",2
"11/10/2022, 06:12:07 PM",3
"11/10/2022, 06:12:50 PM",1
"11/11/2022, 08:56:22 AM",3
"11/11/2022, 08:56:43 AM",2
"11/11/2022, 09:14:25 AM",3
"11/11/2022, 09:15:06 AM",1
"11/11/2022, 09:36:36 AM",3
"11/11/2022, 09:36:56 AM",2
"11/11/2022, 09:43:24 AM",3
"11/11/2022, 09:44:06 AM",1
"11/11/2022, 10:51:31 AM",3
"11/11/2022, 10:51:53 AM",2
"11/11/2022, 11:28:18 AM",3
