"Time","t2shut::e6:status"
"11/08/2022, 12:23:03 PM",3
"11/08/2022, 12:23:42 PM",2
"11/08/2022, 12:50:00 PM",3
"11/08/2022, 12:50:31 PM",1
"11/08/2022, 12:51:35 PM",3
"11/08/2022, 12:52:13 PM",2
"11/08/2022, 12:58:49 PM",3
"11/08/2022, 12:59:19 PM",1
"11/08/2022, 01:20:26 PM",3
"11/08/2022, 01:21:03 PM",2
"11/08/2022, 01:23:25 PM",4
"11/08/2022, 01:23:27 PM",3
"11/08/2022, 01:23:57 PM",1
"11/08/2022, 04:13:27 PM",3
"11/08/2022, 04:14:07 PM",2
"11/08/2022, 04:28:33 PM",3
"11/08/2022, 04:29:02 PM",1
"11/09/2022, 01:17:45 PM",3
"11/09/2022, 01:18:23 PM",2
"11/09/2022, 01:24:14 PM",3
"11/09/2022, 01:24:44 PM",1
"11/10/2022, 09:07:19 AM",3
"11/10/2022, 09:07:55 AM",2
"11/10/2022, 09:48:43 AM",3
"11/10/2022, 09:49:13 AM",1
"11/10/2022, 01:52:02 PM",3
"11/10/2022, 01:52:40 PM",2
"11/10/2022, 02:26:56 PM",3
"11/10/2022, 02:27:24 PM",1
"11/11/2022, 12:15:28 AM",3
"11/11/2022, 12:16:05 AM",2
"11/11/2022, 12:47:36 AM",3
"11/11/2022, 12:48:06 AM",1
"11/11/2022, 10:02:59 AM",3
"11/11/2022, 10:03:37 AM",2
"11/11/2022, 10:09:58 AM",3
"11/11/2022, 10:10:28 AM",1
"11/11/2022, 10:21:31 AM",3
"11/11/2022, 10:22:07 AM",2
"11/11/2022, 11:06:43 AM",3
"11/11/2022, 11:07:13 AM",1
"11/11/2022, 01:17:18 PM",3
"11/11/2022, 01:17:56 PM",2
"11/11/2022, 01:18:48 PM",3
"11/11/2022, 01:19:18 PM",1
"11/11/2022, 08:10:33 PM",3
"11/11/2022, 08:10:59 PM",2
"11/11/2022, 08:27:17 PM",3
"11/11/2022, 08:27:45 PM",1
"11/12/2022, 09:23:29 AM",3
"11/12/2022, 09:24:08 AM",2
"11/12/2022, 11:46:50 AM",3
"11/12/2022, 11:47:20 AM",1
"11/13/2022, 08:54:18 AM",3
"11/13/2022, 08:54:52 AM",2
"11/13/2022, 09:50:49 AM",3
"11/13/2022, 09:51:21 AM",1
"11/13/2022, 04:18:14 PM",2
"11/13/2022, 04:25:32 PM",3
"11/13/2022, 04:26:02 PM",1
"11/13/2022, 04:27:34 PM",3
"11/13/2022, 04:28:12 PM",2
"11/13/2022, 04:48:43 PM",3
"11/13/2022, 04:49:12 PM",1
"11/13/2022, 06:19:08 PM",3
"11/13/2022, 06:19:45 PM",2
"11/13/2022, 06:35:12 PM",3
"11/13/2022, 06:35:44 PM",1
"11/13/2022, 08:16:59 PM",3
"11/13/2022, 08:17:36 PM",2
"11/13/2022, 08:32:49 PM",3
"11/13/2022, 08:33:19 PM",1
"11/13/2022, 10:20:48 PM",3
"11/13/2022, 10:21:24 PM",2
"11/13/2022, 10:34:47 PM",3
"11/13/2022, 10:35:17 PM",1
"11/14/2022, 09:19:50 AM",3
"11/14/2022, 09:20:20 AM",2
"11/14/2022, 02:48:52 PM",3
"11/14/2022, 02:49:22 PM",1
"11/14/2022, 07:20:51 PM",3
"11/14/2022, 07:21:28 PM",2
"11/14/2022, 07:28:00 PM",3
"11/14/2022, 07:28:28 PM",1
"11/14/2022, 07:57:09 PM",3
"11/14/2022, 07:57:47 PM",2
"11/14/2022, 08:00:37 PM",3
"11/14/2022, 08:01:07 PM",1
"11/14/2022, 08:27:52 PM",3
"11/14/2022, 08:28:29 PM",2
"11/14/2022, 08:38:41 PM",3
"11/14/2022, 08:39:09 PM",1
"11/15/2022, 07:57:11 AM",4
"11/15/2022, 07:57:14 AM",3
"11/15/2022, 07:57:50 AM",2
"11/15/2022, 08:10:13 AM",3
"11/15/2022, 08:10:41 AM",1
"11/15/2022, 10:04:16 AM",3
"11/15/2022, 10:04:55 AM",2
"11/15/2022, 10:17:26 AM",3
"11/15/2022, 10:17:58 AM",1
"11/15/2022, 12:02:41 PM",3
"11/15/2022, 12:03:20 PM",2
"11/15/2022, 12:16:55 PM",3
"11/15/2022, 12:17:25 PM",1
"11/15/2022, 01:27:48 PM",3
"11/15/2022, 01:28:24 PM",2
"11/15/2022, 01:42:41 PM",3
"11/15/2022, 01:43:11 PM",1
"11/15/2022, 04:06:19 PM",3
"11/15/2022, 04:06:54 PM",2
"11/15/2022, 04:09:13 PM",3
"11/15/2022, 04:09:42 PM",1
"11/16/2022, 12:11:18 AM",3
"11/16/2022, 12:11:56 AM",2
"11/16/2022, 01:01:38 AM",3
"11/16/2022, 01:02:09 AM",1
"11/16/2022, 10:44:31 AM",3
"11/16/2022, 10:45:11 AM",2
"11/16/2022, 10:55:20 AM",3
"11/16/2022, 10:55:49 AM",1
"11/16/2022, 01:13:23 PM",3
"11/16/2022, 01:14:01 PM",2
"11/16/2022, 01:20:00 PM",3
"11/16/2022, 01:20:29 PM",1
"11/16/2022, 03:02:11 PM",3
"11/16/2022, 03:02:47 PM",2
"11/16/2022, 03:13:49 PM",3
"11/16/2022, 03:14:18 PM",1
"11/16/2022, 05:35:40 PM",3
"11/16/2022, 05:36:16 PM",2
"11/16/2022, 05:44:34 PM",3
"11/16/2022, 05:45:04 PM",1
