"Time","t2shut::let:status"
"11/08/2022, 09:00:04 AM",3
"11/08/2022, 09:00:21 AM",2
"11/08/2022, 09:44:28 AM",3
"11/08/2022, 09:45:07 AM",1
"11/08/2022, 01:16:15 PM",3
"11/08/2022, 01:16:34 PM",2
"11/08/2022, 02:05:31 PM",3
"11/08/2022, 02:05:48 PM",4
"11/08/2022, 02:05:50 PM",3
"11/08/2022, 02:06:00 PM",2
"11/08/2022, 02:06:06 PM",3
"11/08/2022, 02:06:18 PM",2
"11/08/2022, 02:06:40 PM",3
"11/08/2022, 02:06:51 PM",2
"11/08/2022, 02:07:18 PM",3
"11/08/2022, 02:08:01 PM",1
"11/08/2022, 04:43:40 PM",3
"11/08/2022, 04:43:59 PM",2
"11/08/2022, 05:14:56 PM",3
"11/08/2022, 05:15:34 PM",1
"11/09/2022, 08:34:34 AM",3
"11/09/2022, 08:34:55 AM",2
"11/14/2022, 03:34:27 PM",3
"11/14/2022, 03:35:06 PM",1
"11/15/2022, 08:54:00 AM",3
"11/15/2022, 08:54:19 AM",2
"11/15/2022, 10:18:15 AM",3
"11/15/2022, 10:18:55 AM",1
"11/15/2022, 03:03:24 PM",3
"11/15/2022, 03:03:44 PM",2
"11/15/2022, 03:19:27 PM",3
"11/15/2022, 03:20:06 PM",1
"11/15/2022, 03:36:40 PM",3
"11/15/2022, 03:36:59 PM",2
"11/15/2022, 03:55:17 PM",3
"11/15/2022, 03:55:57 PM",1
"11/16/2022, 02:34:19 PM",3
"11/16/2022, 02:34:38 PM",2
"11/16/2022, 02:47:19 PM",3
"11/16/2022, 02:47:58 PM",1
"11/16/2022, 04:53:20 PM",3
"11/16/2022, 04:53:38 PM",2
"11/16/2022, 05:13:20 PM",3
"11/16/2022, 05:13:57 PM",1
"11/17/2022, 09:16:20 AM",3
"11/17/2022, 09:16:40 AM",2
"11/17/2022, 12:01:47 PM",3
"11/17/2022, 12:02:30 PM",2
"11/17/2022, 12:06:49 PM",3
"11/17/2022, 12:07:29 PM",1
"11/17/2022, 12:15:24 PM",3
"11/17/2022, 12:15:43 PM",2
"11/17/2022, 12:20:33 PM",3
"11/17/2022, 12:20:40 PM",2
"11/17/2022, 12:28:08 PM",3
"11/17/2022, 12:28:48 PM",1
"11/17/2022, 02:44:17 PM",3
"11/17/2022, 02:44:36 PM",2
"11/17/2022, 02:45:59 PM",3
"11/17/2022, 02:46:38 PM",1
"11/18/2022, 07:48:05 AM",4
"11/18/2022, 07:48:07 AM",3
"11/18/2022, 07:48:24 AM",2
"11/18/2022, 09:40:09 AM",3
"11/18/2022, 09:40:49 AM",1
"11/18/2022, 11:35:51 PM",4
"11/18/2022, 11:35:53 PM",3
"11/18/2022, 11:36:10 PM",2
"11/18/2022, 11:39:19 PM",3
"11/18/2022, 11:39:58 PM",1
"11/18/2022, 11:41:15 PM",3
"11/18/2022, 11:41:33 PM",2
"11/18/2022, 11:50:42 PM",3
"11/18/2022, 11:51:22 PM",1
"11/21/2022, 10:51:18 AM",3
"11/21/2022, 10:51:37 AM",2
"11/21/2022, 11:53:06 AM",3
"11/21/2022, 11:53:46 AM",1
"11/23/2022, 09:24:06 AM",3
"11/23/2022, 09:24:23 AM",2
"11/24/2022, 08:09:05 AM",3
"11/24/2022, 08:09:46 AM",1
"11/24/2022, 08:25:09 AM",3
"11/24/2022, 08:25:29 AM",2
"11/24/2022, 10:27:06 AM",3
"11/24/2022, 10:27:44 AM",1
"11/25/2022, 02:08:37 PM",3
"11/25/2022, 02:08:57 PM",2
"11/25/2022, 02:37:53 PM",3
"11/25/2022, 02:38:34 PM",1
"11/29/2022, 02:16:52 PM",3
"11/29/2022, 02:17:12 PM",2
"11/29/2022, 03:10:35 PM",3
"11/29/2022, 03:11:11 PM",1
"12/02/2022, 08:15:22 AM",3
"12/02/2022, 08:15:42 AM",2
"12/02/2022, 09:40:50 AM",3
"12/02/2022, 09:41:27 AM",1
"12/02/2022, 01:17:38 PM",3
"12/02/2022, 01:18:00 PM",2
"12/02/2022, 01:37:01 PM",3
"12/02/2022, 01:37:40 PM",1
"12/04/2022, 10:03:23 AM",3
"12/04/2022, 10:03:43 AM",2
