"Time","t2shut::offspec:status"
"11/08/2022, 10:17:20 AM",3
"11/08/2022, 10:17:37 AM",2
"11/08/2022, 10:19:39 AM",3
"11/08/2022, 10:20:18 AM",1
"11/08/2022, 02:59:15 PM",3
"11/08/2022, 02:59:33 PM",2
"11/08/2022, 03:27:08 PM",3
"11/08/2022, 03:27:48 PM",1
"11/08/2022, 05:24:19 PM",3
"11/08/2022, 05:24:35 PM",2
"11/08/2022, 06:13:14 PM",3
"11/08/2022, 06:13:53 PM",1
"11/09/2022, 10:07:18 AM",3
"11/09/2022, 10:07:34 AM",2
"11/09/2022, 10:38:26 AM",3
"11/09/2022, 10:39:08 AM",1
"11/09/2022, 11:36:59 AM",3
"11/09/2022, 11:37:19 AM",2
"11/09/2022, 11:45:20 AM",3
"11/09/2022, 11:46:02 AM",1
"11/09/2022, 02:52:14 PM",3
"11/09/2022, 02:52:33 PM",2
"11/09/2022, 05:10:57 PM",3
"11/09/2022, 05:11:38 PM",1
"11/10/2022, 09:18:56 AM",3
"11/10/2022, 09:19:13 AM",2
"11/10/2022, 10:25:22 AM",3
"11/10/2022, 10:26:03 AM",1
"11/10/2022, 10:38:26 AM",3
"11/10/2022, 10:38:43 AM",2
"11/10/2022, 10:46:18 AM",3
"11/10/2022, 10:47:00 AM",1
"11/10/2022, 05:19:15 PM",3
"11/10/2022, 05:19:32 PM",2
"11/10/2022, 05:37:24 PM",3
"11/10/2022, 05:38:05 PM",1
"11/10/2022, 07:54:53 PM",3
"11/10/2022, 07:55:10 PM",2
"11/10/2022, 07:58:49 PM",3
"11/10/2022, 07:59:28 PM",1
"11/10/2022, 09:54:43 PM",3
"11/10/2022, 09:55:02 PM",2
"11/10/2022, 10:08:14 PM",3
"11/10/2022, 10:08:54 PM",1
"11/10/2022, 10:48:06 PM",3
"11/10/2022, 10:48:24 PM",2
"11/10/2022, 11:03:50 PM",3
"11/10/2022, 11:04:32 PM",1
"11/11/2022, 12:43:35 AM",3
"11/11/2022, 12:43:52 AM",2
"11/11/2022, 12:46:01 AM",3
"11/11/2022, 12:46:43 AM",1
"11/11/2022, 12:53:24 AM",3
"11/11/2022, 12:53:42 AM",2
"11/11/2022, 01:15:46 AM",3
"11/11/2022, 01:16:25 AM",1
"11/11/2022, 11:42:13 AM",3
"11/11/2022, 11:42:32 AM",2
"11/11/2022, 11:53:44 AM",3
"11/11/2022, 11:54:23 AM",1
"11/11/2022, 12:17:44 PM",3
"11/11/2022, 12:18:02 PM",2
"11/11/2022, 12:19:37 PM",3
"11/11/2022, 12:20:12 PM",1
"11/11/2022, 03:22:57 PM",3
"11/11/2022, 03:23:16 PM",2
"11/11/2022, 03:33:59 PM",3
"11/11/2022, 03:34:38 PM",1
"11/11/2022, 09:28:48 PM",3
"11/11/2022, 09:29:06 PM",2
"11/11/2022, 09:48:42 PM",3
"11/11/2022, 09:49:23 PM",1
"11/11/2022, 10:54:15 PM",3
"11/11/2022, 10:54:33 PM",2
"11/11/2022, 11:00:30 PM",3
"11/11/2022, 11:01:14 PM",1
"11/12/2022, 12:22:33 AM",3
"11/12/2022, 12:22:50 AM",2
"11/12/2022, 12:39:18 AM",3
"11/12/2022, 12:39:57 AM",1
"11/12/2022, 01:19:28 AM",3
"11/12/2022, 01:19:45 AM",2
"11/12/2022, 01:32:45 AM",3
"11/12/2022, 01:33:21 AM",1
"11/12/2022, 11:22:44 AM",3
"11/12/2022, 11:23:01 AM",2
"11/12/2022, 11:25:50 AM",3
"11/12/2022, 11:26:29 AM",1
"11/12/2022, 12:40:45 PM",3
"11/12/2022, 12:41:04 PM",2
"11/12/2022, 12:57:38 PM",3
"11/12/2022, 12:58:17 PM",1
"11/12/2022, 01:57:01 PM",3
"11/12/2022, 01:57:19 PM",2
"11/12/2022, 02:06:31 PM",3
"11/12/2022, 02:07:10 PM",1
"11/12/2022, 02:28:44 PM",3
"11/12/2022, 02:29:01 PM",2
"11/12/2022, 02:30:51 PM",3
"11/12/2022, 02:31:31 PM",1
"11/12/2022, 06:50:26 PM",3
"11/12/2022, 06:50:43 PM",2
"11/12/2022, 06:52:30 PM",3
"11/12/2022, 06:53:04 PM",1
