"Time","t2shut::polref:status"
"11/08/2022, 09:39:33 AM",3
"11/08/2022, 09:39:55 AM",2
"11/08/2022, 10:02:34 AM",3
"11/08/2022, 10:03:12 AM",1
"11/08/2022, 10:40:46 AM",3
"11/08/2022, 10:41:08 AM",2
"11/08/2022, 11:06:08 AM",3
"11/08/2022, 11:06:44 AM",1
"11/08/2022, 02:36:53 PM",3
"11/08/2022, 02:37:13 PM",2
"11/08/2022, 02:42:33 PM",3
"11/08/2022, 02:43:07 PM",1
"11/08/2022, 03:16:57 PM",3
"11/08/2022, 03:17:16 PM",2
"11/08/2022, 03:18:27 PM",3
"11/08/2022, 03:19:04 PM",1
"11/08/2022, 04:20:15 PM",3
"11/08/2022, 04:20:36 PM",2
"11/08/2022, 04:58:44 PM",3
"11/08/2022, 04:59:21 PM",1
"11/09/2022, 10:41:55 AM",3
"11/09/2022, 10:42:13 AM",2
"11/09/2022, 11:31:29 AM",3
"11/09/2022, 11:32:06 AM",1
"11/09/2022, 12:04:28 PM",3
"11/09/2022, 12:04:48 PM",2
"11/09/2022, 12:06:16 PM",3
"11/09/2022, 12:06:54 PM",1
"11/13/2022, 08:45:54 PM",3
"11/13/2022, 08:46:13 PM",2
"11/13/2022, 09:05:41 PM",3
"11/13/2022, 09:06:21 PM",1
"11/14/2022, 09:21:07 AM",3
"11/14/2022, 09:21:29 AM",2
"11/14/2022, 10:59:23 AM",3
"11/14/2022, 11:00:00 AM",1
"11/17/2022, 09:40:27 AM",3
"11/17/2022, 09:40:49 AM",2
"11/17/2022, 09:54:36 AM",3
"11/17/2022, 09:55:15 AM",1
"11/18/2022, 09:26:10 AM",3
"11/18/2022, 09:26:31 AM",2
"11/18/2022, 11:01:50 AM",3
"11/18/2022, 11:02:26 AM",1
"11/18/2022, 11:52:39 AM",3
"11/18/2022, 11:52:58 AM",2
"11/18/2022, 11:57:54 AM",3
"11/18/2022, 11:58:29 AM",1
"11/22/2022, 09:03:00 AM",3
"11/22/2022, 09:03:19 AM",2
"11/22/2022, 01:12:55 PM",3
"11/22/2022, 01:13:32 PM",1
"11/22/2022, 03:22:05 PM",3
"11/22/2022, 03:22:24 PM",2
"11/22/2022, 04:07:10 PM",4
"11/22/2022, 04:07:12 PM",3
"11/22/2022, 04:07:50 PM",1
"11/23/2022, 01:52:56 PM",3
"11/23/2022, 01:53:18 PM",2
"11/23/2022, 01:57:22 PM",3
"11/23/2022, 01:58:00 PM",1
"11/28/2022, 01:49:08 PM",3
"11/28/2022, 01:49:28 PM",2
"11/28/2022, 01:52:17 PM",3
"11/28/2022, 01:52:54 PM",1
"11/30/2022, 08:59:54 AM",3
"11/30/2022, 09:00:14 AM",2
"11/30/2022, 05:43:06 PM",3
"11/30/2022, 05:43:38 PM",1
"12/01/2022, 09:34:17 AM",3
"12/01/2022, 09:34:37 AM",2
"12/01/2022, 10:40:32 AM",3
"12/01/2022, 10:41:04 AM",1
"12/01/2022, 11:25:12 AM",3
"12/01/2022, 11:25:31 AM",2
"12/01/2022, 11:58:17 AM",3
"12/01/2022, 11:58:52 AM",1
"12/02/2022, 12:01:49 AM",3
"12/02/2022, 12:02:12 AM",2
"12/02/2022, 12:29:41 AM",3
"12/02/2022, 12:30:16 AM",1
"12/02/2022, 01:59:22 PM",3
"12/02/2022, 01:59:42 PM",2
"12/02/2022, 02:02:45 PM",3
"12/02/2022, 02:03:21 PM",1
"12/02/2022, 06:56:26 PM",3
"12/02/2022, 06:56:46 PM",2
"12/02/2022, 07:23:42 PM",3
"12/02/2022, 07:24:17 PM",1
"12/03/2022, 02:03:12 PM",3
"12/03/2022, 02:03:33 PM",2
"12/03/2022, 03:57:09 PM",3
"12/03/2022, 03:57:42 PM",1
"12/03/2022, 03:57:45 PM",3
"12/03/2022, 03:58:04 PM",2
"12/03/2022, 03:58:58 PM",3
"12/03/2022, 03:59:35 PM",1
"12/04/2022, 02:35:57 PM",3
"12/04/2022, 02:36:19 PM",2
"12/04/2022, 02:38:19 PM",3
"12/04/2022, 02:38:55 PM",1
"12/05/2022, 08:21:38 AM",3
"12/05/2022, 08:22:00 AM",2
"12/05/2022, 08:50:48 AM",3
"12/05/2022, 08:51:25 AM",1
"12/05/2022, 10:40:13 AM",3
"12/05/2022, 10:40:34 AM",2
"12/05/2022, 11:23:50 AM",3
"12/05/2022, 11:24:25 AM",1
"12/05/2022, 11:50:03 AM",3
"12/05/2022, 11:50:24 AM",2
"12/05/2022, 12:04:42 PM",3
"12/05/2022, 12:05:20 PM",1
"12/07/2022, 08:46:06 AM",3
"12/07/2022, 08:46:26 AM",2
"12/07/2022, 02:07:10 PM",3
"12/07/2022, 02:07:46 PM",1
"12/07/2022, 02:26:00 PM",3
"12/07/2022, 02:26:21 PM",2
"12/07/2022, 02:44:19 PM",3
"12/07/2022, 02:44:54 PM",1
"12/07/2022, 02:59:39 PM",3
"12/07/2022, 02:59:59 PM",2
"12/07/2022, 03:41:15 PM",3
"12/07/2022, 03:41:52 PM",1
"12/11/2022, 04:26:22 PM",3
"12/11/2022, 04:26:42 PM",2
"12/11/2022, 05:33:31 PM",3
"12/11/2022, 05:34:07 PM",1
"12/12/2022, 11:25:59 AM",3
"12/12/2022, 11:26:18 AM",2
"12/12/2022, 05:06:05 PM",3
"12/12/2022, 05:06:37 PM",1
"12/12/2022, 05:22:13 PM",3
"12/12/2022, 05:22:35 PM",2
"12/12/2022, 05:23:21 PM",3
"12/12/2022, 05:23:55 PM",1
"12/13/2022, 08:58:25 AM",3
"12/13/2022, 08:58:46 AM",2
"12/13/2022, 09:42:25 AM",3
"12/13/2022, 09:43:02 AM",1
"12/13/2022, 02:22:29 PM",3
"12/13/2022, 02:22:50 PM",2
"12/13/2022, 02:24:33 PM",3
"12/13/2022, 02:25:09 PM",1
"12/13/2022, 08:09:20 PM",3
"12/13/2022, 08:09:39 PM",2
"12/13/2022, 08:31:57 PM",3
"12/13/2022, 08:32:33 PM",1
"12/14/2022, 01:47:09 AM",3
"12/14/2022, 01:47:29 AM",2
"12/14/2022, 02:00:51 AM",3
"12/14/2022, 02:01:28 AM",1
"12/14/2022, 10:12:40 AM",3
"12/14/2022, 10:13:01 AM",2
"12/14/2022, 10:30:30 AM",3
"12/14/2022, 10:31:02 AM",1
"12/14/2022, 05:08:11 PM",3
"12/14/2022, 05:08:31 PM",2
"12/14/2022, 05:29:02 PM",3
