"Time","t2shut::wish:status"
"11/08/2022, 08:53:14 AM",3
"11/08/2022, 08:53:37 AM",2
"11/08/2022, 09:20:11 AM",3
"11/08/2022, 09:20:51 AM",1
"11/08/2022, 10:03:32 AM",3
"11/08/2022, 10:03:57 AM",2
"11/08/2022, 10:25:39 AM",3
"11/08/2022, 10:26:17 AM",1
"11/08/2022, 10:35:01 AM",3
"11/08/2022, 10:35:24 AM",2
"11/08/2022, 10:45:37 AM",3
"11/08/2022, 10:46:12 AM",1
"11/08/2022, 12:54:55 PM",3
"11/08/2022, 12:55:19 PM",2
"11/08/2022, 01:10:20 PM",3
"11/08/2022, 01:10:57 PM",1
"11/08/2022, 01:11:04 PM",3
"11/08/2022, 01:11:27 PM",2
"11/08/2022, 01:14:52 PM",3
"11/08/2022, 01:15:22 PM",1
"11/08/2022, 03:44:04 PM",3
"11/08/2022, 03:44:27 PM",2
"11/08/2022, 04:02:40 PM",3
"11/08/2022, 04:03:21 PM",1
"11/08/2022, 04:07:44 PM",3
"11/08/2022, 04:08:06 PM",2
"11/08/2022, 04:11:40 PM",3
"11/08/2022, 04:12:19 PM",1
"11/09/2022, 11:44:46 AM",3
"11/09/2022, 11:45:12 AM",2
"11/09/2022, 01:08:33 PM",3
"11/09/2022, 01:09:11 PM",1
"11/09/2022, 01:59:08 PM",3
"11/09/2022, 01:59:31 PM",2
"11/09/2022, 02:41:06 PM",3
"11/09/2022, 02:41:36 PM",1
"11/09/2022, 03:12:44 PM",3
"11/09/2022, 03:13:08 PM",2
"11/09/2022, 03:48:54 PM",3
"11/09/2022, 03:49:32 PM",1
"11/09/2022, 04:16:27 PM",3
"11/09/2022, 04:16:53 PM",2
"11/09/2022, 04:46:22 PM",3
"11/09/2022, 04:47:00 PM",1
"11/09/2022, 04:58:22 PM",3
"11/09/2022, 04:58:46 PM",2
"11/09/2022, 05:12:27 PM",3
"11/09/2022, 05:13:04 PM",1
"11/09/2022, 05:24:34 PM",3
"11/09/2022, 05:24:57 PM",2
"11/09/2022, 05:35:07 PM",3
"11/09/2022, 05:35:45 PM",1
"11/09/2022, 10:00:55 PM",3
"11/09/2022, 10:01:19 PM",2
"11/10/2022, 12:20:10 AM",4
"11/10/2022, 12:20:53 AM",1
"11/10/2022, 12:20:59 AM",3
"11/10/2022, 12:21:25 AM",2
"11/10/2022, 12:33:31 AM",4
"11/10/2022, 12:34:09 AM",1
"11/10/2022, 09:13:27 AM",3
"11/10/2022, 09:13:53 AM",2
"11/10/2022, 09:45:06 AM",3
"11/10/2022, 09:45:42 AM",1
"11/10/2022, 10:17:32 AM",3
"11/10/2022, 10:17:56 AM",2
"11/10/2022, 10:52:12 AM",3
"11/10/2022, 10:52:49 AM",1
"11/11/2022, 05:02:32 AM",3
"11/11/2022, 05:02:56 AM",2
"11/11/2022, 05:17:16 AM",3
"11/11/2022, 05:17:56 AM",1
"11/11/2022, 08:01:34 AM",3
"11/11/2022, 08:01:58 AM",2
"11/11/2022, 08:06:04 AM",3
"11/11/2022, 08:06:44 AM",1
"11/11/2022, 11:27:46 AM",3
"11/11/2022, 11:28:12 AM",2
"11/11/2022, 11:43:38 AM",3
"11/11/2022, 11:44:16 AM",1
"11/11/2022, 03:58:41 PM",3
"11/11/2022, 03:59:05 PM",2
"11/11/2022, 04:11:06 PM",3
"11/11/2022, 04:11:46 PM",1
"11/12/2022, 07:40:15 AM",3
"11/12/2022, 07:40:38 AM",2
"11/12/2022, 09:59:16 AM",3
"11/12/2022, 09:59:57 AM",1
"11/12/2022, 01:20:29 PM",3
"11/12/2022, 01:20:55 PM",2
"11/12/2022, 01:30:45 PM",3
"11/12/2022, 01:31:24 PM",1
"11/12/2022, 11:15:18 PM",3
"11/12/2022, 11:15:42 PM",2
"11/13/2022, 12:21:26 AM",3
"11/13/2022, 12:22:02 AM",1
"11/13/2022, 11:01:34 AM",3
"11/13/2022, 11:01:57 AM",2
"11/13/2022, 04:18:14 PM",1
"11/14/2022, 09:05:10 AM",3
"11/14/2022, 09:05:33 AM",2
"11/14/2022, 09:49:46 AM",3
"11/14/2022, 09:50:22 AM",1
"11/14/2022, 10:29:26 AM",3
"11/14/2022, 10:29:49 AM",2
"11/14/2022, 10:42:47 AM",3
"11/14/2022, 10:43:26 AM",1
"11/14/2022, 11:42:29 AM",3
"11/14/2022, 11:42:53 AM",2
"11/14/2022, 11:54:18 AM",4
"11/14/2022, 11:54:21 AM",3
"11/14/2022, 11:54:58 AM",1
"11/14/2022, 01:11:53 PM",3
"11/14/2022, 01:12:17 PM",2
"11/14/2022, 01:31:29 PM",3
"11/14/2022, 01:32:07 PM",1
"11/14/2022, 01:52:05 PM",3
"11/14/2022, 01:52:29 PM",2
"11/14/2022, 02:41:44 PM",3
"11/14/2022, 02:42:23 PM",1
"11/14/2022, 04:19:41 PM",3
"11/14/2022, 04:20:05 PM",2
"11/14/2022, 05:33:55 PM",3
"11/14/2022, 05:34:32 PM",1
"11/15/2022, 01:04:19 PM",3
"11/15/2022, 01:04:44 PM",2
"11/15/2022, 01:24:18 PM",3
"11/15/2022, 01:24:55 PM",1
"11/15/2022, 05:02:51 PM",3
"11/15/2022, 05:03:15 PM",2
"11/15/2022, 05:07:12 PM",3
"11/15/2022, 05:07:48 PM",1
"11/15/2022, 06:05:37 PM",3
"11/15/2022, 06:06:00 PM",2
"11/15/2022, 06:30:48 PM",3
"11/15/2022, 06:31:28 PM",1
"11/16/2022, 09:23:31 AM",3
"11/16/2022, 09:23:54 AM",2
"11/16/2022, 09:24:48 AM",3
