"Time","t2shut::e1:status"
"11/08/2022, 08:39:34 AM",3
"11/08/2022, 08:40:13 AM",1
"11/08/2022, 09:37:47 AM",3
"11/08/2022, 09:38:01 AM",2
"11/08/2022, 09:50:38 AM",3
"11/08/2022, 09:51:18 AM",1
"11/08/2022, 10:54:02 AM",3
"11/08/2022, 10:54:17 AM",2
"11/08/2022, 10:55:24 AM",3
"11/08/2022, 10:56:05 AM",1
"11/08/2022, 11:44:00 AM",3
"11/08/2022, 11:44:15 AM",2
"11/08/2022, 11:51:38 AM",3
"11/08/2022, 11:52:19 AM",1
"11/08/2022, 02:42:55 PM",4
"11/08/2022, 02:42:58 PM",3
"11/08/2022, 02:43:11 PM",2
"11/08/2022, 02:46:00 PM",3
"11/08/2022, 02:46:36 PM",1
"11/08/2022, 04:09:25 PM",3
"11/08/2022, 04:09:40 PM",2
"11/08/2022, 04:16:01 PM",3
"11/08/2022, 04:16:42 PM",1
"11/09/2022, 08:45:15 AM",3
"11/09/2022, 08:45:31 AM",2
"11/09/2022, 06:22:22 PM",3
"11/09/2022, 06:23:03 PM",1
"11/09/2022, 07:17:26 PM",3
"11/09/2022, 07:17:41 PM",2
"11/09/2022, 07:23:14 PM",3
"11/09/2022, 07:23:55 PM",1
"11/09/2022, 10:32:11 PM",3
"11/09/2022, 10:32:26 PM",2
"11/09/2022, 10:38:34 PM",3
"11/09/2022, 10:39:14 PM",1
"11/09/2022, 11:18:12 PM",3
"11/09/2022, 11:18:27 PM",2
"11/09/2022, 11:24:52 PM",3
"11/09/2022, 11:25:32 PM",1
"11/10/2022, 01:11:01 AM",3
"11/10/2022, 01:11:16 AM",2
"11/10/2022, 01:12:52 AM",3
"11/10/2022, 01:13:31 AM",1
"11/10/2022, 10:28:19 AM",3
"11/10/2022, 10:28:36 AM",2
"11/10/2022, 11:01:32 AM",3
"11/10/2022, 11:02:11 AM",1
"11/10/2022, 01:34:53 PM",3
"11/10/2022, 01:35:07 PM",2
"11/10/2022, 01:36:56 PM",3
"11/10/2022, 01:37:37 PM",1
"11/10/2022, 04:51:56 PM",3
"11/10/2022, 04:52:12 PM",2
"11/10/2022, 05:35:59 PM",3
"11/10/2022, 05:36:38 PM",1
"11/10/2022, 05:52:05 PM",4
"11/10/2022, 05:52:08 PM",3
"11/10/2022, 05:52:21 PM",2
"11/10/2022, 06:13:41 PM",3
"11/10/2022, 06:14:19 PM",1
"11/10/2022, 06:51:01 PM",3
"11/10/2022, 06:51:16 PM",2
"11/10/2022, 06:53:26 PM",3
"11/10/2022, 06:54:07 PM",1
